round,steps,score,coins,crates,bombs,invalid,killed_self,got_killed,survived,epsilon,mean_abs_td,total_reward
1,9,0,0,0,1,0,1,1,0,1.0,1.27641,-11.143
2,7,1,1,0,1,4,1,1,0,0.9762,1.84948,-12.199
3,9,1,1,0,1,1,1,1,0,0.9525,1.41641,-10.862
4,16,2,2,0,1,3,1,1,0,0.9287,0.89088,-10.006
5,5,1,1,0,1,3,1,1,0,0.905,2.56,-11.885
6,5,1,1,0,1,2,1,1,0,0.8812,2.35776,-11.275
7,13,2,2,0,2,7,1,1,0,0.8575,1.23769,-13.314
8,7,1,1,0,1,3,1,1,0,0.8337,1.86092,-11.499
9,11,0,0,0,1,4,1,1,0,0.81,1.19783,-12.337
10,5,0,0,0,1,2,1,1,0,0.7863,1.96425,-11.905
11,8,2,2,0,1,5,1,1,0,0.7625,1.66754,-11.278
12,5,1,1,0,1,2,1,1,0,0.7388,2.35375,-11.262
13,6,2,2,0,1,3,1,1,0,0.715,2.09018,-10.281
14,6,1,1,0,1,3,1,1,0,0.6913,1.86626,-11.207
15,38,3,3,0,2,7,1,1,0,0.6675,0.48955,-7.389
16,29,6,6,0,2,1,1,1,0,0.6438,0.64233,-0.262
17,11,2,2,0,1,2,1,1,0,0.62,1.28133,-7.466
18,7,1,1,0,1,3,1,1,0,0.5962,1.82555,-10.292
19,70,10,10,0,3,10,1,1,0,0.5725,0.46605,20.534
20,15,2,2,0,2,6,1,1,0,0.5488,1.11775,-9.435
21,15,3,3,0,1,3,1,1,0,0.525,1.08578,-1.837
22,84,5,5,0,2,8,1,1,0,0.5012,0.33174,46.609
23,89,12,12,0,4,15,1,1,0,0.4775,0.4303,57.513
24,12,0,0,0,1,4,1,1,0,0.4538,0.92026,-5.119
25,57,6,6,0,3,13,1,1,0,0.43,0.46549,32.221
26,5,1,1,0,1,1,1,1,0,0.4062,2.35772,-12.743
27,50,5,5,0,2,3,1,1,0,0.3825,0.40184,40.713
28,20,1,1,0,2,4,1,1,0,0.3588,0.91605,0.357
29,38,5,5,0,1,3,1,1,0,0.335,0.50793,33.337
30,111,17,17,0,5,10,1,1,0,0.3113,0.4785,122.877
31,98,16,16,0,4,12,1,1,0,0.2875,0.43871,120.285
32,15,4,4,0,1,2,1,1,0,0.2638,1.11337,8.974
33,6,1,1,0,1,1,1,1,0,0.24,1.97144,-8.126
34,44,18,18,0,1,5,1,1,0,0.2163,0.8664,104.112
35,81,34,34,0,2,6,1,1,0,0.1925,0.79764,267.119
36,7,2,2,0,1,3,1,1,0,0.1688,2.63713,-4.104
37,107,35,35,0,3,5,1,1,0,0.145,0.84038,417.105
38,86,30,30,0,1,8,1,1,0,0.1212,0.75543,409.539
39,95,37,37,0,3,6,1,1,0,0.0975,0.92576,458.725
40,152,50,50,0,3,7,0,0,1,0.0738,0.63125,885.776
41,86,40,40,0,1,0,1,1,0,0.05,0.75877,526.407
42,130,50,50,0,1,4,0,0,1,0.05,0.61469,880.488
43,141,50,50,0,0,4,0,0,1,0.05,0.48002,991.025
44,73,30,30,0,1,0,1,1,0,0.05,0.61465,468.286
45,141,50,50,0,1,5,0,0,1,0.05,0.58658,1019.988
46,127,50,50,0,0,1,0,0,1,0.05,0.51733,947.623
47,130,50,50,0,1,5,0,0,1,0.05,0.59741,937.728
48,138,50,50,0,0,1,0,0,1,0.05,0.45668,1040.782
49,41,16,16,0,2,2,1,1,0,0.05,0.89144,214.31
50,145,50,50,0,1,1,0,0,1,0.05,0.48316,1031.948
