episode,coins_collected,total_reward,epsilon
0,1,-1.6999999999999997,1.0
1,0,-0.3499999999999992,0.999940625
2,0,-0.7499999999999998,0.99988125
3,0,-0.7499999999999998,0.999821875
4,1,-0.6999999999999997,0.9997625
5,0,-2.75,0.999703125
6,1,0.6500000000000026,0.99964375
7,2,-3.349999999999998,0.999584375
8,2,-1.7499999999999973,0.999525
9,0,-1.7999999999999998,0.999465625
10,1,-2.049999999999999,0.99940625
11,1,0.6000000000000014,0.999346875
12,0,-0.9999999999999982,0.9992875
13,0,1.5000000000000009,0.999228125
14,2,-2.4499999999999984,0.99916875
15,1,-4.799999999999999,0.999109375
16,1,-1.3499999999999988,0.99905
17,0,-0.5999999999999996,0.998990625
18,0,-1.9499999999999984,0.99893125
19,1,-0.6499999999999997,0.998871875
20,0,-1.3499999999999994,0.9988125
21,0,-4.55,0.998753125
22,1,-2.75,0.99869375
23,1,-3.2,0.998634375
24,2,-1.45,0.998575
25,0,2.600000000000001,0.998515625
26,0,-3.9499999999999993,0.99845625
27,1,-1.6999999999999997,0.998396875
28,0,-1.7999999999999998,0.9983375
29,1,-4.4,0.998278125
30,1,-1.399999999999995,0.99821875
31,1,-3.1999999999999993,0.998159375
32,1,3.3000000000000003,0.9981
33,0,-5.999999999999998,0.998040625
34,1,-0.39999999999999947,0.99798125
35,5,-5.949999999999999,0.997921875
36,1,-1.2999999999999994,0.9978625
37,1,-2.0999999999999988,0.997803125
38,1,0.5500000000000016,0.99774375
39,0,0.40000000000000036,0.997684375
40,0,-2.75,0.997625
41,1,0.30000000000000027,0.997565625
42,1,-2.0999999999999983,0.99750625
43,2,-2.3499999999999988,0.997446875
44,3,-3.8999999999999986,0.9973875
45,1,-2.599999999999998,0.997328125
46,1,0.9000000000000021,0.99726875
47,0,1.5,0.997209375
48,0,-4.45,0.99715
49,0,0.20000000000000018,0.997090625
50,0,-1.3999999999999986,0.99703125
51,1,-5.549999999999997,0.996971875
52,0,-0.5499999999999996,0.9969125
53,0,-0.7999999999999998,0.996853125
54,0,-1.2999999999999994,0.99679375
55,0,-0.3499999999999992,0.996734375
56,0,-2.6499999999999986,0.996675
57,0,-7.600000000000001,0.996615625
58,2,-1.0499999999999985,0.99655625
59,0,1.1000000000000014,0.996496875
60,2,1.3500000000000019,0.9964375
61,0,-0.6499999999999968,0.996378125
62,0,-1.549999999999998,0.99631875
63,2,-0.7999999999999998,0.996259375
64,3,0.1500000000000019,0.9962
65,2,-4.549999999999997,0.996140625
66,0,-0.7499999999999998,0.99608125
67,0,-1.4999999999999996,0.996021875
68,1,-0.9499999999999988,0.9959625
69,1,0.5000000000000004,0.995903125
70,1,0.35000000000000053,0.99584375
71,1,-1.3499999999999992,0.995784375
72,0,-1.9499999999999975,0.995725
73,0,2.550000000000001,0.995665625
74,0,-0.24999999999999822,0.99560625
75,2,0.5500000000000005,0.995546875
76,1,-3.1499999999999986,0.9954875
77,1,-1.9999999999999987,0.995428125
78,0,-4.6000000000000005,0.99536875
79,0,2.600000000000001,0.995309375
80,1,-0.7999999999999998,0.99525
81,0,-1.3999999999999972,0.995190625
82,1,0.5000000000000004,0.99513125
83,1,0.9000000000000012,0.995071875
84,0,-3.1499999999999995,0.9950125
85,0,-4.649999999999999,0.994953125
86,2,-0.2999999999999994,0.99489375
87,0,-3.3500000000000005,0.994834375
88,0,-0.49999999999999645,0.994775
89,0,-2.8,0.994715625
90,1,-1.75,0.99465625
91,0,-0.4999999999999982,0.994596875
92,0,-3.2999999999999936,0.9945375
93,0,0.40000000000000036,0.994478125
94,1,-5.500000000000001,0.99441875
95,0,-3.3999999999999995,0.994359375
96,2,-6.0,0.9943
97,0,-5.800000000000002,0.994240625
98,2,1.5000000000000004,0.99418125
99,1,0.20000000000000018,0.994121875
100,1,-1.2999999999999967,0.9940625
101,0,-1.4499999999999993,0.994003125
102,0,1.7000000000000015,0.99394375
103,0,3.5500000000000007,0.993884375
104,1,-0.9999999999999982,0.993825
105,1,-0.6499999999999997,0.993765625
106,0,-0.9499999999999975,0.99370625
107,2,0.3500000000000003,0.993646875
108,0,-2.049999999999999,0.9935875
109,0,-0.5999999999999996,0.993528125
110,1,-1.7999999999999998,0.99346875
111,0,-3.449999999999995,0.993409375
112,1,-1.7499999999999982,0.99335
113,0,-1.7499999999999973,0.993290625
114,2,2.4000000000000004,0.99323125
115,2,-0.34999999999999964,0.993171875
116,1,-0.6499999999999997,0.9931125
117,2,-3.049999999999998,0.993053125
118,0,-4.0,0.99299375
119,0,-0.1499999999999988,0.992934375
120,1,-0.49999999999999645,0.992875
121,0,-2.4499999999999993,0.992815625
122,2,-7.45,0.99275625
123,0,0.3500000000000003,0.992696875
124,0,1.2500000000000013,0.9926375
125,0,-0.8999999999999977,0.992578125
126,0,3.750000000000001,0.99251875
127,1,-0.39999999999999947,0.992459375
128,1,2.4500000000000006,0.9924
129,1,-1.1999999999999984,0.992340625
130,0,1.6500000000000012,0.99228125
131,1,-7.049999999999999,0.992221875
132,1,-3.3,0.9921625
133,1,-1.1999999999999984,0.992103125
134,3,1.9500000000000013,0.99204375
135,1,-5.05,0.991984375
136,1,-4.050000000000002,0.991925
137,1,-0.34999999999999876,0.991865625
138,1,-4.5,0.99180625
139,2,-2.149999999999999,0.991746875
140,0,-2.6499999999999995,0.9916875
141,0,-0.5499999999999949,0.991628125
142,0,-0.24999999999999822,0.99156875
143,2,-10.299999999999994,0.991509375
144,2,-4.8,0.99145
145,0,3.750000000000001,0.991390625
146,0,2.850000000000002,0.99133125
147,2,-3.249999999999999,0.991271875
148,2,1.9500000000000015,0.9912125
149,0,0.5500000000000012,0.991153125
150,2,-3.1999999999999975,0.99109375
151,1,1.0000000000000036,0.991034375
152,4,-1.1499999999999968,0.990975
153,1,-3.0999999999999996,0.990915625
154,0,0.25000000000000266,0.99085625
155,2,-2.899999999999998,0.990796875
156,3,-1.0499999999999972,0.9907375
157,0,-0.5999999999999979,0.990678125
158,0,0.30000000000000027,0.99061875
159,1,-2.1499999999999995,0.990559375
160,1,-1.4499999999999988,0.9905
161,0,1.5000000000000007,0.990440625
162,0,-1.5499999999999972,0.99038125
163,1,-0.9999999999999978,0.990321875
164,2,1.9000000000000021,0.9902625
165,1,-1.7499999999999982,0.990203125
166,0,-4.449999999999998,0.99014375
167,1,-0.34999999999999876,0.990084375
168,0,-9.150000000000002,0.990025
169,3,2.350000000000002,0.989965625
170,1,-0.4499999999999984,0.98990625
171,0,-1.9999999999999991,0.989846875
172,1,-3.549999999999999,0.9897875
173,5,-4.450000000000001,0.989728125
174,1,0.6000000000000008,0.98966875
175,3,-2.0999999999999943,0.989609375
176,0,-2.2499999999999996,0.98955
177,2,1.2500000000000002,0.989490625
178,1,-2.6999999999999984,0.98943125
179,0,0.20000000000000018,0.989371875
180,0,0.2500000000000002,0.9893125
181,0,-0.7499999999999998,0.989253125
182,0,1.3000000000000003,0.98919375
183,0,-1.7499999999999978,0.989134375
184,5,-2.9999999999999956,0.989075
185,2,-6.850000000000003,0.989015625
186,0,1.4000000000000004,0.98895625
187,2,-5.3999999999999915,0.988896875
188,0,3.700000000000001,0.9888375
189,2,1.3500000000000003,0.988778125
190,1,2.3500000000000005,0.98871875
191,0,-3.55,0.988659375
192,0,1.2000000000000002,0.9886
193,1,-4.199999999999996,0.988540625
194,1,0.30000000000000027,0.98848125
195,0,-2.75,0.988421875
196,1,-1.3999999999999972,0.9883625
197,0,1.9000000000000012,0.988303125
198,1,-1.5999999999999996,0.98824375
199,0,-3.3499999999999996,0.988184375
200,0,1.4000000000000004,0.988125
201,1,0.40000000000000036,0.988065625
202,0,-0.6499999999999977,0.98800625
203,1,-0.6999999999999993,0.987946875
204,0,0.5000000000000027,0.9878875
205,0,-2.65,0.9878281250000001
206,0,1.4500000000000006,0.98776875
207,1,-0.7999999999999998,0.987709375
208,0,-0.6499999999999997,0.98765
209,1,-0.34999999999999876,0.987590625
210,0,2.8000000000000007,0.98753125
211,1,1.0000000000000029,0.987471875
212,0,-0.14999999999999902,0.9874125
213,1,-0.09999999999999787,0.987353125
214,0,-1.7000000000000002,0.98729375
215,0,-1.6499999999999995,0.987234375
216,1,-1.299999999999999,0.987175
217,0,-1.3499999999999994,0.987115625
218,2,-0.34999999999999876,0.98705625
219,1,-3.2499999999999964,0.986996875
220,5,3.550000000000005,0.9869375
221,1,-3.6999999999999993,0.986878125
222,1,-0.7999999999999954,0.98681875
223,1,-0.6499999999999995,0.986759375
224,0,2.220446049250313e-15,0.9867
225,2,-3.299999999999997,0.986640625
226,0,-3.5,0.98658125
227,0,-2.6999999999999997,0.986521875
228,1,0.30000000000000027,0.9864625
229,0,-2.499999999999999,0.986403125
230,1,-2.999999999999994,0.98634375
231,2,-5.049999999999994,0.986284375
232,0,0.30000000000000027,0.986225
233,0,-2.099999999999998,0.986165625
234,1,-7.899999999999993,0.98610625
235,2,-1.2499999999999973,0.986046875
236,0,-5.550000000000001,0.9859875
237,1,0.4500000000000004,0.985928125
