episode,coins_collected,total_reward,epsilon
0,1,-1.3499999999999988,1.0
1,2,1.0500000000000016,0.999940625
2,0,-0.75,0.99988125
3,1,0.20000000000000018,0.999821875
4,3,-4.25,0.9997625
5,0,1.4000000000000052,0.999703125
6,2,-2.7,0.99964375
7,1,-4.899999999999999,0.999584375
8,1,-12.2,0.999525
9,0,0.5500000000000012,0.999465625
10,0,0.5500000000000012,0.99940625
11,2,-0.2499999999999991,0.999346875
12,1,-0.5999999999999996,0.9992875
13,0,1.650000000000001,0.999228125
14,3,2.000000000000004,0.99916875
15,2,-6.900000000000001,0.999109375
16,1,1.7000000000000006,0.99905
17,0,-2.9499999999999993,0.998990625
18,0,-1.6499999999999995,0.99893125
19,0,0.5000000000000004,0.998871875
20,1,-6.2499999999999964,0.9988125
21,0,-4.05,0.998753125
22,0,-1.75,0.99869375
23,1,1.000000000000001,0.998634375
24,1,-2.75,0.998575
25,1,-1.5999999999999996,0.998515625
26,0,0.6000000000000014,0.99845625
27,1,-1.7499999999999991,0.998396875
28,1,-1.3999999999999995,0.9983375
29,1,-1.2999999999999972,0.998278125
30,1,-1.5999999999999996,0.99821875
31,0,0.6000000000000014,0.998159375
32,0,1.6000000000000014,0.9981
33,0,0.3000000000000016,0.998040625
34,1,1.5000000000000004,0.99798125
35,0,-5.4,0.997921875
36,0,2.1000000000000014,0.9978625
37,0,1.2500000000000002,0.997803125
38,0,1.700000000000001,0.99774375
39,1,2.45,0.997684375
40,1,-2.4999999999999956,0.997625
41,0,-1.7499999999999998,0.997565625
42,1,-0.04999999999999849,0.99750625
43,0,2.8000000000000007,0.997446875
44,1,-3.3999999999999995,0.9973875
45,0,-1.2999999999999994,0.997328125
46,0,-0.5999999999999996,0.99726875
47,0,-0.5999999999999974,0.997209375
48,0,-2.549999999999998,0.99715
49,0,1.550000000000001,0.997090625
50,2,-1.6999999999999986,0.99703125
51,0,-2.299999999999997,0.996971875
52,1,0.30000000000000027,0.9969125
53,0,4.100000000000002,0.996853125
54,0,0.3500000000000003,0.99679375
55,1,-1.0999999999999988,0.996734375
56,1,0.6500000000000012,0.996675
57,0,-6.200000000000001,0.996615625
58,1,2.1000000000000023,0.99655625
