episode,coins_collected,total_reward,epsilon
0,0,-3.0999999999999996,1.0
1,0,1.8000000000000007,0.999940625
2,1,-0.14999999999999902,0.99988125
3,1,0.0500000000000016,0.999821875
4,2,-1.9499999999999957,0.9997625
5,1,-9.95,0.999703125
6,0,-1.6499999999999997,0.99964375
7,1,-1.2499999999999987,0.999584375
8,0,0.8500000000000023,0.999525
9,0,-1.3999999999999981,0.999465625
10,1,0.6500000000000006,0.99940625
11,0,-3.5,0.999346875
12,0,-0.5999999999999996,0.9992875
13,1,-0.6499999999999997,0.999228125
14,3,-9.799999999999995,0.99916875
15,2,-2.8500000000000005,0.999109375
16,0,-2.049999999999999,0.99905
17,1,1.5500000000000005,0.998990625
18,0,2.9000000000000092,0.99893125
19,1,-0.2499999999999991,0.998871875
20,2,-1.4499999999999993,0.9988125
21,2,-0.29999999999999716,0.998753125
22,1,-4.65,0.99869375
23,1,3.950000000000001,0.998634375
24,2,0.2500000000000002,0.998575
25,2,0.40000000000000036,0.998515625
26,1,-1.4999999999999996,0.99845625
27,0,-3.8999999999999986,0.998396875
28,0,1.950000000000002,0.9983375
29,0,-0.749999999999998,0.998278125
30,1,-5.15,0.99821875
31,0,0.6000000000000014,0.998159375
32,5,-9.900000000000006,0.9981
33,0,-0.3499999999999992,0.998040625
34,1,-1.9999999999999991,0.99798125
35,0,0.3500000000000003,0.997921875
36,1,2.0500000000000025,0.9978625
37,0,-0.7999999999999998,0.997803125
38,1,-0.29999999999999893,0.99774375
39,1,-2.1999999999999993,0.997684375
40,1,0.050000000000001155,0.997625
41,1,-0.6999999999999997,0.997565625
42,1,-1.0499999999999963,0.99750625
43,0,-1.5499999999999998,0.997446875
44,1,-1.9999999999999987,0.9973875
45,1,-8.949999999999998,0.997328125
46,0,0.9500000000000015,0.99726875
47,3,-1.5999999999999979,0.997209375
48,1,-2.2999999999999963,0.99715
49,1,0.950000000000002,0.997090625
50,1,-1.7499999999999982,0.99703125
51,1,0.2500000000000002,0.996971875
52,0,-5.599999999999998,0.9969125
53,0,-0.14999999999999725,0.996853125
54,3,-3.4000000000000004,0.99679375
55,0,-3.9999999999999982,0.996734375
56,0,1.6000000000000005,0.996675
57,2,1.4500000000000004,0.996615625
58,2,-7.4,0.99655625
59,0,1.4500000000000006,0.996496875
60,1,-1.399999999999999,0.9964375
61,1,3.5500000000000007,0.996378125
62,2,0.4000000000000006,0.99631875
63,0,-1.2999999999999972,0.996259375
64,0,0.6000000000000014,0.9962
65,2,-0.44999999999999774,0.996140625
66,0,0.3000000000000016,0.99608125
67,3,2.6000000000000005,0.996021875
68,1,-1.5999999999999979,0.9959625
69,0,1.0500000000000016,0.995903125
70,0,-2.75,0.99584375
71,2,2.9500000000000037,0.995784375
72,1,-0.3499999999999994,0.995725
73,2,2.3500000000000005,0.995665625
74,1,-1.3999999999999986,0.99560625
75,2,-2.099999999999996,0.995546875
76,1,-0.4499999999999995,0.9954875
77,0,-0.75,0.995428125
78,0,0.5000000000000004,0.99536875
79,0,-4.1,0.995309375
80,0,-2.75,0.99525
81,0,-1.2999999999999994,0.995190625
82,0,-1.8999999999999977,0.99513125
83,0,1.5000000000000004,0.995071875
84,0,-6.05,0.9950125
85,5,2.6645352591003757e-15,0.994953125
86,1,0.3500000000000003,0.99489375
87,1,2.8000000000000007,0.994834375
88,2,-9.600000000000001,0.994775
89,1,-3.4499999999999984,0.994715625
90,1,-0.5499999999999972,0.99465625
91,1,-2.6499999999999995,0.994596875
92,1,-2.5,0.9945375
93,0,1.2000000000000024,0.994478125
94,1,1.000000000000002,0.99441875
95,0,-0.9499999999999975,0.994359375
96,0,-3.3999999999999995,0.9943
97,4,-2.7499999999999964,0.994240625
98,0,-0.3999999999999986,0.99418125
99,1,-2.4499999999999975,0.994121875
100,0,-0.8499999999999979,0.9940625
101,0,-1.6499999999999995,0.994003125
102,0,0.20000000000000018,0.99394375
103,1,1.0500000000000005,0.993884375
104,1,-0.5999999999999996,0.993825
105,0,-2.5,0.993765625
106,0,1.600000000000001,0.99370625
107,1,-2.2999999999999994,0.993646875
108,0,-0.14999999999999813,0.9935875
109,0,-0.5499999999999989,0.993528125
110,2,-3.549999999999999,0.99346875
111,0,-4.550000000000001,0.993409375
112,0,-3.5500000000000007,0.99335
113,0,-2.75,0.993290625
114,1,-0.34999999999999876,0.99323125
115,1,0.2500000000000002,0.993171875
116,0,-0.7999999999999998,0.9931125
117,0,-1.0500000000000016,0.993053125
118,1,-2.499999999999999,0.99299375
119,2,1.9000000000000015,0.992934375
120,0,0.6000000000000014,0.992875
121,1,-0.5999999999999996,0.992815625
122,1,-3.8999999999999995,0.99275625
123,0,-1.2499999999999991,0.992696875
124,1,1.3000000000000003,0.9926375
125,0,-2.199999999999999,0.992578125
126,2,-4.049999999999994,0.99251875
127,0,0.5000000000000004,0.992459375
128,0,-0.0999999999999992,0.9924
129,2,-0.5499999999999996,0.992340625
130,2,-1.4999999999999987,0.99228125
131,0,-0.24999999999999822,0.992221875
132,1,-0.6999999999999997,0.9921625
133,1,-0.2999999999999985,0.992103125
134,1,-1.5000000000000004,0.99204375
135,1,-4.699999999999998,0.991984375
136,1,-2.549999999999998,0.991925
137,0,2.5000000000000004,0.991865625
138,1,0.400000000000003,0.99180625
139,0,-8.399999999999999,0.991746875
140,3,-3.049999999999999,0.9916875
141,1,-2.5999999999999996,0.991628125
142,0,-1.9999999999999982,0.99156875
143,0,-1.1499999999999981,0.991509375
144,0,-1.6999999999999997,0.99145
145,1,-2.8999999999999977,0.991390625
146,1,-1.2499999999999991,0.99133125
147,2,-0.5499999999999996,0.991271875
148,0,-0.34999999999999964,0.9912125
149,1,-0.4999999999999982,0.991153125
150,0,-2.2999999999999967,0.99109375
151,0,-1.7999999999999998,0.991034375
152,2,-1.4999999999999996,0.990975
153,1,-0.4499999999999995,0.990915625
154,2,-1.6499999999999968,0.99085625
155,0,-3.6499999999999995,0.990796875
156,2,-5.099999999999997,0.9907375
157,1,-1.3999999999999986,0.990678125
158,1,2.950000000000001,0.99061875
159,2,-0.5499999999999989,0.990559375
160,0,0.2500000000000002,0.9905
161,0,2.4000000000000004,0.990440625
162,0,-1.6499999999999995,0.99038125
163,1,-3.599999999999996,0.990321875
164,0,1.5500000000000012,0.9902625
165,2,0.8000000000000012,0.990203125
166,1,0.05000000000000071,0.99014375
167,0,-1.2499999999999942,0.990084375
168,1,-3.45,0.990025
169,1,-0.09999999999999787,0.989965625
170,0,-2.299999999999997,0.98990625
171,3,-0.44999999999999885,0.989846875
172,1,-2.0499999999999967,0.9897875
173,1,-1.8999999999999986,0.989728125
174,0,-5.300000000000001,0.98966875
175,1,4.4,0.989609375
176,0,0.3500000000000003,0.98955
177,1,-1.4999999999999996,0.989490625
178,0,0.8000000000000012,0.98943125
179,1,-1.6999999999999997,0.989371875
180,4,-9.399999999999995,0.9893125
181,2,-3.0,0.989253125
182,1,-5.9,0.98919375
183,0,1.6000000000000014,0.989134375
184,1,0.7000000000000011,0.989075
185,2,-2.3499999999999996,0.989015625
186,1,-1.7499999999999998,0.98895625
187,1,-1.8999999999999977,0.988896875
188,1,1.7000000000000013,0.9888375
189,3,-0.24999999999999778,0.988778125
190,1,-2.399999999999999,0.98871875
191,0,-0.6499999999999981,0.988659375
192,1,-1.3999999999999995,0.9886
193,0,-3.649999999999996,0.988540625
194,1,-1.4999999999999996,0.98848125
195,0,-0.1999999999999993,0.988421875
196,1,-4.850000000000001,0.9883625
197,0,1.700000000000001,0.988303125
198,2,-2.899999999999998,0.98824375
199,1,-2.249999999999999,0.988184375
200,1,2.200000000000001,0.988125
201,1,-1.549999999999998,0.988065625
202,1,0.3500000000000003,0.98800625
203,0,0.3500000000000003,0.987946875
204,2,2.3500000000000005,0.9878875
205,1,-5.149999999999999,0.9878281250000001
206,2,-5.100000000000001,0.98776875
207,0,-0.5499999999999998,0.987709375
208,0,-2.599999999999998,0.98765
209,0,-0.1999999999999984,0.987590625
210,0,1.4500000000000006,0.98753125
211,1,-1.7499999999999982,0.987471875
212,0,0.05000000000000249,0.9874125
213,0,-0.5999999999999996,0.987353125
214,1,-0.6999999999999997,0.98729375
215,0,-4.050000000000001,0.987234375
216,0,1.6500000000000012,0.987175
217,0,-1.4999999999999996,0.987115625
218,0,-2.5999999999999988,0.98705625
219,1,0.3500000000000003,0.986996875
220,2,-6.549999999999994,0.9869375
221,0,-2.6000000000000005,0.986878125
222,0,1.600000000000001,0.98681875
223,1,-0.5999999999999992,0.986759375
224,0,4.100000000000001,0.9867
225,1,-0.7999999999999998,0.986640625
226,0,-2.6999999999999997,0.98658125
227,1,-3.5,0.986521875
228,0,-3.6500000000000004,0.9864625
229,2,2.3500000000000005,0.986403125
230,2,-3.6499999999999977,0.98634375
231,0,-4.1499999999999995,0.986284375
232,1,-4.7,0.986225
233,2,-0.5999999999999996,0.986165625
234,1,-2.849999999999996,0.98610625
235,1,-2.05,0.986046875
236,4,-0.1999999999999975,0.9859875
237,2,3.7500000000000027,0.985928125
238,1,1.3000000000000027,0.98586875
239,6,-5.350000000000002,0.985809375
240,0,2.45,0.98575
241,1,-1.3999999999999986,0.985690625
242,0,1.3500000000000003,0.98563125
243,1,-6.200000000000002,0.985571875
244,1,-2.2999999999999994,0.9855125
245,3,-7.949999999999999,0.985453125
246,0,-0.44999999999999885,0.98539375
247,5,1.3500000000000019,0.985334375
248,1,-3.6499999999999995,0.985275
249,0,-0.7499999999999998,0.985215625
250,0,0.6000000000000023,0.98515625
251,0,-2.3999999999999995,0.985096875
252,0,2.450000000000001,0.9850375
253,2,-1.099999999999999,0.984978125
254,3,3.7000000000000024,0.98491875
255,2,0.4000000000000008,0.984859375
256,1,-2.5999999999999996,0.9848
257,1,2.220446049250313e-15,0.984740625
258,1,-0.6999999999999988,0.98468125
259,1,-1.6499999999999997,0.984621875
260,2,-3.7499999999999964,0.9845625
261,0,0.20000000000000173,0.984503125
262,1,-2.299999999999999,0.98444375
263,1,-1.1999999999999993,0.984384375
264,0,-1.1999999999999984,0.984325
265,0,-1.6999999999999966,0.984265625
266,1,-3.450000000000001,0.98420625
267,0,0.5000000000000004,0.984146875
268,1,1.3000000000000003,0.9840875
269,0,0.6000000000000014,0.984028125
270,0,-1.0999999999999983,0.98396875
271,2,-3.3000000000000007,0.983909375
272,2,1.600000000000001,0.98385
273,0,0.10000000000000253,0.983790625
274,0,-1.6999999999999997,0.98373125
275,0,-3.05,0.983671875
276,3,0.05000000000000249,0.9836125
277,1,-2.3999999999999986,0.983553125
278,1,-1.4499999999999988,0.98349375
279,1,0.3500000000000003,0.983434375
