episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-13.399999999999999,1.0
1,0,2,-36.03214285714286,0.9998515625
2,0,5,-20.283571428571427,0.999703125
3,0,3,-19.16880952380952,0.9995546875
4,0,5,-18.582142857142856,0.99940625
5,0,2,-28.26738095238095,0.9992578125
6,0,2,-17.58607142857143,0.999109375
7,0,2,-17.667142857142856,0.9989609375
8,0,3,-11.75,0.9988125
9,0,4,-9.651666666666667,0.9986640625
10,0,3,-17.892142857142858,0.998515625
11,0,2,-18.152380952380952,0.9983671875
12,0,2,-15.304880952380952,0.99821875
13,0,3,-12.225952380952382,0.9980703125
14,0,3,-10.903333333333332,0.997921875
15,0,2,-12.751666666666667,0.9977734375
16,0,3,-13.399999999999999,0.997625
17,0,2,-13.75,0.9974765625
18,0,4,-9.098333333333333,0.997328125
19,0,3,-12.858809523809523,0.9971796875
20,0,1,-15.75,0.99703125
21,0,4,-27.96714285714286,0.9968828125
22,0,1,-17.331666666666667,0.996734375
23,0,2,-24.542142857142856,0.9965859375
24,0,4,-9.013333333333334,0.9964375
25,0,2,-19.983809523809523,0.9962890625
26,0,3,-16.827142857142857,0.996140625
27,0,3,-13.832142857142857,0.9959921875
28,0,3,-13.5,0.99584375
29,0,2,-15.342142857142857,0.9956953125
30,0,1,-14.90738095238095,0.995546875
31,0,3,-19.318809523809524,0.9953984375
32,0,1,-18.791309523809524,0.99525
33,0,3,-16.973214285714285,0.9951015625
34,0,2,-15.482142857142858,0.994953125
35,0,3,-13.342142857142857,0.9948046875
36,0,5,-10.033214285714285,0.99465625
37,0,3,-12.477142857142859,0.9945078125
38,0,2,-14.307142857142857,0.994359375
39,0,2,-14.307142857142857,0.9942109375
40,0,2,-15.107142857142858,0.9940625
41,0,4,-8.751666666666667,0.9939140625
42,0,3,-24.182142857142857,0.993765625
43,0,5,-37.30714285714286,0.9936171875
44,0,3,-15.958571428571428,0.99346875
45,0,3,-11.013333333333334,0.9933203125
46,0,4,-19.888809523809524,0.993171875
47,0,3,-25.192142857142855,0.9930234375
48,0,3,-17.903571428571425,0.992875
49,0,3,-19.027380952380952,0.9927265625
50,0,3,-10.903333333333332,0.992578125
51,0,1,-18.099642857142857,0.9924296875
52,0,1,-19.50988095238095,0.99228125
53,0,3,-12.998333333333331,0.9921328125
54,0,2,-29.898214285714282,0.991984375
55,0,4,-17.318809523809524,0.9918359375
