episode,coins_collected,total_reward,epsilon
0,2,8.599999999999998,1.0
1,1,1.1999999999999995,0.999940625
2,1,3.1999999999999975,0.99988125
3,0,0.9999999999999998,0.999821875
4,2,2.1999999999999993,0.9997625
5,1,3.9999999999999982,0.999703125
6,0,1.199999999999999,0.99964375
7,2,2.3999999999999995,0.999584375
8,0,1.799999999999998,0.999525
9,0,-2.2,0.999465625
10,2,1.1999999999999995,0.99940625
11,0,2.999999999999999,0.999346875
12,3,4.999999999999995,0.9992875
13,0,3.999999999999999,0.999228125
14,0,-0.20000000000000018,0.99916875
15,2,9.399999999999995,0.999109375
16,0,6.999999999999998,0.99905
17,1,0.3999999999999997,0.998990625
18,0,-0.6000000000000005,0.99893125
19,4,3.799999999999999,0.998871875
20,1,0.9999999999999996,0.9988125
21,1,2.799999999999998,0.998753125
22,0,6.799999999999999,0.99869375
23,2,-0.6000000000000014,0.998634375
24,2,4.599999999999999,0.998575
25,1,3.1999999999999984,0.998515625
26,0,0.9999999999999998,0.99845625
27,0,1.3999999999999995,0.998396875
28,1,3.5999999999999983,0.9983375
29,1,0.9999999999999993,0.998278125
30,0,3.1999999999999993,0.99821875
31,0,-1.0,0.998159375
32,1,-1.4000000000000044,0.9981
33,0,2.3999999999999986,0.998040625
34,1,-2.000000000000001,0.99798125
35,1,2.1999999999999993,0.997921875
36,0,2.1999999999999993,0.9978625
37,5,10.799999999999997,0.997803125
38,2,4.799999999999999,0.99774375
39,1,2.9999999999999964,0.997684375
40,1,1.999999999999999,0.997625
41,1,-0.40000000000000036,0.997565625
42,1,-1.2000000000000002,0.99750625
43,1,1.3999999999999986,0.997446875
44,0,7.0,0.9973875
45,1,1.7999999999999987,0.997328125
46,0,-2.2,0.99726875
47,2,3.5999999999999965,0.997209375
48,1,2.7999999999999994,0.99715
49,0,-1.8000000000000012,0.997090625
50,0,3.799999999999999,0.99703125
51,0,1.9999999999999996,0.996971875
52,0,-0.40000000000000036,0.9969125
53,0,-5.599999999999999,0.996853125
54,1,-3.2,0.99679375
55,1,-0.40000000000000036,0.996734375
56,1,3.9999999999999964,0.996675
57,0,0.7999999999999985,0.996615625
58,1,0.5999999999999981,0.99655625
59,2,13.999999999999991,0.996496875
60,0,1.9999999999999982,0.9964375
61,1,1.3999999999999992,0.996378125
62,2,0.7999999999999994,0.99631875
63,0,-2.220446049250313e-16,0.996259375
64,1,1.1999999999999988,0.9962
65,1,-1.2000000000000002,0.996140625
66,0,-1.0000000000000002,0.99608125
67,2,0.5999999999999988,0.996021875
68,2,6.799999999999997,0.9959625
69,3,2.1999999999999993,0.995903125
70,0,0.1999999999999964,0.99584375
71,1,1.5999999999999974,0.995784375
72,0,4.6,0.995725
73,1,0.19999999999999973,0.995665625
74,1,2.3999999999999995,0.99560625
75,0,0.5999999999999988,0.995546875
76,0,1.3999999999999995,0.9954875
77,1,1.9999999999999998,0.995428125
78,1,3.7999999999999994,0.99536875
79,4,2.199999999999999,0.995309375
80,1,1.3999999999999995,0.99525
81,1,-0.20000000000000018,0.995190625
82,1,1.9999999999999991,0.99513125
83,2,0.9999999999999991,0.995071875
84,0,-2.2,0.9950125
85,2,6.999999999999997,0.994953125
86,0,1.9999999999999987,0.99489375
87,1,1.5999999999999979,0.994834375
88,2,-1.7763568394002505e-15,0.994775
89,1,3.1999999999999984,0.994715625
90,2,2.1999999999999993,0.99465625
91,3,9.199999999999996,0.994596875
92,0,-2.220446049250313e-16,0.9945375
93,0,-2.2,0.994478125
94,1,-8.881784197001252e-16,0.99441875
95,3,3.1999999999999966,0.994359375
96,1,3.799999999999999,0.9943
97,0,3.799999999999999,0.994240625
98,0,1.7999999999999996,0.99418125
99,1,0.1999999999999984,0.994121875
100,4,9.0,0.9940625
101,0,10.999999999999995,0.994003125
102,0,2.9999999999999982,0.99394375
103,1,0.3999999999999986,0.993884375
