episode,coins_collected,total_reward,epsilon
0,1,-3.0,1.0
1,2,-4.0,0.999940625
2,1,-3.0,0.99988125
3,0,-3.0,0.999821875
4,0,-2.0,0.9997625
5,0,-3.0,0.999703125
6,0,-5.0,0.99964375
7,1,-1.0,0.999584375
8,0,-3.0,0.999525
9,2,-1.0,0.999465625
10,3,-4.0,0.99940625
11,0,-2.0,0.999346875
12,1,-2.0,0.9992875
13,1,-5.0,0.999228125
14,1,-2.0,0.99916875
15,0,-2.0,0.999109375
16,0,-2.0,0.99905
17,2,-3.0,0.998990625
18,2,-4.0,0.99893125
19,2,2.0,0.998871875
20,0,-2.0,0.9988125
21,1,-5.0,0.998753125
22,2,0.0,0.99869375
23,0,-2.0,0.998634375
24,1,-6.0,0.998575
25,2,-2.0,0.998515625
26,2,-4.0,0.99845625
27,1,-9.0,0.998396875
28,1,-3.0,0.9983375
29,2,-4.0,0.998278125
30,1,-1.0,0.99821875
31,2,-2.0,0.998159375
32,0,-2.0,0.9981
33,0,-4.0,0.998040625
34,0,-4.0,0.99798125
35,1,-5.0,0.997921875
36,0,-3.0,0.9978625
37,0,-11.0,0.997803125
38,1,-6.0,0.99774375
39,0,-2.0,0.997684375
40,0,-1.0,0.997625
41,3,-10.0,0.997565625
42,2,-2.0,0.99750625
43,3,-2.0,0.997446875
44,0,-5.0,0.9973875
45,1,-2.0,0.997328125
46,1,-1.0,0.99726875
47,0,-1.0,0.997209375
48,3,-1.0,0.99715
49,0,-3.0,0.997090625
50,1,-4.0,0.99703125
51,0,-5.0,0.996971875
52,0,-4.0,0.9969125
53,0,-2.0,0.996853125
54,3,-9.0,0.99679375
55,1,-4.0,0.996734375
56,1,-2.0,0.996675
57,2,-1.0,0.996615625
58,0,-3.0,0.99655625
59,0,-6.0,0.996496875
60,2,-2.0,0.9964375
61,1,-5.0,0.996378125
62,1,-3.0,0.99631875
63,0,-2.0,0.996259375
64,2,-2.0,0.9962
65,0,-6.0,0.996140625
66,2,-3.0,0.99608125
67,0,-3.0,0.996021875
68,1,-4.0,0.9959625
69,1,-3.0,0.995903125
70,1,-1.0,0.99584375
71,0,-6.0,0.995784375
72,1,-7.0,0.995725
73,0,-3.0,0.995665625
74,1,-2.0,0.99560625
75,0,-4.0,0.995546875
76,0,-9.0,0.9954875
77,1,-7.0,0.995428125
78,0,-4.0,0.99536875
79,0,-4.0,0.995309375
80,2,-6.0,0.99525
81,0,-3.0,0.995190625
82,2,-4.0,0.99513125
83,0,-2.0,0.995071875
84,0,-3.0,0.9950125
85,1,-3.0,0.994953125
86,1,-2.0,0.99489375
87,0,-3.0,0.994834375
88,0,-1.0,0.994775
89,5,-6.0,0.994715625
90,0,-4.0,0.99465625
91,1,0.0,0.994596875
92,1,-1.0,0.9945375
93,1,-2.0,0.994478125
94,1,-2.0,0.99441875
95,3,-1.0,0.994359375
96,2,-6.0,0.9943
97,0,-5.0,0.994240625
98,0,-4.0,0.99418125
99,0,-5.0,0.994121875
100,0,-3.0,0.9940625
101,1,-2.0,0.994003125
102,1,-2.0,0.99394375
103,1,0.0,0.993884375
104,0,-8.0,0.993825
105,1,0.0,0.993765625
106,1,-3.0,0.99370625
107,0,-2.0,0.993646875
108,1,-5.0,0.9935875
109,0,-5.0,0.993528125
110,0,-3.0,0.99346875
111,1,-2.0,0.993409375
112,0,-3.0,0.99335
