episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,1,-9.55,1.0
1,0,2,-22.869999999999997,0.9999703125
2,0,2,-15.21,0.999940625
3,0,5,-7.640000000000001,0.9999109375
4,0,2,-8.685,0.99988125
5,0,2,-13.765,0.9998515625
6,0,2,-10.885,0.999821875
7,0,4,-4.67,0.9997921875
8,0,3,-8.685,0.9997625
9,0,2,-8.795,0.9997328125
10,0,4,-11.77,0.999703125
11,0,2,-9.725,0.9996734375
12,0,4,-3.7699999999999996,0.99964375
13,0,4,-7.855,0.9996140625
14,0,4,-2.885,0.999584375
15,0,4,-5.725,0.9995546875
16,0,3,-7.865,0.999525
17,0,4,-10.74,0.9994953125
18,0,4,-10.835,0.999465625
19,0,3,-9.780000000000001,0.9994359375
20,0,2,-8.64,0.99940625
21,0,3,-9.765,0.9993765625
22,0,1,-12.64,0.999346875
23,0,2,-15.754999999999999,0.9993171875
24,0,3,-6.6850000000000005,0.9992875
25,0,2,-8.754999999999999,0.9992578125
26,0,2,-9.885,0.999228125
27,0,3,-27.229999999999997,0.9991984375
28,0,4,-21.709999999999997,0.99916875
29,0,4,-3.74,0.9991390625
30,0,3,-8.81,0.999109375
31,0,4,-5.654999999999999,0.9990796875
32,0,3,-7.9,0.99905
33,0,3,-6.6850000000000005,0.9990203125
34,0,2,-7.84,0.998990625
35,0,2,-9.9,0.9989609375
36,0,3,-7.67,0.99893125
37,0,3,-12.855,0.9989015625
38,0,2,-8.685,0.998871875
39,0,3,-7.755,0.9988421875
40,0,4,-10.725000000000001,0.9988125
41,0,3,-7.625,0.9987828125
42,0,3,-6.925,0.998753125
43,0,3,-6.895,0.9987234375
44,0,3,-5.755,0.99869375
45,0,4,-8.795000000000002,0.9986640625
46,1,3,-19.169999999999995,0.998634375
47,0,1,-15.109999999999998,0.9986046875
48,0,2,-8.01,0.998575
49,0,2,-23.98,0.9985453125
50,0,1,-15.864999999999998,0.998515625
51,0,2,-8.64,0.9984859375
52,0,3,-7.795,0.99845625
53,0,3,-6.8,0.9984265625
54,0,4,-7.695,0.998396875
55,0,5,-11.345000000000002,0.9983671875
56,0,3,-5.825,0.9983375
57,0,3,-8.870000000000001,0.9983078125
58,0,2,-8.8,0.998278125
59,0,3,-6.8100000000000005,0.9982484375
60,0,3,-6.8,0.99821875
61,0,3,-9.7,0.9981890625
62,0,4,-6.655,0.998159375
63,0,2,-9.8,0.9981296875
64,0,2,-13.780000000000001,0.9981
65,1,10,1.7250000000000032,0.9980703125
66,0,2,-11.935,0.998040625
67,0,2,-8.8,0.9980109375
68,0,3,-6.8,0.99798125
69,0,3,-8.795,0.9979515625
