episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,2,-12.4,1.0
1,0,3,-18.1,0.999940625
2,0,3,-12.1,0.99988125
3,0,0,-15.0,0.999821875
4,0,1,-16.7,0.9997625
5,0,3,-16.1,0.999703125
6,0,3,-17.1,0.99964375
7,0,2,-11.4,0.999584375
8,0,3,-16.1,0.999525
9,0,2,-11.4,0.999465625
10,0,4,-13.8,0.99940625
11,0,3,-18.1,0.999346875
12,0,3,-19.849999999999998,0.9992875
13,0,3,-12.1,0.999228125
14,0,6,-16.0,0.99916875
15,0,3,-13.1,0.999109375
16,0,4,-18.8,0.99905
17,0,3,-12.1,0.998990625
18,0,2,-13.4,0.99893125
19,0,2,-12.4,0.998871875
20,0,2,-12.4,0.9988125
21,0,6,-18.849999999999994,0.998753125
22,0,2,-14.4,0.99869375
23,0,2,-12.4,0.998634375
24,0,2,-13.4,0.998575
25,0,0,-19.0,0.998515625
26,0,3,-14.1,0.99845625
27,0,4,-12.8,0.998396875
28,0,3,-12.1,0.9983375
29,0,4,-12.8,0.998278125
30,0,2,-12.4,0.99821875
31,0,4,-20.8,0.998159375
32,0,2,-12.4,0.9981
33,0,3,-12.1,0.998040625
34,0,2,-16.4,0.99798125
35,0,1,-10.7,0.997921875
36,0,2,-12.4,0.9978625
37,0,3,-14.1,0.997803125
38,1,3,-19.049999999999997,0.99774375
39,0,3,-13.1,0.997684375
40,0,2,-12.4,0.997625
41,0,4,-14.8,0.997565625
42,0,2,-19.4,0.99750625
43,0,2,-11.4,0.997446875
44,0,3,-23.1,0.9973875
45,0,4,-11.8,0.997328125
46,0,3,-18.1,0.99726875
47,0,2,-12.4,0.997209375
48,0,3,-12.1,0.99715
49,0,3,-12.1,0.997090625
50,0,5,-21.5,0.99703125
51,0,2,-16.4,0.996971875
52,0,1,-14.7,0.9969125
53,0,1,-13.7,0.996853125
54,0,4,-10.8,0.99679375
55,0,3,-15.1,0.996734375
56,0,3,-12.1,0.996675
57,0,1,-16.7,0.996615625
58,0,2,-12.4,0.99655625
59,0,2,-16.4,0.996496875
60,0,4,-14.8,0.9964375
61,0,2,-16.4,0.996378125
62,0,3,-12.1,0.99631875
63,0,3,-12.1,0.996259375
64,0,2,-13.4,0.9962
65,0,3,-12.1,0.996140625
66,0,5,-25.1,0.99608125
67,0,2,-10.4,0.996021875
68,0,2,-14.4,0.9959625
69,0,2,-13.4,0.995903125
70,0,2,-12.4,0.99584375
71,0,2,-16.4,0.995784375
72,0,1,-11.7,0.995725
73,0,3,-13.1,0.995665625
74,0,4,-14.449999999999998,0.99560625
75,0,3,-12.1,0.995546875
76,0,3,-11.1,0.9954875
77,0,4,-15.8,0.995428125
78,0,4,-10.8,0.99536875
79,0,4,-10.8,0.995309375
80,0,1,-12.7,0.99525
81,0,4,-12.8,0.995190625
82,0,3,-13.1,0.99513125
83,0,2,-13.4,0.995071875
84,0,3,-12.1,0.9950125
85,0,4,-16.999999999999996,0.994953125
86,0,4,-11.8,0.99489375
87,0,4,-10.8,0.994834375
88,0,1,-22.7,0.994775
89,0,3,-18.1,0.994715625
90,0,4,-10.8,0.99465625
91,0,4,-24.8,0.994596875
92,0,3,-12.1,0.9945375
93,0,2,-12.4,0.994478125
94,0,2,-14.4,0.99441875
95,0,3,-14.1,0.994359375
96,0,3,-14.1,0.9943
97,0,1,-13.7,0.994240625
98,0,4,-14.8,0.99418125
99,0,3,-12.1,0.994121875
100,0,2,-16.4,0.9940625
101,0,6,-22.2,0.994003125
102,0,3,-15.95,0.99394375
103,0,3,-11.1,0.993884375
104,0,4,-12.8,0.993825
105,0,1,-10.7,0.993765625
106,0,3,-11.1,0.99370625
107,0,4,-11.8,0.993646875
108,0,1,-16.7,0.9935875
109,0,2,-16.4,0.993528125
110,0,3,-13.1,0.99346875
111,0,3,-13.1,0.993409375
112,0,4,-10.8,0.99335
113,0,2,-11.4,0.993290625
114,0,1,-12.7,0.99323125
115,0,2,-12.4,0.993171875
116,0,4,-11.8,0.9931125
117,0,5,-15.1,0.993053125
118,0,4,-14.8,0.99299375
119,0,5,-11.5,0.992934375
120,0,4,-10.8,0.992875
121,0,2,-13.4,0.992815625
122,0,2,-14.4,0.99275625
123,0,3,-13.1,0.992696875
124,0,3,-13.1,0.9926375
125,0,3,-12.1,0.992578125
126,0,2,-12.4,0.99251875
127,0,2,-11.4,0.992459375
128,0,2,-12.4,0.9924
129,0,4,-13.8,0.992340625
130,0,2,-12.4,0.99228125
131,0,3,-11.1,0.992221875
132,0,4,-11.8,0.9921625
133,0,2,-16.4,0.992103125
134,0,4,-34.8,0.99204375
135,0,1,-15.7,0.991984375
136,0,2,-16.4,0.991925
137,0,3,-10.1,0.991865625
138,0,2,-12.4,0.99180625
139,0,3,-13.1,0.991746875
140,0,4,-12.8,0.9916875
141,0,2,-11.4,0.991628125
142,0,3,-19.1,0.99156875
143,0,5,-12.5,0.991509375
144,0,4,-11.8,0.99145
145,0,4,-12.8,0.991390625
146,0,3,-12.1,0.99133125
147,0,1,-17.7,0.991271875
148,0,2,-14.4,0.9912125
149,0,2,-13.4,0.991153125
150,0,1,-14.7,0.99109375
151,0,2,-13.4,0.991034375
152,0,2,-26.4,0.990975
153,0,2,-13.4,0.990915625
154,0,3,-14.1,0.99085625
155,0,4,-16.8,0.990796875
156,0,2,-12.4,0.9907375
157,0,3,-12.1,0.990678125
158,0,3,-12.1,0.99061875
159,0,2,-13.4,0.990559375
160,0,4,-12.8,0.9905
161,0,4,-9.8,0.990440625
162,0,2,-13.4,0.99038125
163,0,3,-14.1,0.990321875
164,0,3,-13.1,0.9902625
165,0,4,-12.8,0.990203125
166,0,0,-13.0,0.99014375
167,0,4,-10.8,0.990084375
168,0,2,-18.4,0.990025
169,0,1,-13.7,0.989965625
170,0,7,-19.9,0.98990625
171,0,2,-13.4,0.989846875
172,0,2,-12.4,0.9897875
173,0,3,-11.1,0.989728125
174,0,2,-14.4,0.98966875
175,0,5,-12.5,0.989609375
176,0,2,-13.4,0.98955
177,0,2,-16.4,0.989490625
178,0,3,-20.1,0.98943125
179,0,2,-13.4,0.989371875
180,0,2,-19.4,0.9893125
181,0,4,-12.8,0.989253125
182,0,3,-16.1,0.98919375
183,0,3,-12.1,0.989134375
184,0,3,-14.1,0.989075
185,0,3,-14.1,0.989015625
186,0,2,-20.4,0.98895625
187,0,1,-10.7,0.988896875
188,0,3,-20.1,0.9888375
189,0,3,-13.1,0.988778125
190,0,3,-12.1,0.98871875
191,0,2,-12.4,0.988659375
192,0,4,-10.8,0.9886
193,0,4,-9.8,0.988540625
194,0,3,-11.1,0.98848125
195,0,4,-10.8,0.988421875
196,0,5,-25.299999999999997,0.9883625
197,0,4,-10.8,0.988303125
198,0,3,-11.1,0.98824375
199,0,3,-16.1,0.988184375
200,0,6,-10.2,0.988125
201,0,1,-13.7,0.988065625
202,0,2,-15.4,0.98800625
203,0,3,-16.1,0.987946875
204,0,0,-13.0,0.9878875
205,0,1,-9.7,0.9878281250000001
206,0,3,-12.1,0.98776875
207,0,3,-11.1,0.987709375
208,0,2,-11.4,0.98765
209,0,4,-11.8,0.987590625
210,0,3,-12.1,0.98753125
211,0,3,-11.1,0.987471875
212,0,3,-15.1,0.9874125
213,0,3,-12.1,0.987353125
214,0,3,-15.1,0.98729375
215,0,2,-18.4,0.987234375
216,0,4,-10.8,0.987175
217,0,3,-14.1,0.987115625
218,0,3,-12.1,0.98705625
219,0,1,-12.7,0.986996875
220,0,3,-14.1,0.9869375
221,0,2,-12.4,0.986878125
222,0,1,-22.7,0.98681875
223,0,4,-11.8,0.986759375
224,0,4,-14.749999999999996,0.9867
225,0,1,-16.7,0.986640625
226,0,5,-16.5,0.98658125
227,0,3,-12.1,0.986521875
228,0,5,-21.5,0.9864625
229,0,1,-12.7,0.986403125
230,0,3,-12.1,0.98634375
231,0,2,-15.4,0.986284375
232,0,1,-12.7,0.986225
233,0,3,-18.4,0.986165625
234,0,3,-12.1,0.98610625
235,0,2,-17.4,0.986046875
236,0,3,-14.1,0.9859875
237,0,2,-12.4,0.985928125
238,0,5,-16.5,0.98586875
239,0,3,-16.1,0.985809375
240,0,4,-18.799999999999997,0.98575
241,0,3,-14.1,0.985690625
242,0,1,-12.7,0.98563125
243,0,2,-11.4,0.985571875
244,0,6,-13.2,0.9855125
245,0,4,-18.8,0.985453125
246,0,4,-12.8,0.98539375
247,0,3,-12.1,0.985334375
248,0,4,-14.8,0.985275
249,0,3,-19.95,0.985215625
