episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,2,-15.25,1.0
1,0,3,-9.95,0.9999208333333334
2,0,4,-10.65,0.9998416666666666
3,0,3,-12.85,0.9997625
4,0,2,-17.3,0.9996833333333334
5,0,3,-13.95,0.9996041666666666
6,0,3,-12.85,0.999525
7,0,3,-14.05,0.9994458333333334
8,0,3,-11.1,0.9993666666666666
9,0,3,-11.1,0.9992875
10,0,1,-10.3,0.9992083333333334
11,0,3,-10.85,0.9991291666666666
12,0,3,-13.700000000000001,0.99905
13,0,2,-9.35,0.9989708333333334
14,0,5,-11.4,0.9988916666666666
15,0,3,-12.1,0.9988125
16,0,3,-9.85,0.9987333333333334
17,0,3,-10.95,0.9986541666666666
18,0,3,-12.95,0.998575
19,0,3,-10.899999999999999,0.9984958333333334
20,0,4,-9.65,0.9984166666666666
21,0,2,-11.3,0.9983375
22,0,4,-11.65,0.9982583333333334
23,0,3,-10.85,0.9981791666666666
24,0,3,-11.1,0.9981
25,0,3,-12.05,0.9980208333333334
26,0,4,-11.600000000000001,0.9979416666666666
27,0,3,-10.899999999999999,0.9978625
28,0,3,-13.2,0.9977833333333334
29,0,2,-14.0,0.9977041666666666
30,0,3,-11.95,0.997625
31,0,3,-12.899999999999999,0.9975458333333334
32,0,1,-12.7,0.9974666666666666
33,0,3,-15.05,0.9973875
34,0,4,-10.55,0.9973083333333334
35,0,1,-14.799999999999999,0.9972291666666666
36,0,3,-12.899999999999999,0.99715
37,0,3,-11.85,0.9970708333333334
38,0,2,-14.0,0.9969916666666667
39,0,1,-15.5,0.9969125
40,0,3,-12.95,0.9968333333333333
41,0,4,-10.600000000000001,0.9967541666666667
42,0,3,-9.85,0.996675
43,0,3,-11.049999999999999,0.9965958333333333
44,0,2,-9.2,0.9965166666666667
45,0,3,-11.1,0.9964375
46,0,4,-11.5,0.9963583333333333
47,0,3,-13.45,0.9962791666666667
48,0,3,-11.799999999999999,0.9962
49,0,2,-11.05,0.9961208333333333
50,0,4,-10.600000000000001,0.9960416666666667
51,0,3,-10.899999999999999,0.9959625
52,0,3,-8.0,0.9958833333333333
53,0,3,-13.1,0.9958041666666667
54,0,2,-11.25,0.995725
55,0,2,-14.3,0.9956458333333333
56,0,2,-11.2,0.9955666666666667
57,0,3,-14.8,0.9954875
58,0,2,-16.25,0.9954083333333333
59,0,2,-13.25,0.9953291666666667
60,0,1,-12.349999999999998,0.99525
61,0,3,-16.25,0.9951708333333333
62,0,2,-10.2,0.9950916666666667
63,0,3,-11.049999999999999,0.9950125
64,0,2,-25.4,0.9949333333333333
65,0,3,-11.899999999999999,0.9948541666666667
66,0,1,-13.25,0.994775
67,0,2,-14.350000000000001,0.9946958333333333
68,0,3,-10.799999999999999,0.9946166666666667
69,0,4,-10.75,0.9945375
70,0,3,-8.899999999999999,0.9944583333333333
71,0,3,-12.75,0.9943791666666667
72,0,4,-11.65,0.9943
73,0,4,-10.600000000000001,0.9942208333333333
74,0,4,-14.700000000000001,0.9941416666666667
75,0,3,-14.899999999999999,0.9940625
76,0,2,-11.15,0.9939833333333333
77,0,3,-14.05,0.9939041666666667
78,0,3,-15.1,0.993825
79,0,4,-11.45,0.9937458333333333
80,0,4,-12.600000000000001,0.9936666666666667
81,0,3,-12.85,0.9935875
82,0,1,-10.45,0.9935083333333333
83,0,4,-11.600000000000001,0.9934291666666667
84,0,1,-9.7,0.99335
85,0,4,-10.55,0.9932708333333333
86,0,3,-10.0,0.9931916666666667
87,0,4,-10.600000000000001,0.9931125
88,0,2,-11.35,0.9930333333333333
89,0,3,-15.5,0.9929541666666667
90,0,1,-13.299999999999999,0.992875
91,0,3,-11.0,0.9927958333333333
92,0,3,-15.5,0.9927166666666667
93,0,2,-11.900000000000002,0.9926375
94,0,1,-13.25,0.9925583333333333
95,0,3,-10.85,0.9924791666666667
96,0,1,-11.2,0.9924
97,0,3,-10.899999999999999,0.9923208333333333
98,0,4,-12.55,0.9922416666666667
99,0,1,-13.349999999999998,0.9921625
100,1,4,-21.25,0.9920833333333333
101,0,3,-12.85,0.9920041666666667
102,0,4,-10.700000000000001,0.991925
103,0,2,-15.15,0.9918458333333333
104,0,2,-15.75,0.9917666666666667
105,0,3,-12.1,0.9916875
106,0,2,-9.9,0.9916083333333333
107,0,4,-9.55,0.9915291666666667
108,0,2,-10.149999999999999,0.99145
109,0,3,-13.1,0.9913708333333333
