episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-23.029642857142857,1.0
1,0,3,-11.938333333333333,0.9998515625
2,0,2,-22.593809523809526,0.999703125
3,0,4,-14.293809523809523,0.9995546875
4,0,4,-21.239880952380954,0.99940625
5,0,3,-14.543809523809523,0.9992578125
6,0,3,-11.651666666666667,0.999109375
7,0,2,-16.292142857142856,0.9989609375
8,0,4,-11.703809523809523,0.9988125
9,0,2,-18.093809523809526,0.9986640625
10,0,3,-17.044642857142858,0.998515625
11,1,10,-15.501309523809514,0.9983671875
12,0,3,-11.913333333333334,0.99821875
13,0,2,-18.282380952380954,0.9980703125
14,0,4,-10.764880952380953,0.997921875
15,0,4,-11.913571428571428,0.9977734375
16,0,3,-17.769642857142856,0.997625
17,0,2,-34.52630952380952,0.9974765625
18,0,8,-26.679642857142866,0.997328125
19,0,2,-16.482142857142858,0.9971796875
20,0,2,-12.475000000000001,0.99703125
21,0,3,-12.236666666666666,0.9968828125
22,0,2,-25.77857142857143,0.996734375
23,0,4,-9.6,0.9965859375
24,0,4,-10.213571428571427,0.9964375
25,0,3,-13.107142857142858,0.9962890625
26,0,2,-16.385714285714286,0.996140625
27,0,4,-13.718809523809524,0.9959921875
28,0,2,-21.329642857142858,0.99584375
29,0,3,-28.76964285714286,0.9956953125
30,0,1,-26.337142857142855,0.995546875
31,0,6,-14.46488095238095,0.9953984375
32,0,3,-14.013571428571428,0.99525
33,0,3,-12.600000000000001,0.9951015625
34,0,3,-14.443809523809524,0.994953125
35,0,2,-12.003333333333334,0.9948046875
36,0,3,-22.342142857142857,0.99465625
37,0,3,-23.754642857142855,0.9945078125
38,0,2,-18.41988095238095,0.994359375
39,0,5,-17.548214285714288,0.9942109375
40,0,1,-21.322142857142854,0.9940625
41,0,3,-16.243809523809524,0.9939140625
42,0,1,-31.602142857142855,0.993765625
43,0,2,-23.229642857142856,0.9936171875
44,0,2,-23.307142857142857,0.99346875
45,0,3,-13.442142857142857,0.9933203125
46,0,5,-19.982142857142858,0.993171875
47,0,3,-13.917142857142858,0.9930234375
48,0,3,-13.377142857142857,0.992875
49,0,3,-15.432142857142857,0.9927265625
50,0,3,-16.30238095238095,0.992578125
51,0,5,-14.496071428571428,0.9924296875
52,0,3,-19.829642857142858,0.99228125
53,0,4,-12.332142857142856,0.9921328125
54,0,3,-11.75,0.991984375
55,0,1,-22.423571428571428,0.9918359375
56,0,1,-17.125,0.9916875
57,0,5,-19.456309523809526,0.9915390625
58,0,3,-11.307142857142857,0.991390625
59,0,3,-13.11357142857143,0.9912421875
60,0,4,-10.236666666666666,0.99109375
61,0,4,-9.651666666666667,0.9909453125
62,0,2,-13.516666666666666,0.990796875
63,0,2,-14.442142857142857,0.9906484375
64,0,2,-13.773333333333333,0.9905
65,0,3,-21.068809523809524,0.9903515625
66,0,3,-12.316666666666666,0.990203125
67,0,3,-17.803571428571427,0.9900546875
68,0,3,-15.019642857142857,0.98990625
69,0,3,-13.442142857142857,0.9897578125
70,0,3,-10.751666666666667,0.989609375
71,0,3,-12.442142857142859,0.9894609375
72,0,4,-13.861071428571428,0.9893125
73,0,3,-10.606666666666666,0.9891640625
74,0,3,-13.264880952380953,0.989015625
75,0,4,-11.482142857142858,0.9888671875
76,0,3,-10.706666666666667,0.98871875
77,0,2,-18.729642857142856,0.9885703125
78,0,5,-18.685714285714287,0.988421875
79,0,4,-26.557142857142857,0.9882734375
80,0,3,-16.079642857142858,0.988125
81,0,3,-12.75,0.9879765625
82,0,3,-31.754642857142862,0.9878281250000001
83,0,3,-10.85,0.9876796875
84,0,5,-27.35630952380952,0.98753125
85,0,2,-14.452380952380953,0.9873828125
86,0,4,-10.998333333333331,0.987234375
87,0,5,-24.47321428571428,0.9870859375
88,0,3,-15.969642857142857,0.9869375
89,0,3,-20.16880952380952,0.9867890625
90,0,3,-13.057142857142857,0.986640625
91,0,3,-10.952380952380953,0.9864921875
92,0,4,-10.236666666666666,0.98634375
93,0,2,-22.998214285714283,0.9861953125
94,0,3,-16.31714285714286,0.986046875
95,0,5,-13.636547619047619,0.9858984375
96,0,3,-18.592142857142857,0.98575
97,0,3,-10.903333333333332,0.9856015625
98,0,2,-15.582142857142857,0.985453125
99,0,2,-16.436071428571427,0.9853046875
100,0,3,-16.385714285714286,0.98515625
101,0,5,-9.009880952380954,0.9850078125
102,0,3,-16.192142857142855,0.984859375
103,0,2,-18.729642857142856,0.9847109375
