episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,2,-8.74,0.2
1,0,3,-7.640000000000001,0.2
2,0,3,-8.625,0.2
3,0,2,-8.8,0.2
4,0,3,-7.725,0.2
5,0,2,-8.74,0.2
6,0,3,-16.59,0.2
7,0,4,-7.1850000000000005,0.2
8,0,2,-12.565000000000001,0.2
9,0,2,-20.725,0.2
10,0,4,-5.640000000000001,0.2
11,0,6,-7.6850000000000005,0.2
12,0,3,-9.1,0.2
13,0,3,-5.699999999999999,0.2
14,0,2,-7.3,0.2
15,0,4,-6.6850000000000005,0.2
16,0,2,-9.625,0.2
17,0,1,-8.87,0.2
18,0,1,-8.925,0.2
19,0,2,-9.7,0.2
20,0,3,-10.849999999999998,0.2
21,0,4,-30.500000000000018,0.2
22,0,3,-8.1,0.2
23,0,5,-17.39999999999999,0.2
24,0,3,-8.7,0.2
25,0,3,-11.799999999999997,0.2
26,0,4,-10.949999999999998,0.2
27,0,4,-14.684999999999999,0.2
28,0,4,-9.9,0.2
29,0,3,-8.7,0.2
30,0,3,-6.7,0.2
31,0,5,-7.600000000000001,0.2
32,0,4,-9.7,0.2
33,0,4,-7.9,0.2
34,0,2,-14.685,0.2
35,0,3,-11.8,0.2
36,0,4,-8.6,0.2
37,0,3,-4.2,0.2
38,0,2,-8.7,0.2
39,0,5,-16.149999999999984,0.2
40,0,1,-13.94,0.2
41,0,3,-6.7,0.2
42,0,1,-12.8,0.2
43,0,4,-5.7,0.2
44,0,3,-6.8,0.2
45,0,2,-11.0,0.2
46,0,2,-9.685,0.2
47,0,3,-11.085,0.2
48,0,2,-5.55,0.2
49,0,4,-7.9,0.2
50,0,3,-6.67,0.2
51,0,4,-4.7,0.2
52,0,2,-8.1,0.2
53,0,4,-5.199999999999999,0.2
54,0,3,-7.9,0.2
55,0,3,-7.1,0.2
56,0,3,-7.4,0.2
57,0,4,-11.399999999999999,0.2
58,0,3,-7.640000000000001,0.2
59,0,3,-10.67,0.2
60,0,2,-15.8,0.2
61,0,6,-5.949999999999997,0.2
62,0,7,-5.084999999999992,0.2
63,0,3,-10.3,0.2
64,0,3,-5.8,0.2
65,0,6,1.7550000000000736,0.2
66,0,2,-13.0,0.2
67,0,3,-6.0,0.2
68,0,3,-8.8,0.2
69,0,3,-8.7,0.2
70,0,3,-7.1,0.2
71,0,4,-5.7,0.2
72,0,3,-8.7,0.2
73,0,3,-10.9,0.2
74,0,5,-6.9,0.2
75,0,5,-1.8499999999999996,0.2
76,0,5,-4.199999999999983,0.2
77,0,2,-5.97,0.2
78,0,3,-5.285,0.2
79,0,6,-7.349999999999997,0.2
80,0,2,-18.499999999999993,0.2
81,0,3,-7.7,0.2
82,0,3,-6.45,0.2
83,0,3,-6.7,0.2
84,0,3,-10.184999999999999,0.2
85,0,3,-6.6850000000000005,0.2
86,0,3,-4.91,0.2
87,1,9,-13.250000000000009,0.2
88,0,4,-6.885,0.2
89,0,8,6.544999999999998,0.2
90,0,2,-18.584999999999994,0.2
91,0,0,-15.079999999999998,0.2
92,0,2,-23.19999999999999,0.2
93,0,1,-13.309999999999999,0.2
94,0,2,-10.7,0.2
95,0,1,-7.465,0.2
96,0,2,-14.45,0.2
97,0,3,-10.085,0.2
98,0,4,-7.609999999999998,0.2
99,0,1,-12.495,0.2
100,0,2,-13.02,0.2
101,0,3,-10.2,0.2
102,1,5,-2.8549999999999978,0.2
103,0,4,-8.299999999999999,0.2
104,0,2,-9.8,0.2
105,0,2,-9.785,0.2
106,0,4,-5.1,0.2
107,0,2,-7.925,0.2
108,2,7,-5.849999999999995,0.2
109,0,3,-9.8,0.2
110,0,3,-8.955,0.2
111,0,3,-7.8,0.2
112,0,3,-7.640000000000001,0.2
113,0,4,-17.999999999999986,0.2
114,0,4,-15.099999999999996,0.2
115,0,6,-15.364999999999998,0.2
116,0,3,-7.0,0.2
117,0,3,-9.97,0.2
118,0,2,-13.549999999999997,0.2
119,0,4,-8.64,0.2
120,0,2,-9.805,0.2
121,0,3,-17.184999999999995,0.2
122,0,3,-9.8,0.2
123,0,2,-10.785,0.2
124,2,9,-2.214999999999997,0.2
125,0,5,-13.97,0.2
126,0,2,-12.9,0.2
127,0,4,-6.785,0.2
128,0,3,-7.7,0.2
129,0,3,-12.485000000000001,0.2
130,0,3,-8.7,0.2
131,0,3,-7.7,0.2
132,0,2,-11.8,0.2
133,0,3,-7.7,0.2
134,0,2,-10.61,0.2
135,0,3,-5.499999999999997,0.2
136,0,2,-5.71,0.2
137,0,4,-14.499999999999998,0.2
138,0,3,-11.5,0.2
139,0,3,-7.7,0.2
140,0,3,-13.3,0.2
141,0,6,-1.7999999999999998,0.2
142,0,4,-16.39999999999999,0.2
143,0,4,-8.9,0.2
144,0,2,-14.9,0.2
145,1,2,-18.5,0.2
146,0,2,-7.5,0.2
147,0,4,-2.8999999999999995,0.2
148,0,2,-14.899999999999999,0.2
149,0,4,-7.8,0.2
150,0,3,-4.8999999999999995,0.2
151,0,3,-4.885,0.2
152,0,4,-6.4,0.2
153,0,2,-13.299999999999999,0.2
154,0,3,-8.9,0.2
155,0,4,-6.9,0.2
156,0,3,-9.3,0.2
157,0,6,-5.655,0.2
158,1,6,-13.599999999999998,0.2
159,0,3,-15.4,0.2
160,0,2,-7.199999999999999,0.2
161,0,4,-5.7,0.2
162,0,1,-12.219999999999999,0.2
163,0,2,-14.04,0.2
164,0,3,-7.640000000000001,0.2
165,0,2,-5.87,0.2
166,0,3,-8.9,0.2
167,0,1,-13.885,0.2
168,0,3,-4.55,0.2
169,0,3,-13.0,0.2
170,0,4,-6.9,0.2
