episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-12.27,1.0
1,0,2,-11.77,0.99975
2,0,4,-4.6850000000000005,0.9995
3,0,3,-10.295,0.99925
4,0,5,-8.885,0.999
5,0,3,-7.785,0.99875
6,0,2,-8.425,0.9985
7,0,3,-6.824999999999999,0.99825
8,0,2,-8.295,0.998
9,0,2,-9.7,0.99775
10,0,3,-6.725,0.9975
11,0,3,-10.9,0.99725
12,0,2,-7.640000000000001,0.997
13,0,3,-5.91,0.99675
14,0,4,-11.985,0.9965
15,0,3,-14.9,0.99625
16,0,6,-7.824999999999999,0.996
17,0,2,-13.01,0.99575
18,0,3,-7.74,0.9955
19,0,3,-6.9399999999999995,0.99525
20,0,2,-15.805000000000003,0.995
21,0,4,-3.7849999999999997,0.99475
22,0,4,-4.64,0.9945
23,0,3,-6.885,0.99425
24,0,6,-1.355,0.994
25,0,3,-6.67,0.99375
26,0,3,-7.585,0.9935
27,0,3,-8.9,0.99325
28,0,2,-10.52,0.993
29,0,3,-9.87,0.99275
30,0,2,-8.64,0.9925
31,0,4,-14.384999999999998,0.99225
32,0,5,-8.625,0.992
33,0,3,-5.84,0.99175
34,0,2,-9.625,0.9915
35,0,4,-4.6850000000000005,0.99125
36,0,3,-6.955,0.991
37,0,2,-8.64,0.99075
38,0,3,-5.785,0.9905
39,0,3,-7.800000000000001,0.99025
40,0,1,-11.265,0.99
41,0,2,-11.685,0.98975
42,0,3,-6.7,0.9895
43,0,2,-10.335,0.98925
44,0,4,-5.67,0.989
45,0,3,-8.77,0.98875
46,0,5,-13.0,0.9885
47,0,0,-11.28,0.98825
48,0,3,-6.74,0.988
49,0,4,-5.67,0.98775
50,0,2,-6.84,0.9875
51,0,2,-10.61,0.98725
52,0,2,-6.9,0.987
53,0,3,-5.74,0.98675
54,0,3,-7.9399999999999995,0.9865
55,0,3,-7.109999999999999,0.98625
56,0,2,-13.899999999999999,0.986
57,0,3,-5.74,0.98575
58,0,4,-4.655,0.9855
59,0,3,-6.8,0.98525
60,0,3,-7.725,0.985
61,0,3,-13.8,0.98475
62,0,2,-17.285,0.9845
63,0,2,-19.9,0.98425
64,0,3,-13.819999999999997,0.984
65,0,3,-6.640000000000001,0.98375
66,0,4,-3.77,0.9835
67,0,3,-15.985,0.98325
68,0,3,-6.855,0.983
69,0,3,-9.02,0.98275
70,0,2,-13.8,0.9825
71,0,3,-8.2,0.98225
72,0,2,-11.67,0.982
73,0,3,-5.74,0.98175
74,0,4,-6.455,0.9815
75,0,4,-5.885,0.98125
76,0,1,-9.755,0.981
77,0,3,-6.67,0.98075
78,0,4,-8.885,0.9805
79,0,4,-4.6850000000000005,0.98025
80,0,3,-15.0,0.98
81,0,5,-6.855,0.97975
82,0,1,-12.9,0.9795
83,0,2,-7.885,0.97925
84,0,2,-21.07,0.979
85,0,4,-5.640000000000001,0.97875
86,0,4,-3.7849999999999997,0.9785
87,0,2,-6.97,0.97825
88,0,2,-16.87,0.978
89,0,2,-12.8,0.97775
90,0,3,-8.685,0.9775
91,0,1,-15.77,0.97725
92,0,2,-10.32,0.977
93,0,3,-11.3,0.97675
94,0,3,-12.754999999999999,0.9765
95,0,2,-15.48,0.97625
96,0,3,-11.580000000000002,0.976
97,0,2,-8.71,0.97575
98,0,4,-6.855,0.9755
99,0,3,-6.725,0.97525
100,0,2,-9.67,0.975
101,0,1,-9.825,0.97475
102,0,1,-16.17,0.9745
103,0,3,-6.725,0.97425
104,0,3,-5.17,0.974
105,1,3,-20.869999999999997,0.97375
106,0,2,-7.84,0.9735
107,0,3,-16.2,0.97325
108,0,6,-8.955,0.973
109,0,4,-4.6850000000000005,0.97275
110,0,3,-10.7,0.9725
111,0,2,-8.9,0.97225
112,0,3,-12.055,0.972
113,0,4,-14.284999999999998,0.97175
114,0,3,-9.0,0.9715
115,0,6,-9.004999999999995,0.97125
116,0,3,-7.855,0.971
117,0,2,-9.55,0.97075
118,0,1,-11.280000000000001,0.9705
119,0,3,-6.81,0.97025
120,0,4,-5.885,0.97
121,0,3,-7.8999999999999995,0.96975
122,0,3,-6.8,0.9695
123,0,4,-8.684999999999999,0.96925
124,0,4,-5.8100000000000005,0.969
125,0,2,-8.7,0.96875
126,0,2,-6.425,0.9685
127,0,4,-5.725,0.96825
128,0,3,-11.655000000000001,0.968
129,0,2,-17.1,0.96775
130,0,3,-7.725,0.9675
131,0,4,-4.025,0.9672499999999999
132,0,2,-10.9,0.967
133,0,2,-9.61,0.96675
134,0,4,-5.67,0.9665
135,0,3,-7.085,0.96625
136,0,3,-5.77,0.966
137,0,3,-8.8,0.96575
138,0,2,-20.055,0.9655
139,0,2,-12.07,0.96525
140,0,1,-16.155,0.965
141,0,5,0.3450000000000004,0.96475
142,0,2,-7.8,0.9645
143,0,3,-7.895,0.96425
144,0,3,-7.67,0.964
145,0,4,-3.955,0.96375
146,0,3,-5.855,0.9635
147,0,2,-11.84,0.96325
148,0,1,-10.91,0.963
149,0,3,-8.7,0.96275
150,0,2,-7.74,0.9625
151,0,4,-4.67,0.96225
152,0,3,-8.71,0.962
153,0,4,-8.685,0.96175
154,0,2,-11.785,0.9615
155,0,3,-11.825000000000001,0.96125
156,0,3,-7.800000000000001,0.961
157,0,3,-10.754999999999999,0.96075
158,0,4,-3.77,0.9605
159,0,2,-13.0,0.96025
160,0,0,-9.825,0.96
161,0,5,-7.885,0.95975
