episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-12.77,1.0
1,0,2,-12.995000000000001,0.999703125
2,0,3,-14.785,0.99940625
3,0,4,-11.44,0.999109375
4,0,3,-14.725,0.9988125
5,0,2,-14.07,0.998515625
6,0,3,-11.785,0.99821875
7,0,4,-16.365000000000002,0.997921875
8,0,3,-11.739999999999998,0.997625
9,0,3,-12.77,0.997328125
10,0,4,-11.425,0.99703125
11,0,2,-18.009999999999998,0.996734375
12,0,3,-12.739999999999998,0.9964375
13,0,3,-14.68,0.996140625
14,0,4,-11.47,0.99584375
15,0,4,-26.289999999999996,0.995546875
16,0,3,-13.739999999999998,0.99525
17,0,3,-13.785,0.994953125
18,0,2,-13.055,0.99465625
19,0,5,-14.155000000000001,0.994359375
20,0,3,-9.754999999999999,0.9940625
21,0,3,-16.71,0.993765625
22,0,3,-12.724999999999998,0.99346875
23,0,4,-10.47,0.993171875
24,0,2,-17.04,0.992875
25,0,3,-11.785,0.992578125
26,0,2,-16.07,0.99228125
27,0,4,-11.425,0.991984375
28,0,3,-14.77,0.9916875
29,0,3,-13.649999999999999,0.991390625
30,0,4,-10.455,0.99109375
31,0,3,-10.785,0.990796875
32,0,4,-15.865000000000002,0.9905
33,0,4,-10.455,0.990203125
34,0,3,-27.755000000000003,0.98990625
35,0,3,-14.74,0.989609375
36,0,2,-11.07,0.9893125
37,0,3,-22.74,0.989015625
38,0,2,-11.1,0.98871875
39,0,2,-12.07,0.988421875
40,0,2,-16.440000000000005,0.988125
41,0,3,-11.785,0.9878281250000001
42,0,4,-10.47,0.98753125
43,0,4,-16.335,0.987234375
44,0,2,-9.74,0.9869375
45,0,2,-10.025,0.986640625
46,0,3,-14.739999999999998,0.98634375
47,0,3,-19.029999999999987,0.986046875
48,0,3,-10.77,0.98575
49,0,5,-22.930000000000003,0.985453125
50,0,3,-11.785,0.98515625
51,0,1,-14.889999999999997,0.984859375
52,0,6,-16.825,0.9845625
53,0,2,-12.01,0.984265625
54,0,4,-10.47,0.98396875
55,0,3,-15.634999999999998,0.983671875
56,0,3,-15.754999999999999,0.983375
57,0,3,-10.754999999999999,0.983078125
58,0,3,-10.754999999999999,0.98278125
59,0,2,-11.1,0.982484375
60,0,1,-14.354999999999999,0.9821875
61,0,4,-16.41,0.981890625
62,0,2,-14.100000000000001,0.98159375
63,0,3,-17.68,0.981296875
64,0,3,-15.8,0.981
65,0,2,-14.04,0.980703125
66,0,3,-16.8,0.98040625
67,0,2,-12.04,0.980109375
68,0,3,-16.695,0.9798125
69,0,2,-11.085,0.979515625
