episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,2,-16.567142857142855,1.0
1,0,3,-10.751666666666667,0.9999703125
2,0,2,-28.354642857142856,0.999940625
3,0,2,-14.542142857142856,0.9999109375
4,0,2,-12.511666666666667,0.99988125
5,0,3,-21.743809523809524,0.9998515625
6,0,4,-15.054642857142857,0.999821875
7,0,4,-9.7,0.9997921875
8,0,5,-8.034880952380952,0.9997625
9,0,4,-8.751666666666665,0.9997328125
10,0,2,-14.353809523809524,0.999703125
11,0,3,-10.898333333333333,0.9996734375
12,0,2,-17.118809523809524,0.99964375
13,0,5,-29.760714285714293,0.9996140625
14,0,4,-32.981071428571425,0.999584375
15,0,1,-15.738333333333333,0.9995546875
16,0,3,-10.835714285714285,0.999525
17,0,4,-9.803333333333333,0.9994953125
18,0,2,-25.332142857142856,0.999465625
19,0,4,-11.788809523809524,0.9994359375
20,0,4,-7.851666666666667,0.99940625
21,0,3,-14.767142857142856,0.9993765625
22,0,3,-12.582142857142857,0.999346875
23,0,2,-14.75,0.9993171875
24,0,2,-14.236666666666666,0.9992875
25,0,3,-14.757142857142856,0.9992578125
26,0,1,-19.257142857142853,0.999228125
27,0,2,-16.482142857142858,0.9991984375
28,0,2,-32.50238095238095,0.99916875
29,0,3,-12.107142857142858,0.9991390625
30,0,3,-21.80464285714286,0.999109375
31,0,3,-17.942142857142855,0.9990796875
32,0,3,-13.331666666666667,0.99905
33,0,3,-11.198333333333334,0.9990203125
34,0,4,-11.636071428571428,0.998990625
35,0,2,-19.672619047619047,0.9989609375
36,0,3,-22.44464285714286,0.99893125
37,0,3,-17.972380952380952,0.9989015625
38,0,4,-8.903333333333332,0.998871875
39,0,3,-16.764880952380953,0.9988421875
40,0,3,-12.758809523809525,0.9988125
41,0,2,-14.542142857142856,0.9987828125
42,0,3,-13.316666666666666,0.998753125
43,0,1,-18.893809523809523,0.9987234375
44,0,4,-11.788809523809524,0.99869375
45,0,1,-19.338571428571427,0.9986640625
46,0,3,-16.338809523809523,0.998634375
47,0,4,-14.707142857142857,0.9986046875
48,0,2,-15.727142857142855,0.998575
49,0,2,-17.928809523809523,0.9985453125
50,0,1,-20.193809523809524,0.998515625
51,0,3,-11.307142857142857,0.9984859375
52,0,3,-23.363809523809522,0.99845625
53,0,2,-14.346666666666668,0.9984265625
54,0,6,-6.5582142857142856,0.998396875
55,0,3,-14.957142857142857,0.9983671875
56,0,3,-15.163809523809524,0.9983375
57,0,3,-34.49464285714285,0.9983078125
58,0,3,-14.813571428571429,0.998278125
59,0,0,-18.674999999999997,0.9982484375
60,0,3,-13.091666666666665,0.99821875
61,0,3,-12.917142857142856,0.9981890625
62,0,3,-13.907142857142857,0.998159375
63,0,4,-9.531666666666666,0.9981296875
64,0,4,-11.136666666666667,0.9981
65,0,1,-28.279642857142857,0.9980703125
66,0,3,-11.013333333333334,0.998040625
67,0,3,-14.717142857142857,0.9980109375
68,0,3,-11.998333333333331,0.99798125
69,0,2,-14.998333333333331,0.9979515625
70,0,5,-6.645714285714286,0.997921875
71,0,3,-18.017142857142858,0.9978921875
72,0,3,-17.092142857142857,0.9978625
73,0,3,-11.651666666666667,0.9978328125
74,0,3,-11.6,0.997803125
75,0,3,-11.088809523809523,0.9977734375
76,0,4,-11.136666666666667,0.99774375
77,0,2,-14.998333333333331,0.9977140625
78,0,3,-15.807142857142857,0.997684375
79,0,2,-23.893571428571423,0.9976546875
80,0,3,-10.903333333333332,0.997625
81,0,3,-24.70130952380952,0.9975953125
82,0,2,-12.206666666666667,0.997565625
83,0,2,-34.36964285714286,0.9975359375
84,0,4,-8.003333333333334,0.99750625
85,0,4,-12.263809523809524,0.9974765625
86,0,1,-19.08380952380952,0.997446875
87,0,2,-13.803333333333333,0.9974171875
88,0,3,-18.04380952380952,0.9973875
89,0,2,-15.957142857142857,0.9973578125
90,0,4,-15.607142857142858,0.997328125
91,0,4,-9.098333333333333,0.9972984375
92,0,3,-15.119642857142857,0.99726875
93,0,5,-20.807142857142857,0.9972390625
94,0,3,-16.112380952380953,0.997209375
95,0,4,-9.651666666666667,0.9971796875
96,0,4,-12.91357142857143,0.99715
97,0,6,-18.57964285714286,0.9971203125
98,0,6,-8.310714285714287,0.997090625
99,0,4,-22.90904761904762,0.9970609375
100,0,2,-17.819642857142856,0.99703125
101,0,4,-21.131309523809524,0.9970015625
102,0,2,-22.347380952380952,0.996971875
103,0,3,-11.651666666666667,0.9969421875
104,0,4,-15.842142857142857,0.9969125
105,0,4,-26.452380952380956,0.9968828125
106,0,3,-11.998333333333331,0.996853125
107,0,1,-20.33607142857143,0.9968234375
108,0,1,-16.277142857142856,0.99679375
109,0,3,-19.794642857142858,0.9967640625
110,0,3,-20.632142857142856,0.996734375
111,0,2,-12.198333333333334,0.9967046875
112,0,2,-15.377142857142857,0.996675
113,0,2,-14.554880952380952,0.9966453125
114,0,2,-29.917142857142856,0.996615625
115,0,1,-15.809642857142855,0.9965859375
116,0,2,-18.258214285714285,0.99655625
117,0,1,-22.303809523809523,0.9965265625
118,0,3,-23.393809523809523,0.996496875
119,0,3,-10.751666666666667,0.9964671875
120,0,2,-27.73130952380952,0.9964375
121,0,3,-11.803333333333333,0.9964078125
122,0,3,-34.46714285714286,0.996378125
123,0,3,-15.019642857142857,0.9963484375
124,0,3,-15.364880952380952,0.99631875
125,0,1,-19.369880952380953,0.9962890625
126,0,2,-13.221666666666666,0.996259375
127,0,3,-38.51714285714286,0.9962296875
128,0,3,-12.098333333333333,0.9962
129,0,2,-32.317142857142855,0.9961703125
130,0,5,-9.049047619047618,0.996140625
131,0,2,-14.098333333333333,0.9961109375
132,0,3,-30.153809523809525,0.99608125
133,0,4,-9.013333333333334,0.9960515625
134,0,3,-12.207142857142857,0.996021875
135,0,3,-13.246666666666666,0.9959921875
136,0,2,-19.233571428571427,0.9959625
137,0,2,-16.436071428571427,0.9959328125
138,0,3,-14.757142857142856,0.995903125
139,0,3,-21.119642857142857,0.9958734375
140,0,3,-24.042142857142856,0.99584375
141,0,2,-13.803333333333333,0.9958140625
142,0,4,-9.651666666666667,0.995784375
143,0,4,-10.431666666666667,0.9957546875
144,0,3,-17.335714285714285,0.995725
145,0,3,-10.546666666666667,0.9956953125
146,0,2,-25.947142857142854,0.995665625
147,0,1,-30.082142857142856,0.9956359375
148,0,3,-11.773333333333333,0.99560625
149,0,4,-34.31880952380953,0.9955765625
150,0,3,-31.19464285714286,0.995546875
151,0,1,-18.893809523809523,0.9955171875
152,0,3,-25.38130952380952,0.9954875
153,0,1,-15.098333333333333,0.9954578125
154,0,4,-9.998333333333331,0.995428125
155,0,2,-13.513809523809524,0.9953984375
156,0,3,-11.803333333333333,0.99536875
157,0,3,-17.756071428571424,0.9953390625
158,0,2,-21.31880952380952,0.995309375
159,0,4,-9.013333333333334,0.9952796875
160,0,3,-12.582142857142857,0.99525
161,0,3,-11.651666666666667,0.9952203125
162,0,4,-28.15464285714285,0.995190625
163,0,3,-16.707142857142856,0.9951609375
164,0,3,-14.817142857142859,0.99513125
165,0,4,-22.017142857142858,0.9951015625
166,0,4,-27.531309523809526,0.995071875
167,0,2,-24.468809523809522,0.9950421875
168,0,6,-16.360714285714284,0.9950125
169,0,3,-11.803333333333333,0.9949828125
170,0,4,-15.727380952380951,0.994953125
171,0,2,-15.917142857142858,0.9949234375
172,0,3,-13.703809523809525,0.99489375
173,0,3,-16.193809523809524,0.9948640625
174,0,3,-10.903333333333332,0.994834375
175,0,2,-13.803333333333333,0.9948046875
176,0,2,-12.05,0.994775
177,0,4,-13.642619047619048,0.9947453125
178,1,7,-18.044642857142858,0.994715625
179,0,3,-19.732142857142858,0.9946859375
180,0,2,-18.182142857142857,0.99465625
181,0,4,-11.499999999999998,0.9946265625
182,0,2,-15.442142857142857,0.994596875
183,0,3,-16.289880952380955,0.9945671875
184,0,3,-14.482142857142858,0.9945375
185,0,4,-11.057142857142857,0.9945078125
186,0,2,-14.416666666666668,0.994478125
187,0,2,-25.65714285714286,0.9944484375
188,0,2,-25.839642857142856,0.99441875
189,0,3,-19.053809523809523,0.9943890625
190,0,4,-9.098333333333333,0.994359375
