episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-13.119642857142857,1.0
1,0,3,-7.1398809523809526,0.9998515625
2,0,2,-11.107142857142858,0.999703125
3,0,5,-9.229642857142856,0.9995546875
4,0,3,-26.156309523809526,0.99940625
5,0,5,-7.627619047619047,0.9992578125
6,0,1,-18.10988095238095,0.999109375
7,0,2,-11.817142857142857,0.9989609375
8,0,2,-16.882142857142856,0.9988125
9,0,3,-10.068809523809524,0.9986640625
10,0,2,-17.142142857142858,0.998515625
11,0,2,-9.803333333333333,0.9983671875
12,0,4,-19.510714285714286,0.99821875
13,0,2,-11.136666666666667,0.9980703125
14,0,2,-8.621666666666666,0.997921875
15,0,3,-7.898333333333333,0.9977734375
16,0,5,-25.68488095238095,0.997625
17,0,3,-9.136666666666667,0.9974765625
18,0,4,-5.651666666666666,0.997328125
19,0,3,-7.336666666666666,0.9971796875
20,0,2,-16.463571428571427,0.99703125
21,0,2,-24.891309523809525,0.9968828125
22,0,3,-8.307142857142857,0.996734375
23,0,2,-13.510714285714284,0.9965859375
24,0,1,-19.682142857142857,0.9964375
25,0,3,-9.817142857142857,0.9962890625
26,0,3,-10.024880952380952,0.996140625
27,0,1,-31.13214285714286,0.9959921875
28,0,2,-20.28214285714286,0.99584375
29,0,3,-12.567142857142859,0.9956953125
30,0,4,-6.998333333333333,0.995546875
31,0,1,-13.554880952380952,0.9953984375
32,0,3,-17.79654761904762,0.99525
33,0,3,-7.446666666666666,0.9951015625
34,0,3,-6.95,0.994953125
35,0,2,-16.307142857142857,0.9948046875
36,0,2,-14.353809523809524,0.99465625
37,0,2,-14.293809523809523,0.9945078125
38,0,3,-8.582142857142857,0.994359375
39,0,3,-9.442142857142857,0.9942109375
40,0,3,-7.85,0.9940625
41,0,3,-14.894642857142857,0.9939140625
42,0,3,-14.529642857142857,0.993765625
43,0,1,-17.942142857142855,0.9936171875
44,0,2,-14.019642857142857,0.99346875
45,0,4,-14.827380952380953,0.9933203125
46,0,2,-12.979642857142856,0.993171875
47,0,3,-8.098333333333333,0.9930234375
48,0,2,-11.968809523809524,0.992875
49,0,1,-11.674999999999999,0.9927265625
50,0,4,-12.082142857142857,0.992578125
51,0,4,-2.951666666666666,0.9924296875
52,0,4,-7.5,0.99228125
53,0,2,-12.968809523809524,0.9921328125
54,0,3,-12.353809523809524,0.991984375
55,0,3,-9.136666666666667,0.9918359375
56,0,3,-11.707142857142856,0.9916875
57,0,2,-11.207142857142857,0.9915390625
58,0,3,-7.651666666666666,0.991390625
