episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-10.21404761904762,1.0
1,0,1,-14.992857142857144,0.999703125
2,0,3,-11.829047619047618,0.99940625
3,0,2,-8.558333333333334,0.999109375
4,0,3,-9.136904761904763,0.9988125
5,0,2,-12.925714285714285,0.998515625
6,0,2,-17.091904761904765,0.99821875
7,0,3,-14.747857142857143,0.997921875
8,0,3,-8.028333333333332,0.997625
9,0,3,-10.110714285714288,0.997328125
10,0,3,-23.425714285714292,0.99703125
11,0,2,-15.427857142857142,0.996734375
12,0,3,-8.54,0.9964375
13,0,4,-5.043333333333333,0.996140625
14,0,3,-17.41071428571429,0.99584375
15,0,4,-5.458333333333333,0.995546875
16,0,4,-9.425714285714285,0.99525
17,0,3,-9.505714285714287,0.994953125
18,0,1,-13.830714285714286,0.99465625
19,0,1,-12.576904761904762,0.994359375
20,0,1,-17.97904761904762,0.9940625
21,0,3,-9.921904761904761,0.993765625
22,0,3,-5.776666666666666,0.99346875
23,0,6,-5.486904761904762,0.993171875
24,0,3,-8.245000000000001,0.992875
25,0,3,-8.093333333333334,0.992578125
26,0,3,-8.726666666666667,0.99228125
27,0,2,-16.741904761904763,0.991984375
28,0,3,-18.714047619047623,0.9916875
29,0,4,-5.661666666666667,0.991390625
30,0,4,-21.825714285714287,0.99109375
31,0,4,-4.761666666666667,0.990796875
32,0,1,-16.86904761904762,0.9905
33,0,3,-12.710714285714285,0.990203125
34,0,3,-10.825714285714286,0.98990625
35,0,2,-9.661666666666667,0.989609375
36,0,1,-10.448333333333334,0.9893125
37,0,3,-9.360714285714286,0.989015625
38,0,3,-8.925714285714285,0.98871875
39,0,4,-5.458333333333333,0.988421875
40,0,2,-28.470714285714298,0.988125
41,0,4,-4.293333333333333,0.9878281250000001
42,0,4,-5.576666666666667,0.98753125
43,0,3,-8.093333333333334,0.987234375
44,0,2,-10.110714285714286,0.9869375
45,0,4,-8.045000000000002,0.986640625
46,0,2,-13.975714285714286,0.98634375
47,0,3,-10.829047619047618,0.986046875
48,0,1,-17.880714285714287,0.98575
49,0,2,-17.96071428571429,0.985453125
50,0,3,-18.294047619047618,0.98515625
51,0,3,-8.078333333333333,0.984859375
52,0,3,-9.529047619047619,0.9845625
53,0,2,-10.210714285714285,0.984265625
54,0,2,-13.125714285714285,0.98396875
55,0,3,-10.725714285714286,0.983671875
56,0,2,-10.726666666666667,0.983375
57,0,4,-4.558333333333334,0.983078125
58,0,3,-24.59285714285715,0.98278125
59,0,2,-8.646666666666667,0.982484375
60,0,2,-11.510714285714286,0.9821875
61,0,4,-16.595238095238095,0.981890625
62,0,3,-8.985714285714286,0.98159375
63,0,3,-20.970714285714294,0.981296875
64,0,3,-6.826666666666667,0.981
65,0,1,-23.941904761904766,0.980703125
