episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-15.025714285714287,1.0
1,0,2,-14.975714285714286,0.9998515625
2,0,3,-16.78571428571429,0.999703125
3,0,2,-16.55690476190476,0.9995546875
4,0,2,-11.355714285714285,0.99940625
5,0,2,-14.11404761904762,0.9992578125
6,0,4,-4.761666666666667,0.999109375
7,0,2,-11.421904761904763,0.9989609375
8,0,2,-14.091904761904761,0.9988125
9,0,3,-16.62904761904762,0.9986640625
10,0,1,-8.548333333333334,0.998515625
11,0,3,-7.576666666666667,0.9983671875
12,0,3,-8.210714285714285,0.99821875
13,0,3,-5.473333333333333,0.9980703125
14,0,3,-14.072857142857144,0.997921875
15,0,3,-8.145,0.9977734375
16,0,2,-10.843333333333334,0.997625
17,0,1,-14.225714285714286,0.9974765625
18,0,4,-5.576666666666667,0.997328125
19,0,3,-23.629047619047626,0.9971796875
20,0,2,-9.458333333333332,0.99703125
21,0,3,-8.110714285714286,0.9968828125
22,0,1,-19.310714285714287,0.996734375
23,0,3,-14.929047619047621,0.9965859375
24,0,4,-8.27904761904762,0.9964375
25,0,3,-7.210714285714285,0.9962890625
26,0,3,-11.260714285714286,0.996140625
27,0,5,-7.776904761904762,0.9959921875
28,0,4,-5.576666666666667,0.99584375
29,0,3,-5.968571428571428,0.9956953125
30,0,4,-5.891904761904762,0.995546875
31,0,3,-7.6466666666666665,0.9953984375
32,0,2,-9.210714285714285,0.99525
33,0,2,-17.114047619047618,0.9951015625
34,0,3,-7.6466666666666665,0.994953125
35,0,2,-12.45357142857143,0.9948046875
36,0,3,-7.54,0.99465625
37,0,2,-9.263333333333334,0.9945078125
38,0,3,-7.925714285714286,0.994359375
39,0,4,-6.560714285714285,0.9942109375
40,0,3,-18.425714285714292,0.9940625
41,0,3,-9.525714285714285,0.9939140625
42,0,2,-20.779047619047624,0.993765625
43,0,2,-21.523571428571433,0.9936171875
44,0,2,-17.730714285714285,0.99346875
45,0,3,-10.007857142857143,0.9933203125
46,0,6,-13.48690476190476,0.993171875
47,0,2,-13.571904761904761,0.9930234375
48,0,2,-10.475714285714286,0.992875
49,0,4,-4.925714285714286,0.9927265625
50,0,2,-12.67904761904762,0.992578125
51,0,2,-19.375714285714288,0.9924296875
52,0,2,-15.060714285714287,0.99228125
53,0,3,-9.525714285714287,0.9921328125
54,0,4,-5.591904761904763,0.991984375
55,0,2,-12.991904761904763,0.9918359375
56,0,2,-9.458333333333332,0.9916875
57,0,2,-11.719047619047618,0.9915390625
58,0,1,-12.605714285714285,0.991390625
59,0,3,-6.676666666666667,0.9912421875
60,0,3,-5.776666666666666,0.99109375
61,0,5,-8.906904761904762,0.9909453125
62,0,3,-10.67904761904762,0.990796875
63,0,2,-8.64,0.9906484375
64,0,1,-20.426904761904765,0.9905
65,0,3,-11.130714285714285,0.9903515625
66,0,3,-10.42904761904762,0.990203125
67,0,3,-8.075714285714286,0.9900546875
68,0,5,-9.125714285714283,0.98990625
69,0,3,-8.028333333333332,0.9897578125
70,0,4,-7.525714285714285,0.989609375
71,0,2,-10.54,0.9894609375
72,0,4,-5.245,0.9893125
73,0,3,-7.178333333333334,0.9891640625
74,0,3,-7.458333333333333,0.989015625
75,0,2,-12.21404761904762,0.9888671875
76,0,3,-12.275714285714285,0.98871875
77,0,1,-23.06071428571429,0.9885703125
78,0,2,-10.245000000000001,0.988421875
79,0,1,-11.413333333333332,0.9882734375
80,0,8,-1.0019047619047594,0.988125
81,0,2,-11.656904761904762,0.9879765625
82,0,4,-4.558333333333334,0.9878281250000001
83,0,1,-15.410714285714285,0.9876796875
84,0,3,-8.093333333333334,0.98753125
85,0,5,-6.375238095238097,0.9873828125
86,1,2,-19.310714285714283,0.987234375
87,0,1,-11.576666666666668,0.9870859375
88,0,4,-5.661666666666667,0.9869375
89,0,0,-26.97904761904762,0.9867890625
90,0,3,-13.103571428571428,0.986640625
91,0,4,-7.314047619047619,0.9864921875
92,0,3,-7.54,0.98634375
93,0,3,-8.572857142857142,0.9861953125
94,0,3,-13.160714285714285,0.986046875
95,0,5,-19.614047619047618,0.9858984375
96,0,2,-7.926666666666667,0.98575
97,0,2,-13.324047619047619,0.9856015625
98,0,3,-11.879047619047618,0.985453125
99,0,4,-12.742857142857146,0.9853046875
100,0,2,-8.761666666666667,0.98515625
101,0,4,-5.173571428571429,0.9850078125
102,0,4,-7.525714285714286,0.984859375
103,0,2,-14.279047619047619,0.9847109375
104,0,3,-5.926666666666667,0.9845625
105,0,3,-24.625714285714288,0.9844140625
106,0,2,-8.451666666666666,0.984265625
107,0,4,-6.510714285714286,0.9841171875
108,0,4,-5.943333333333333,0.98396875
109,0,4,-8.98690476190476,0.9838203125
110,0,3,-7.943333333333333,0.983671875
111,0,2,-13.375714285714285,0.9835234375
112,0,5,-6.0252380952380955,0.983375
113,0,3,-9.160714285714285,0.9832265625
114,0,3,-10.045000000000002,0.983078125
115,0,1,-10.481666666666667,0.9829296875
116,0,2,-9.178333333333335,0.98278125
117,0,1,-11.64,0.9826328125
118,0,1,-11.098333333333333,0.982484375
119,0,2,-10.210714285714285,0.9823359375
120,0,2,-12.225714285714286,0.9821875
121,0,2,-10.991904761904763,0.9820390625
122,0,3,-10.330714285714286,0.981890625
123,0,2,-12.125714285714285,0.9817421875
124,0,3,-10.525714285714285,0.98159375
125,0,4,-12.010714285714286,0.9814453125
126,0,3,-13.47904761904762,0.981296875
127,0,2,-16.114047619047618,0.9811484375
128,0,3,-8.725714285714286,0.981
129,0,4,-17.22571428571429,0.9808515625
130,0,3,-12.460714285714285,0.980703125
131,0,1,-19.175714285714285,0.9805546875
132,0,2,-23.529047619047624,0.98040625
133,0,4,-10.925714285714285,0.9802578125
134,0,2,-10.925714285714285,0.980109375
135,0,2,-10.360714285714286,0.9799609375
136,0,2,-20.83571428571429,0.9798125
137,0,2,-12.829047619047618,0.9796640625
138,0,2,-17.291904761904764,0.979515625
139,0,3,-10.01404761904762,0.9793671875
