episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-17.491309523809523,1.0
1,0,4,-11.11357142857143,0.997625
2,0,4,-10.346666666666668,0.99525
3,0,2,-17.65714285714286,0.992875
4,0,6,-13.072380952380952,0.9905
5,0,3,-16.858571428571427,0.988125
6,0,3,-17.339880952380952,0.98575
7,0,3,-13.136666666666667,0.983375
8,0,2,-19.29738095238095,0.981
9,0,2,-20.144642857142856,0.978625
10,0,2,-13.85,0.97625
11,0,2,-23.13654761904762,0.973875
12,0,3,-28.403809523809525,0.9715
13,0,3,-13.399999999999999,0.969125
14,0,2,-12.003333333333334,0.96675
15,0,2,-13.803333333333333,0.964375
16,0,2,-15.442142857142857,0.962
17,0,2,-22.217142857142857,0.959625
18,0,4,-15.992142857142857,0.95725
19,0,3,-10.751666666666665,0.954875
20,0,2,-26.139880952380953,0.9525
21,0,4,-10.431666666666667,0.950125
22,0,2,-14.693809523809524,0.94775
23,0,2,-21.326071428571428,0.945375
24,0,3,-21.092142857142854,0.9430000000000001
25,0,2,-15.98357142857143,0.940625
26,0,3,-13.934880952380952,0.93825
27,0,2,-13.7,0.935875
28,0,3,-12.599999999999998,0.9335
29,0,3,-40.88880952380953,0.931125
30,0,3,-14.219642857142857,0.92875
31,0,3,-15.22595238095238,0.926375
32,0,3,-15.332142857142857,0.924
33,0,1,-15.248333333333335,0.921625
34,0,3,-17.042142857142856,0.91925
35,0,3,-13.399999999999999,0.916875
36,0,2,-30.797142857142852,0.9145
37,0,4,-10.448214285714284,0.912125
38,0,4,-11.246666666666666,0.9097500000000001
39,0,2,-14.723214285714285,0.907375
40,0,3,-14.436071428571427,0.905
41,0,3,-24.419642857142858,0.902625
42,0,6,-16.267142857142858,0.90025
43,0,3,-13.731309523809523,0.897875
44,0,5,-28.89214285714285,0.8955
45,0,2,-16.508214285714285,0.893125
46,0,3,-26.703809523809525,0.89075
47,0,3,-19.24214285714286,0.888375
48,0,3,-12.6,0.886
49,0,1,-19.935714285714283,0.883625
50,0,1,-14.510714285714286,0.88125
51,0,2,-17.620714285714286,0.878875
52,0,3,-11.336666666666666,0.8765000000000001
53,0,3,-18.732142857142858,0.874125
54,0,4,-8.751666666666665,0.87175
55,0,4,-12.537380952380953,0.869375
56,0,4,-17.982142857142858,0.867
57,0,1,-45.79857142857143,0.864625
58,0,2,-27.048214285714288,0.86225
59,0,1,-39.70464285714286,0.859875
60,0,4,-8.903333333333332,0.8575
61,0,5,-19.148214285714282,0.855125
62,0,1,-38.664880952380955,0.85275
63,0,3,-18.894642857142856,0.850375
64,0,3,-13.359880952380951,0.848
65,0,2,-16.023809523809522,0.8456250000000001
66,0,3,-22.910714285714285,0.84325
67,0,3,-11.782142857142857,0.840875
68,0,3,-12.129642857142857,0.8385
69,0,3,-16.729642857142856,0.836125
70,0,4,-9.957142857142857,0.83375
71,0,4,-9.913333333333334,0.831375
72,0,3,-23.892142857142858,0.829
73,0,3,-25.652142857142856,0.8266249999999999
74,0,2,-21.832142857142856,0.82425
75,0,3,-12.75,0.821875
76,0,6,-14.794642857142858,0.8195
77,0,2,-13.521666666666667,0.817125
78,0,3,-15.364880952380952,0.81475
79,0,5,-11.335119047619047,0.8123750000000001
80,0,4,-13.163809523809524,0.81
81,0,2,-21.43238095238095,0.807625
82,0,4,-11.136666666666667,0.80525
83,0,4,-22.483214285714283,0.802875
84,0,4,-23.569642857142856,0.8005
85,0,2,-17.882380952380952,0.798125
86,0,6,-9.242380952380952,0.79575
87,0,3,-20.503809523809522,0.7933749999999999
88,0,4,-10.431666666666667,0.791
89,0,2,-13.462619047619048,0.788625
90,0,4,-10.098333333333333,0.78625
91,0,3,-18.81404761904762,0.783875
92,0,2,-25.178809523809523,0.7815
93,0,3,-11.446666666666667,0.7791250000000001
94,0,2,-14.632142857142858,0.77675
95,0,3,-12.307142857142857,0.774375
96,1,7,-16.387142857142855,0.772
97,0,1,-38.00238095238095,0.769625
98,0,4,-20.039880952380948,0.76725
99,0,4,-10.347380952380952,0.764875
100,0,3,-24.693809523809524,0.7625
101,0,2,-19.557142857142857,0.760125
102,0,3,-10.782142857142858,0.75775
103,0,2,-9.952380952380953,0.755375
104,0,3,-11.998333333333331,0.753
105,0,2,-13.446666666666667,0.750625
106,0,7,-21.316309523809522,0.7482500000000001
107,0,2,-15.107142857142858,0.7458750000000001
