episode,coins_collected,crates_destroyed,total_reward,epsilon
0,1,0,-10.799999999999999,1.0
1,1,0,-23.84999999999999,0.999940625
2,1,0,-11.45,0.99988125
3,0,0,-9.9,0.999821875
4,1,0,-8.75,0.9997625
5,0,0,-10.75,0.999703125
6,0,0,-8.449999999999998,0.99964375
7,1,0,-11.949999999999998,0.999584375
8,1,0,-11.549999999999999,0.999525
9,0,0,-8.25,0.999465625
10,1,0,-14.35,0.99940625
11,1,0,-14.3,0.999346875
12,0,0,-7.249999999999998,0.9992875
13,1,0,-12.6,0.999228125
14,0,0,-10.249999999999998,0.99916875
15,1,0,-13.55,0.999109375
16,1,0,-13.999999999999996,0.99905
17,1,0,-11.7,0.998990625
18,1,0,-12.599999999999996,0.99893125
19,0,0,-14.049999999999995,0.998871875
20,1,0,-12.35,0.9988125
21,0,0,-13.9,0.998753125
22,0,0,-13.449999999999998,0.99869375
23,1,0,-12.75,0.998634375
24,1,0,-9.399999999999999,0.998575
25,2,0,-9.7,0.998515625
26,0,0,-10.149999999999999,0.99845625
27,3,0,-13.399999999999997,0.998396875
28,1,0,-9.65,0.9983375
29,1,0,-13.649999999999999,0.998278125
30,1,0,-12.149999999999999,0.99821875
31,1,0,-11.149999999999999,0.998159375
32,0,0,-10.85,0.9981
33,0,0,-6.999999999999998,0.998040625
34,2,0,-7.199999999999998,0.99798125
35,4,0,-5.249999999999997,0.997921875
36,0,0,-12.099999999999998,0.9978625
37,1,0,-13.899999999999997,0.997803125
38,0,0,-10.75,0.99774375
39,2,0,-9.549999999999999,0.997684375
40,2,0,-18.849999999999994,0.997625
41,1,0,-10.6,0.997565625
42,3,0,-7.6499999999999995,0.99750625
43,0,0,-7.6499999999999995,0.997446875
44,1,0,-13.199999999999996,0.9973875
45,2,0,-9.399999999999999,0.997328125
46,1,0,-10.549999999999999,0.99726875
47,1,0,-9.75,0.997209375
48,0,0,-9.7,0.99715
49,2,0,-14.25,0.997090625
50,1,0,-10.649999999999997,0.99703125
51,0,0,-9.25,0.996971875
52,2,0,-10.149999999999995,0.9969125
53,1,0,-9.5,0.996853125
54,1,0,-10.6,0.99679375
55,1,0,-11.499999999999998,0.996734375
56,1,0,-16.299999999999997,0.996675
57,2,0,-12.949999999999996,0.996615625
58,1,0,-13.25,0.99655625
59,1,0,-10.549999999999999,0.996496875
60,1,0,-11.55,0.9964375
61,0,0,-10.149999999999999,0.996378125
62,0,0,-15.200000000000001,0.99631875
63,3,0,-12.549999999999995,0.996259375
64,0,0,-9.75,0.9962
65,0,0,-10.649999999999999,0.996140625
66,0,0,-15.45,0.99608125
67,1,0,-17.15,0.996021875
68,1,0,-9.75,0.9959625
69,1,0,-6.849999999999996,0.995903125
70,1,0,-10.75,0.99584375
71,0,0,-12.8,0.995784375
72,1,0,-13.899999999999999,0.995725
73,0,0,-8.299999999999999,0.995665625
74,0,0,-11.599999999999996,0.99560625
75,0,0,-11.299999999999999,0.995546875
76,0,0,-9.649999999999999,0.9954875
77,1,0,-10.549999999999999,0.995428125
78,1,0,-10.799999999999999,0.99536875
79,0,0,-10.399999999999999,0.995309375
80,1,0,-10.8,0.99525
81,2,0,-9.85,0.995190625
82,1,0,-13.75,0.99513125
83,1,0,-9.749999999999998,0.995071875
84,1,0,-13.899999999999999,0.9950125
85,2,0,-13.65,0.994953125
86,0,0,-8.049999999999995,0.99489375
87,0,0,-9.8,0.994834375
88,2,0,-10.899999999999999,0.994775
89,0,0,-12.2,0.994715625
90,0,0,-11.6,0.99465625
91,1,0,-9.95,0.994596875
92,0,0,-9.099999999999998,0.9945375
93,2,0,-12.149999999999999,0.994478125
94,2,0,-11.5,0.99441875
95,1,0,-9.149999999999997,0.994359375
96,0,0,-10.75,0.9943
97,0,0,-11.45,0.994240625
98,2,0,-12.350000000000001,0.99418125
99,1,0,-9.899999999999999,0.994121875
100,0,0,-8.899999999999999,0.9940625
101,1,0,-14.899999999999999,0.994003125
102,1,0,-15.1,0.99394375
103,0,0,-10.7,0.993884375
104,0,0,-15.25,0.993825
105,0,0,-12.85,0.993765625
106,0,0,-10.299999999999997,0.99370625
107,3,0,-12.75,0.993646875
108,1,0,-13.649999999999999,0.9935875
109,0,0,-6.599999999999997,0.993528125
110,0,0,-15.2,0.99346875
111,1,0,-14.35,0.993409375
112,0,0,-10.95,0.99335
113,0,0,-10.349999999999998,0.993290625
114,2,0,-10.8,0.99323125
115,1,0,-10.5,0.993171875
116,1,0,-9.65,0.9931125
117,0,0,-7.599999999999999,0.993053125
118,0,0,-13.5,0.99299375
119,1,0,-15.749999999999995,0.992934375
120,1,0,-12.999999999999998,0.992875
121,0,0,-10.899999999999999,0.992815625
122,2,0,-13.049999999999997,0.99275625
123,1,0,-12.85,0.992696875
124,1,0,-16.849999999999998,0.9926375
125,0,0,-10.65,0.992578125
126,1,0,-12.85,0.99251875
127,1,0,-11.55,0.992459375
128,1,0,-10.7,0.9924
129,0,0,-11.999999999999993,0.992340625
130,2,0,-12.149999999999999,0.99228125
131,4,0,-10.899999999999999,0.992221875
132,2,0,-9.1,0.9921625
133,1,0,-11.799999999999997,0.992103125
134,1,0,-16.449999999999996,0.99204375
135,2,0,-11.649999999999997,0.991984375
136,1,0,-11.649999999999999,0.991925
137,0,0,-9.799999999999999,0.991865625
138,0,0,-11.649999999999999,0.99180625
139,0,0,-11.6,0.991746875
140,0,0,-11.599999999999998,0.9916875
141,1,0,-10.85,0.991628125
142,0,0,-11.6,0.99156875
143,0,0,-11.35,0.991509375
144,1,0,-11.649999999999999,0.99145
145,2,0,-15.849999999999998,0.991390625
146,0,0,-9.2,0.99133125
147,3,0,-10.349999999999996,0.991271875
148,1,0,-8.45,0.9912125
149,1,0,-9.9,0.991153125
150,3,0,-10.149999999999999,0.99109375
151,1,0,-10.799999999999999,0.991034375
152,3,0,-6.799999999999998,0.990975
153,0,0,-10.8,0.990915625
154,2,0,-8.45,0.99085625
155,0,0,-9.7,0.990796875
156,0,0,-9.95,0.9907375
157,0,0,-10.9,0.990678125
158,2,0,-14.199999999999996,0.99061875
159,0,0,-10.049999999999997,0.990559375
160,5,0,-13.199999999999996,0.9905
161,1,0,-18.799999999999997,0.990440625
162,3,0,-9.599999999999998,0.99038125
163,3,0,-8.849999999999998,0.990321875
164,1,0,-15.7,0.9902625
165,0,0,-7.6999999999999975,0.990203125
166,2,0,-8.549999999999999,0.99014375
167,2,0,-12.099999999999998,0.990084375
168,0,0,-13.8,0.990025
169,1,0,-14.1,0.989965625
170,2,0,-8.099999999999998,0.98990625
171,1,0,-9.799999999999997,0.989846875
172,1,0,-11.749999999999998,0.9897875
173,1,0,-13.049999999999997,0.989728125
174,1,0,-13.3,0.98966875
