episode,coins_collected,total_reward,epsilon
0,0,3.7500000000000013,1.0
1,1,0.7000000000000011,0.940625
2,1,-0.09999999999999609,0.88125
3,1,-0.6499999999999997,0.821875
4,0,1.8000000000000007,0.7625
5,1,-0.7999999999999989,0.703125
6,1,1.2500000000000002,0.64375
7,6,6.000000000000002,0.5843750000000001
8,4,3.750000000000002,0.525
9,0,1.950000000000002,0.46562500000000007
10,0,1.0000000000000013,0.40625
11,19,23.500000000000036,0.34687500000000004
12,2,2.0500000000000016,0.2875000000000001
13,7,7.950000000000005,0.22812500000000002
14,14,15.5,0.16875000000000007
15,17,22.350000000000016,0.109375
16,14,15.100000000000003,0.050000000000000044
17,49,69.49999999999997,0.050000000000000044
18,49,89.0,0.050000000000000044
19,4,13.800000000000038,0.050000000000000044
