episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,5,-17.700000000000003,1.0
1,0,3,-12.1,0.940625
2,0,2,-12.1,0.88125
3,0,2,-13.9,0.821875
4,0,3,-13.0,0.7625
5,0,3,-11.0,0.703125
6,0,2,-12.100000000000001,0.64375
7,0,3,-11.899999999999999,0.5843750000000001
8,0,3,-13.899999999999999,0.525
9,0,2,-12.25,0.46562500000000007
10,0,3,-16.450000000000003,0.40625
11,0,5,-18.95,0.34687500000000004
12,0,3,-12.899999999999999,0.2875000000000001
13,0,5,-14.100000000000001,0.22812500000000002
14,0,2,-11.2,0.16875000000000007
15,0,4,-10.75,0.109375
16,0,3,-11.95,0.050000000000000044
17,0,3,-10.05,0.050000000000000044
18,0,1,-11.799999999999997,0.050000000000000044
19,0,3,-7.699999999999999,0.050000000000000044
