episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,0,2,0,-20.014880952380953,1.0,13
1,0,1,0,-18.93880952380952,0.9992083333333334,23
2,0,3,0,-14.292142857142856,0.9984166666666666,32
3,0,2,0,-17.868809523809524,0.997625,40
4,0,2,0,-13.651666666666667,0.9968333333333333,45
5,0,2,0,-12.838333333333335,0.9960416666666667,50
6,0,2,0,-17.942142857142855,0.99525,62
7,0,3,0,-10.751666666666665,0.9944583333333333,67
8,0,3,0,-19.953809523809525,0.9936666666666667,80
9,0,4,0,-10.236666666666666,0.992875,86
10,0,3,0,-16.019642857142856,0.9920833333333333,95
11,0,3,0,-19.55607142857143,0.9912916666666667,106
12,0,4,0,-15.438809523809523,0.9905,119
13,0,3,0,-14.957142857142857,0.9897083333333333,128
14,0,3,0,-11.531666666666666,0.9889166666666667,134
15,0,4,0,-17.998214285714283,0.988125,149
16,0,4,0,-8.903333333333332,0.9873333333333333,154
17,0,4,0,-14.078452380952381,0.9865416666666667,166
18,0,4,0,-11.788809523809523,0.98575,173
19,0,2,0,-17.443809523809524,0.9849583333333334,182
20,0,4,0,-8.751666666666667,0.9841666666666666,187
21,0,2,0,-15.968809523809524,0.983375,195
22,0,3,0,-12.364880952380952,0.9825833333333334,203
23,0,4,0,-11.857142857142858,0.9817916666666666,210
24,0,3,0,-10.751666666666665,0.981,215
25,0,3,0,-15.989880952380952,0.9802083333333333,231
26,0,1,0,-18.013571428571428,0.9794166666666667,238
27,0,3,0,-17.467142857142857,0.978625,252
28,0,4,0,-9.998333333333331,0.9778333333333333,257
29,0,2,0,-14.75,0.9770416666666667,263
30,0,2,0,-17.146071428571425,0.97625,273
31,0,1,0,-24.332142857142856,0.9754583333333333,285
32,0,3,0,-14.263809523809524,0.9746666666666667,293
33,0,2,0,-14.75,0.973875,299
34,0,2,0,-25.007142857142856,0.9730833333333333,318
35,0,2,0,-16.107142857142858,0.9722916666666667,325
36,0,2,0,-19.35630952380952,0.9715,336
37,0,2,0,-29.03214285714286,0.9707083333333333,358
38,0,2,0,-21.67738095238095,0.9699166666666666,372
39,0,4,0,-11.307380952380953,0.969125,383
40,0,4,0,-9.803333333333333,0.9683333333333334,388
41,0,2,0,-16.213809523809523,0.9675416666666666,398
42,0,3,0,-12.5,0.96675,404
43,0,4,0,-9.913333333333334,0.9659583333333334,409
44,0,1,0,-14.475,0.9651666666666666,415
45,0,4,0,-9.446666666666667,0.964375,421
46,0,3,0,-18.53214285714286,0.9635833333333333,433
47,0,3,0,-12.098333333333333,0.9627916666666667,438
48,0,3,0,-23.069642857142853,0.962,455
49,0,2,0,-15.5,0.9612083333333333,461
50,0,3,0,-17.758571428571425,0.9604166666666667,470
51,0,5,0,-36.219642857142865,0.959625,503
52,0,3,0,-12.803809523809525,0.9588333333333333,510
53,0,3,0,-23.342142857142857,0.9580416666666667,525
54,0,3,0,-18.183571428571426,0.95725,537
55,0,2,0,-17.868809523809524,0.9564583333333333,545
56,0,2,0,-22.404642857142857,0.9556666666666667,557
57,0,3,0,-25.69654761904762,0.954875,580
58,0,4,0,-13.432142857142857,0.9540833333333334,590
59,0,2,0,-14.998333333333331,0.9532916666666666,595
60,0,2,0,-13.446666666666667,0.9525,601
61,0,3,0,-14.292142857142856,0.9517083333333334,610
62,0,3,0,-12.6,0.9509166666666666,616
63,0,2,0,-11.738333333333333,0.950125,621
64,0,2,0,-16.81380952380952,0.9493333333333334,631
65,0,4,0,-11.246666666666666,0.9485416666666666,637
66,0,4,0,-13.023214285714285,0.94775,648
67,0,3,0,-29.382142857142856,0.9469583333333333,672
68,0,3,0,-12.998333333333331,0.9461666666666667,677
69,0,5,0,-23.067142857142855,0.945375,698
70,0,2,0,-16.857142857142858,0.9445833333333333,707
71,0,3,0,-14.91357142857143,0.9437916666666667,714
72,0,2,0,-11.838333333333335,0.9430000000000001,719
73,0,4,0,-9.098333333333333,0.9422083333333333,724
74,0,2,0,-17.442142857142855,0.9414166666666667,736
75,0,3,0,-11.651666666666667,0.940625,741
76,0,4,0,-10.817142857142857,0.9398333333333333,749
77,0,2,0,-16.817142857142855,0.9390416666666667,757
78,0,4,0,-10.463809523809523,0.93825,765
79,0,2,0,-20.34464285714286,0.9374583333333333,780
80,0,2,0,-14.174047619047618,0.9366666666666666,787
81,0,4,0,-10.6,0.935875,793
82,0,2,0,-18.467142857142857,0.9350833333333334,803
83,0,3,0,-16.607142857142858,0.9342916666666666,817
84,0,2,0,-13.773333333333333,0.9335,822
85,0,2,0,-18.343809523809526,0.9327083333333334,831
86,0,3,0,-10.903333333333332,0.9319166666666667,836
87,0,4,0,-18.80988095238095,0.931125,852
88,0,2,0,-42.40130952380953,0.9303333333333333,892
89,0,4,0,-10.369642857142857,0.9295416666666667,902
90,0,3,0,-13.013571428571428,0.92875,909
91,0,3,0,-20.94571428571429,0.9279583333333333,926
92,0,4,0,-14.132142857142856,0.9271666666666667,934
93,0,5,0,-15.969642857142857,0.926375,952
94,0,2,0,-18.818809523809524,0.9255833333333333,962
95,0,4,0,-9.803333333333333,0.9247916666666667,967
96,0,3,0,-15.857142857142858,0.924,976
97,0,3,0,-19.259642857142858,0.9232083333333333,992
98,0,3,0,-14.263809523809524,0.9224166666666667,1000
99,0,3,0,-19.777380952380952,0.921625,1014
100,0,3,0,-17.482142857142854,0.9208333333333334,1033
101,0,4,0,-9.913333333333334,0.9200416666666666,1038
102,0,2,0,-25.256071428571428,0.91925,1053
103,0,4,0,-14.188571428571427,0.9184583333333334,1061
104,0,4,0,-9.913333333333334,0.9176666666666666,1066
105,0,5,0,-16.599047619047617,0.916875,1085
106,0,3,0,-20.313809523809525,0.9160833333333334,1099
107,0,3,0,-12.727142857142855,0.9152916666666666,1107
108,0,3,0,-20.010714285714286,0.9145,1124
109,0,3,0,-12.191666666666666,0.9137083333333333,1130
110,0,2,0,-12.178214285714287,0.9129166666666667,1138
111,0,3,0,-18.294642857142854,0.912125,1155
112,0,4,0,-23.30238095238095,0.9113333333333333,1177
113,0,4,0,-9.013333333333334,0.9105416666666667,1182
114,0,3,0,-11.606666666666666,0.9097500000000001,1187
115,0,4,0,-8.003333333333334,0.9089583333333333,1192
116,0,3,0,-9.973333333333333,0.9081666666666667,1197
117,0,3,0,-11.803333333333333,0.907375,1202
118,0,3,0,-15.444642857142856,0.9065833333333333,1217
119,0,3,0,-13.207142857142857,0.9057916666666667,1224
120,0,4,0,-11.018809523809525,0.905,1234
121,0,4,0,-21.073214285714286,0.9042083333333333,1250
122,0,3,0,-22.52845238095238,0.9034166666666666,1273
123,0,1,0,-32.93988095238095,0.902625,1300
124,0,3,0,-14.246071428571426,0.9018333333333334,1310
125,0,3,0,-21.201309523809524,0.9010416666666666,1323
126,0,3,0,-19.850119047619046,0.90025,1347
127,0,4,0,-16.494642857142857,0.8994583333333334,1360
128,0,3,0,-11.606666666666666,0.8986666666666667,1365
129,0,4,0,-10.346666666666668,0.897875,1371
130,0,1,0,-23.817142857142855,0.8970833333333333,1385
