episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,0,3,0,-10.903333333333332,1.0,5
1,0,4,0,-9.803333333333333,0.9992083333333334,10
2,0,4,0,-8.751666666666665,0.9984166666666666,15
3,0,3,0,-12.545714285714286,0.997625,22
4,0,2,0,-13.336666666666668,0.9968333333333333,28
5,0,4,0,-9.336666666666666,0.9960416666666667,34
6,0,2,0,-23.81964285714286,0.99525,53
7,0,3,0,-13.492142857142857,0.9944583333333333,62
8,0,2,0,-16.302142857142858,0.9936666666666667,70
9,0,6,0,-13.086547619047618,0.992875,84
10,0,3,0,-20.882142857142856,0.9920833333333333,99
11,0,3,0,-29.42964285714286,0.9912916666666667,121
12,0,3,0,-16.204880952380954,0.9905,133
13,0,3,0,-13.292142857142856,0.9897083333333333,142
14,0,1,0,-24.914642857142855,0.9889166666666667,161
15,0,2,0,-18.702142857142857,0.988125,172
16,0,4,0,-9.651666666666667,0.9873333333333333,177
17,0,4,0,-8.198333333333332,0.9865416666666667,182
18,0,4,0,-10.157142857142857,0.98575,191
19,0,1,0,-14.406666666666666,0.9849583333333334,197
20,0,3,0,-12.957142857142857,0.9841666666666666,204
21,0,2,0,-12.511666666666667,0.983375,210
22,0,2,0,-13.152142857142856,0.9825833333333334,217
23,0,1,0,-15.182380952380953,0.9817916666666666,228
24,0,3,0,-15.553809523809523,0.981,237
25,0,3,0,-11.606666666666666,0.9802083333333333,242
26,0,4,0,-9.917142857142856,0.9794166666666667,250
27,0,1,0,-13.938333333333333,0.978625,255
28,0,2,0,-12.774999999999999,0.9778333333333333,261
29,0,3,0,-10.160714285714285,0.9770416666666667,268
30,0,2,0,-15.107142857142858,0.97625,275
31,0,4,0,-20.104642857142856,0.9754583333333333,297
32,0,1,0,-19.571309523809525,0.9746666666666667,307
33,0,4,0,-10.888809523809524,0.973875,314
34,0,4,0,-12.067142857142857,0.9730833333333333,323
35,0,2,0,-15.653809523809525,0.9722916666666667,332
36,0,3,0,-13.399999999999999,0.9715,338
37,0,6,0,-11.745714285714286,0.9707083333333333,350
38,0,2,0,-21.96964285714286,0.9699166666666666,363
39,0,3,0,-16.07154761904762,0.969125,376
40,0,3,0,-12.803809523809525,0.9683333333333334,383
41,0,2,0,-13.75,0.9675416666666666,389
42,0,2,0,-16.187142857142856,0.96675,398
43,0,3,0,-13.91357142857143,0.9659583333333334,405
44,0,3,0,-24.181309523809524,0.9651666666666666,422
45,0,2,0,-13.651666666666667,0.964375,427
46,0,2,0,-14.993809523809524,0.9635833333333333,435
47,0,2,0,-20.84464285714286,0.9627916666666667,448
48,0,1,0,-16.03988095238095,0.962,456
49,0,2,0,-13.854642857142856,0.9612083333333333,464
50,0,2,0,-14.236666666666666,0.9604166666666667,470
51,0,5,0,-12.256309523809524,0.959625,483
52,0,3,0,-20.517142857142858,0.9588333333333333,497
53,0,3,0,-12.75,0.9580416666666667,503
54,0,2,0,-15.107142857142858,0.95725,510
55,0,3,0,-20.65738095238095,0.9564583333333333,524
56,0,4,0,-32.20821428571429,0.9556666666666667,554
57,0,4,0,-9.913333333333334,0.954875,559
58,0,2,0,-19.507142857142856,0.9540833333333334,568
59,0,4,0,-11.558214285714286,0.9532916666666666,576
60,0,2,0,-13.85,0.9525,582
61,0,2,0,-15.663809523809523,0.9517083333333334,590
62,0,3,0,-16.635714285714286,0.9509166666666666,605
63,0,2,0,-16.482142857142858,0.950125,613
64,0,2,0,-15.412142857142857,0.9493333333333334,621
65,0,3,0,-12.5,0.9485416666666666,627
66,0,3,0,-11.803333333333333,0.94775,632
67,0,2,0,-13.773333333333333,0.9469583333333333,637
68,0,4,0,-12.399999999999999,0.9461666666666667,643
69,0,2,0,-14.577142857142857,0.945375,651
70,0,3,0,-13.107142857142858,0.9445833333333333,658
71,0,2,0,-19.277380952380952,0.9437916666666667,671
