episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,1,0,0,-19.307142857142857,1.0,9
1,1,0,0,-16.7,0.988125,15
2,0,0,0,-14.816666666666666,0.97625,20
3,0,0,0,-15.084523809523809,0.964375,28
4,1,0,0,-21.261309523809523,0.9525,48
5,1,0,0,-18.947619047619046,0.940625,62
6,0,0,0,-26.33988095238095,0.92875,96
7,0,0,0,-14.966666666666667,0.916875,101
8,0,0,0,-15.458333333333334,0.905,106
9,0,0,0,-14.066666666666666,0.893125,111
10,1,0,0,-26.257142857142856,0.88125,129
11,0,0,0,-17.798809523809524,0.869375,137
12,1,0,0,-18.207142857142856,0.8575,144
13,1,0,0,-16.74345238095238,0.8456250000000001,153
14,1,0,0,-14.152380952380952,0.83375,160
15,1,0,0,-16.69404761904762,0.821875,167
16,1,0,0,-24.957142857142856,0.81,185
17,0,0,0,-16.382142857142856,0.798125,193
18,1,0,0,-16.458333333333336,0.78625,198
19,0,0,0,-17.458333333333336,0.774375,203
20,2,0,0,-14.966666666666667,0.7625,208
21,1,0,0,-13.597619047619048,0.750625,215
22,3,0,0,-22.294642857142858,0.73875,235
23,0,0,0,-19.34880952380952,0.726875,246
24,1,0,0,-16.289880952380955,0.7150000000000001,254
25,1,0,0,-26.460714285714285,0.703125,269
26,1,0,0,-14.966666666666667,0.69125,274
27,1,0,0,-22.419642857142858,0.6793750000000001,288
28,2,0,0,-24.026785714285715,0.6675,305
29,0,0,0,-20.357142857142854,0.655625,315
30,2,0,0,-16.877380952380953,0.64375,325
31,0,0,0,-23.34464285714286,0.631875,339
32,1,0,0,-13.208333333333332,0.62,345
33,1,0,0,-16.358333333333334,0.608125,350
34,1,0,0,-17.86488095238095,0.59625,360
35,1,0,0,-18.982142857142858,0.5843750000000001,369
36,0,0,0,-14.641666666666666,0.5725,375
37,1,0,0,-17.925,0.5606249999999999,381
38,2,0,0,-27.34821428571428,0.5487500000000001,413
39,1,0,0,-14.899999999999999,0.536875,419
40,1,0,0,-17.01071428571428,0.525,442
41,1,0,0,-17.458333333333336,0.513125,447
42,1,0,0,-17.682142857142857,0.50125,455
43,0,0,0,-17.41488095238095,0.489375,466
44,0,0,0,-29.041071428571428,0.47750000000000004,481
45,0,0,0,-18.48988095238095,0.46562500000000007,496
46,0,0,0,-16.066666666666666,0.4537500000000001,501
47,2,0,0,-13.252380952380953,0.441875,508
48,1,0,0,-14.941666666666666,0.43000000000000005,514
49,2,0,0,-17.948214285714286,0.41812499999999997,525
50,1,0,0,-18.47380952380952,0.40625,534
51,2,0,0,-14.901190476190475,0.39437500000000003,545
52,2,0,0,-15.066666666666666,0.38250000000000006,550
53,0,0,0,-13.983333333333334,0.3706250000000001,555
54,0,0,0,-15.966666666666667,0.35875,560
55,1,0,0,-15.966666666666667,0.34687500000000004,565
56,1,0,0,-29.685119047619047,0.3350000000000001,584
57,0,0,0,-19.50714285714286,0.323125,591
58,0,0,0,-15.358333333333334,0.31125,596
59,1,0,0,-15.358333333333334,0.29937499999999995,601
60,1,0,0,-17.39404761904762,0.2875000000000001,611
61,0,0,0,-15.966666666666667,0.2756250000000001,616
62,2,0,0,-16.133333333333333,0.26375000000000004,621
63,1,0,0,-16.96666666666667,0.25187500000000007,626
64,0,0,0,-15.133333333333333,0.24,631
65,1,0,0,-16.95,0.22812500000000002,637
66,1,0,0,-14.660714285714285,0.21625000000000005,644
67,1,0,0,-17.258333333333333,0.20437499999999997,649
68,0,0,0,-15.966666666666667,0.1925,654
69,0,0,0,-14.966666666666667,0.18062500000000004,659
70,1,0,0,-16.96666666666667,0.16875000000000007,664
71,0,0,0,-14.966666666666667,0.1568750000000001,669
72,0,0,0,-15.233333333333334,0.14500000000000002,674
73,0,0,0,-13.066666666666666,0.13312500000000005,679
74,0,0,0,-14.966666666666667,0.12124999999999997,684
75,1,0,0,-15.966666666666667,0.109375,689
76,1,0,0,-14.405952380952382,0.09750000000000003,696
77,1,0,0,-15.966666666666667,0.08562500000000006,701
78,0,0,0,-15.966666666666667,0.0737500000000001,706
79,1,0,0,-16.95,0.06187500000000001,712
80,0,0,0,-16.133333333333333,0.050000000000000044,717
81,1,0,0,-16.96666666666667,0.050000000000000044,722
82,0,0,0,-15.966666666666667,0.050000000000000044,727
83,1,0,0,-16.95,0.050000000000000044,733
84,1,0,0,-16.96666666666667,0.050000000000000044,738
85,1,0,0,-16.96666666666667,0.050000000000000044,743
86,0,0,0,-15.133333333333333,0.050000000000000044,748
87,1,0,0,-17.133333333333333,0.050000000000000044,753
88,1,0,0,-16.96666666666667,0.050000000000000044,758
89,0,0,0,-14.966666666666667,0.050000000000000044,763
90,1,0,0,-15.966666666666667,0.050000000000000044,768
91,1,0,0,-16.96666666666667,0.050000000000000044,773
92,1,0,0,-16.96666666666667,0.050000000000000044,778
93,0,0,0,-16.9,0.050000000000000044,784
94,0,0,0,-14.966666666666667,0.050000000000000044,789
95,2,0,0,-15.966666666666667,0.050000000000000044,794
96,0,0,0,-14.966666666666667,0.050000000000000044,799
97,0,0,0,-15.966666666666667,0.050000000000000044,804
98,0,0,0,-12.966666666666667,0.050000000000000044,809
99,0,0,0,-15.966666666666667,0.050000000000000044,814
