episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,1,0,0,-16.430952380952377,1.0,11
1,0,0,0,-18.778571428571425,0.9992083333333334,20
2,0,0,0,-21.748809523809523,0.9984166666666666,33
3,0,0,0,-14.066666666666666,0.997625,38
4,0,0,0,-9.999999999999998,0.9968333333333333,44
5,0,0,0,-15.948809523809523,0.9960416666666667,51
6,0,0,0,-19.10238095238095,0.99525,65
7,1,0,0,-17.15714285714286,0.9944583333333333,72
8,0,0,0,-16.448214285714286,0.9936666666666667,80
9,0,0,0,-15.741666666666667,0.992875,86
10,0,0,0,-14.830952380952379,0.9920833333333333,94
11,1,0,0,-17.957142857142856,0.9912916666666667,103
12,1,0,0,-23.128571428571426,0.9905,114
13,0,0,0,-17.458333333333336,0.9897083333333333,119
14,1,0,0,-19.26904761904762,0.9889166666666667,134
15,0,0,0,-18.151785714285715,0.988125,143
16,0,0,0,-23.21964285714286,0.9873333333333333,161
17,0,0,0,-13.149999999999999,0.9865416666666667,167
18,0,0,0,-22.978571428571428,0.98575,176
19,0,0,0,-14.13095238095238,0.9849583333333334,191
20,0,0,0,-15.066666666666666,0.9841666666666666,196
21,1,0,0,-25.527380952380945,0.983375,223
22,0,0,0,-17.53214285714286,0.9825833333333334,233
23,2,0,0,-20.482142857142858,0.9817916666666666,244
24,0,0,0,-16.05,0.981,250
25,1,0,0,-18.597619047619048,0.9802083333333333,264
26,3,0,0,-14.801190476190474,0.9794166666666667,284
27,2,0,0,-19.478571428571428,0.978625,294
28,0,0,0,-12.541666666666666,0.9778333333333333,300
29,2,0,0,-18.107142857142858,0.9770416666666667,309
30,0,0,0,-15.848809523809523,0.97625,316
31,3,0,0,-12.817261904761903,0.9754583333333333,334
32,0,0,0,-39.05714285714285,0.9746666666666667,366
33,1,0,0,-16.41845238095238,0.973875,375
34,1,0,0,-15.082142857142856,0.9730833333333333,386
35,1,0,0,-21.561309523809527,0.9722916666666667,403
36,0,0,0,-20.366071428571427,0.9715,414
37,1,0,0,-16.510714285714286,0.9707083333333333,423
38,1,0,0,-16.96666666666667,0.9699166666666666,428
39,3,0,0,-34.832142857142856,0.969125,463
40,1,0,0,-21.678571428571427,0.9683333333333334,475
41,1,0,0,-16.607142857142854,0.9675416666666666,482
42,1,0,0,-14.677380952380952,0.96675,491
43,1,0,0,-17.741666666666667,0.9659583333333334,497
44,1,0,0,-16.935119047619047,0.9651666666666666,508
45,1,0,0,-19.30357142857143,0.964375,515
46,1,0,0,-19.652380952380952,0.9635833333333333,527
47,1,0,0,-18.91488095238095,0.9627916666666667,538
48,2,0,0,-31.03214285714286,0.962,559
49,1,0,0,-44.48214285714284,0.9612083333333333,613
50,0,0,0,-18.25714285714286,0.9604166666666667,620
51,2,0,0,-21.360119047619047,0.959625,635
52,1,0,0,-19.319642857142856,0.9588333333333333,645
53,0,0,0,-16.458333333333336,0.9580416666666667,650
54,0,0,0,-21.90714285714286,0.95725,661
55,0,0,0,-16.258333333333333,0.9564583333333333,666
56,1,0,0,-16.458333333333336,0.9556666666666667,671
57,1,0,0,-14.766666666666666,0.954875,677
58,1,0,0,-19.62857142857143,0.9540833333333334,685
59,0,0,0,-21.548809523809524,0.9532916666666666,694
60,1,0,0,-13.166666666666666,0.9525,699
61,0,0,0,-15.099999999999998,0.9517083333333334,705
62,0,0,0,-18.710119047619045,0.9509166666666666,719
63,0,0,0,-19.357142857142858,0.950125,728
64,1,0,0,-20.932142857142857,0.9493333333333334,741
65,2,0,0,-33.67857142857143,0.9485416666666666,769
66,0,0,0,-15.458333333333334,0.94775,774
67,0,0,0,-38.81071428571428,0.9469583333333333,806
68,1,0,0,-15.966666666666667,0.9461666666666667,811
69,5,0,0,-29.260714285714283,0.945375,844
70,1,0,0,-14.464880952380952,0.9445833333333333,854
71,0,0,0,-18.848809523809525,0.9437916666666667,861
72,1,0,0,-22.660714285714285,0.9430000000000001,877
73,0,0,0,-21.248809523809527,0.9422083333333333,887
74,0,0,0,-20.023809523809526,0.9414166666666667,897
75,1,0,0,-16.96666666666667,0.940625,902
76,0,0,0,-20.232142857142854,0.9398333333333333,915
77,0,0,0,-18.003571428571426,0.9390416666666667,922
78,0,0,0,-17.258333333333333,0.93825,927
79,0,0,0,-15.860714285714286,0.9374583333333333,934
80,1,0,0,-15.502380952380953,0.9366666666666666,941
81,0,0,0,-17.625,0.935875,947
82,1,0,0,-17.458333333333336,0.9350833333333334,952
83,0,0,0,-16.441666666666666,0.9342916666666666,958
84,2,0,0,-14.458333333333332,0.9335,963
85,1,0,0,-23.248809523809523,0.9327083333333334,979
86,1,0,0,-17.277380952380952,0.9319166666666667,990
87,1,0,0,-24.35238095238095,0.931125,1012
88,2,0,0,-18.839880952380952,0.9303333333333333,1020
89,0,0,0,-21.96964285714286,0.9295416666666667,1034
90,0,0,0,-15.358333333333334,0.92875,1039
91,1,0,0,-12.866666666666667,0.9279583333333333,1044
92,1,0,0,-18.358333333333334,0.9271666666666667,1049
93,0,0,0,-11.899999999999999,0.926375,1055
94,1,0,0,-14.702380952380953,0.9255833333333333,1062
95,0,0,0,-13.569642857142856,0.9247916666666667,1070
96,0,0,0,-16.81845238095238,0.924,1080
97,0,0,0,-16.507142857142856,0.9232083333333333,1087
98,0,0,0,-16.464880952380952,0.9224166666666667,1095
99,0,0,0,-17.748809523809523,0.921625,1103
100,0,0,0,-22.198214285714286,0.9208333333333334,1115
101,2,0,0,-18.689880952380953,0.9200416666666666,1125
102,1,0,0,-17.258333333333333,0.91925,1130
103,0,0,0,-15.881547619047618,0.9184583333333334,1140
104,1,0,0,-23.07857142857143,0.9176666666666666,1150
105,0,0,0,-15.066666666666666,0.916875,1155
106,0,0,0,-15.797619047619047,0.9160833333333334,1162
107,1,0,0,-13.341666666666665,0.9152916666666666,1168
108,2,0,0,-13.380952380952381,0.9145,1176
109,0,0,0,-15.832142857142857,0.9137083333333333,1183
110,0,0,0,-18.728571428571428,0.9129166666666667,1191
111,2,0,0,-19.35535714285714,0.912125,1202
112,0,0,0,-16.707142857142856,0.9113333333333333,1209
113,2,0,0,-16.231547619047618,0.9105416666666667,1219
114,3,0,0,-15.80238095238095,0.9097500000000001,1228
115,2,0,0,-18.523809523809526,0.9089583333333333,1242
116,6,0,0,-41.226190476190474,0.9081666666666667,1304
117,0,0,0,-11.132142857142854,0.907375,1313
118,2,0,0,-16.133333333333333,0.9065833333333333,1318
119,0,0,0,-14.966666666666667,0.9057916666666667,1323
120,1,0,0,-17.458333333333336,0.905,1328
121,1,0,0,-17.458333333333336,0.9042083333333333,1333
122,1,0,0,-17.044642857142858,0.9034166666666666,1342
123,3,0,0,-22.605952380952377,0.902625,1369
124,1,0,0,-16.96666666666667,0.9018333333333334,1374
125,2,0,0,-34.419642857142854,0.9010416666666666,1409
126,0,0,0,-17.458333333333336,0.90025,1414
127,0,0,0,-16.03333333333333,0.8994583333333334,1420
128,0,0,0,-11.408333333333333,0.8986666666666667,1426
129,0,0,0,-15.133333333333333,0.897875,1431
130,0,0,0,-14.658333333333333,0.8970833333333333,1436
131,0,0,0,-19.31130952380952,0.8962916666666667,1450
132,1,0,0,-13.983333333333334,0.8955,1455
133,0,0,0,-16.748809523809523,0.8947083333333333,1462
134,0,0,0,-14.133333333333333,0.8939166666666667,1467
135,1,0,0,-16.47738095238095,0.893125,1474
136,1,0,0,-18.40357142857143,0.8923333333333333,1481
137,0,0,0,-13.358333333333334,0.8915416666666667,1486
138,0,0,0,-22.248809523809523,0.89075,1497
139,0,0,0,-20.00357142857143,0.8899583333333333,1504
140,1,0,0,-13.330952380952379,0.8891666666666667,1513
141,2,0,0,-13.885119047619048,0.888375,1523
142,1,0,0,-16.233333333333334,0.8875833333333334,1528
143,0,0,0,-16.410714285714285,0.8867916666666666,1537
144,0,0,0,-17.2,0.886,1543
145,1,0,0,-22.198809523809523,0.8852083333333334,1554
146,0,0,0,-17.257142857142856,0.8844166666666666,1562
147,1,0,0,-15.833333333333334,0.883625,1567
148,3,0,0,-12.739880952380952,0.8828333333333334,1575
149,1,0,0,-13.458333333333332,0.8820416666666667,1581
150,3,0,0,-25.03988095238095,0.88125,1601
151,0,0,0,-14.558333333333334,0.8804583333333333,1606
152,3,0,0,-17.835119047619045,0.8796666666666667,1618
153,0,0,0,-13.394047619047619,0.878875,1625
154,5,0,0,-17.976190476190474,0.8780833333333333,1645
155,1,0,0,-16.641666666666666,0.8772916666666667,1651
156,2,0,0,-27.57738095238095,0.8765000000000001,1674
157,1,0,0,-15.960714285714285,0.8757083333333333,1683
158,0,0,0,-13.558333333333334,0.8749166666666667,1688
159,2,0,0,-16.65595238095238,0.874125,1697
160,0,0,0,-16.332142857142856,0.8733333333333333,1707
161,3,0,0,-29.119642857142857,0.8725416666666667,1734
162,1,0,0,-13.863690476190476,0.87175,1744
163,6,0,0,-29.314880952380946,0.8709583333333333,1785
164,1,0,0,-14.298214285714286,0.8701666666666666,1794
165,1,0,0,-17.498809523809523,0.869375,1805
166,1,0,0,-19.81488095238095,0.8685833333333334,1816
167,2,0,0,-13.766666666666666,0.8677916666666667,1821
168,2,0,0,-15.494047619047619,0.867,1828
169,0,0,0,-11.785714285714285,0.8662083333333334,1837
170,0,0,0,-12.816666666666666,0.8654166666666667,1842
171,1,0,0,-17.07261904761905,0.864625,1850
172,0,0,0,-17.257142857142856,0.8638333333333333,1858
173,0,0,0,-14.741666666666667,0.8630416666666667,1864
174,2,0,0,-20.852380952380955,0.86225,1883
175,1,0,0,-15.135714285714286,0.8614583333333333,1890
176,0,0,0,-14.741666666666667,0.8606666666666667,1896
177,2,0,0,-16.123214285714283,0.859875,1904
178,1,0,0,-17.832142857142856,0.8590833333333333,1912
179,2,0,0,-16.185119047619047,0.8582916666666667,1922
180,2,0,0,-16.133333333333333,0.8575,1927
181,4,0,0,-18.58869047619047,0.8567083333333333,1949
182,1,0,0,-16.2,0.8559166666666667,1955
183,1,0,0,-20.377380952380953,0.855125,1966
184,1,0,0,-15.727380952380951,0.8543333333333334,1973
185,0,0,0,-16.96666666666667,0.8535416666666666,1978
186,0,0,0,-13.966666666666667,0.85275,1983
187,0,0,0,-22.01488095238095,0.8519583333333334,1996
188,0,0,0,-16.9,0.8511666666666666,2002
189,2,0,0,-17.189880952380953,0.850375,2015
190,4,0,0,-17.73095238095238,0.8495833333333334,2035
191,0,0,0,-16.707142857142856,0.8487916666666666,2042
192,0,0,0,-15.798809523809522,0.848,2050
193,4,0,0,-15.90595238095238,0.8472083333333333,2067
194,2,0,0,-29.648214285714282,0.8464166666666667,2091
195,3,0,0,-25.28214285714286,0.8456250000000001,2111
196,1,0,0,-17.133333333333333,0.8448333333333333,2116
197,0,0,0,-17.991071428571427,0.8440416666666667,2124
198,5,0,0,-31.573214285714286,0.84325,2166
199,1,0,0,-17.40714285714286,0.8424583333333333,2173
200,2,0,0,-39.85714285714286,0.8416666666666667,2208
201,2,0,0,-16.414880952380948,0.840875,2222
202,2,0,0,-16.435714285714283,0.8400833333333333,2229
203,3,0,0,-29.36488095238095,0.8392916666666667,2255
204,2,0,0,-16.59404761904762,0.8385,2262
205,1,0,0,-16.233333333333334,0.8377083333333333,2267
206,2,0,0,-17.60238095238095,0.8369166666666666,2279
207,0,0,0,-15.602380952380951,0.836125,2288
208,1,0,0,-21.25595238095238,0.8353333333333334,2311
209,0,0,0,-13.861309523809522,0.8345416666666667,2320
210,2,0,0,-18.198809523809523,0.83375,2328
