episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,0,3,0,-17.769642857142856,1.0,11
1,0,4,0,-14.514880952380953,0.9996875,23
2,0,1,0,-17.4,0.999375,29
3,0,2,0,-15.579642857142856,0.9990625,37
4,0,4,0,-9.651666666666667,0.99875,42
5,0,2,0,-22.827380952380953,0.9984375,59
6,0,2,0,-19.744642857142853,0.998125,70
7,0,3,0,-13.136666666666667,0.9978125,76
8,0,3,0,-11.75,0.9975,82
9,0,3,0,-14.91357142857143,0.9971875,89
10,0,5,0,-33.567142857142855,0.996875,118
11,0,3,0,-10.05,0.9965625,124
12,0,3,0,-12.600000000000001,0.99625,130
13,0,4,0,-9.013333333333334,0.9959375,135
14,0,2,0,-16.567142857142855,0.995625,148
15,0,3,0,-11.651666666666667,0.9953125,153
16,0,2,0,-16.4,0.995,159
17,0,1,0,-19.571309523809525,0.9946875,169
18,0,3,0,-16.453809523809525,0.994375,178
19,0,4,0,-20.744642857142857,0.9940625,194
20,0,2,0,-16.204880952380954,0.99375,202
21,0,3,0,-13.482142857142858,0.9934375,210
22,0,3,0,-11.913333333333334,0.993125,215
23,0,6,0,-29.36988095238095,0.9928125,250
24,0,3,0,-16.729642857142856,0.9925,260
25,0,4,0,-11.246666666666666,0.9921875,266
26,0,3,0,-11.606666666666666,0.991875,271
27,0,4,0,-12.192142857142857,0.9915625,280
28,0,1,0,-16.552142857142854,0.99125,287
29,0,3,0,-18.357142857142858,0.9909375,297
30,0,2,0,-20.557142857142857,0.990625,310
31,0,4,0,-10.992380952380952,0.9903125,322
32,0,3,0,-12.998333333333331,0.99,327
33,0,3,0,-21.019642857142856,0.9896875,345
34,0,4,0,-10.957142857142856,0.989375,352
35,0,4,0,-22.889880952380953,0.9890625,372
36,0,1,0,-15.111666666666666,0.98875,378
37,0,3,0,-15.813571428571429,0.9884375,385
38,0,0,0,-30.40630952380952,0.988125,405
39,0,4,0,-11.782380952380953,0.9878125,414
40,0,5,0,-18.15714285714286,0.9875,428
41,0,2,0,-15.057380952380953,0.9871875,435
42,0,2,0,-15.107142857142858,0.986875,442
43,0,2,0,-14.207142857142857,0.9865625,449
44,0,2,0,-17.818809523809524,0.98625,459
45,0,3,0,-16.243809523809524,0.9859375,472
46,0,3,0,-16.107142857142858,0.985625,482
47,0,2,0,-26.579642857142858,0.9853125,506
48,0,3,0,-10.85,0.985,512
49,0,3,0,-18.794642857142858,0.9846875,532
50,0,3,0,-13.91357142857143,0.984375,539
51,0,3,0,-10.903333333333332,0.9840625,544
52,0,3,0,-14.582142857142857,0.98375,552
53,0,2,0,-18.018809523809523,0.9834375,560
54,0,4,0,-10.098333333333331,0.983125,565
55,0,3,0,-14.682380952380951,0.9828125,574
56,0,2,0,-13.998333333333331,0.9825,579
57,0,3,0,-11.75,0.9821875,585
58,0,3,0,-16.243809523809524,0.981875,594
59,0,3,0,-22.292142857142856,0.9815625,611
60,0,6,0,-28.806309523809517,0.98125,640
61,0,3,0,-12.594642857142857,0.9809375,651
62,0,2,0,-25.982142857142858,0.980625,670
63,0,2,0,-14.117142857142857,0.9803125,677
64,0,2,0,-12.706666666666667,0.98,682
65,0,4,0,-14.481071428571427,0.9796875,692
66,0,4,0,-15.717142857142857,0.979375,703
