episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,0,2,0,-14.316666666666666,1.0,6
1,0,2,0,-12.85,0.9992083333333334,12
2,0,4,0,-9.098333333333333,0.9984166666666666,17
3,0,3,0,-11.336666666666666,0.997625,23
4,0,3,0,-10.706666666666667,0.9968333333333333,28
5,0,6,0,-22.434047619047618,0.9960416666666667,49
6,0,3,0,-18.48988095238095,0.99525,67
7,0,1,0,-15.198333333333334,0.9944583333333333,72
8,0,3,0,-11.651666666666667,0.9936666666666667,77
9,0,3,0,-11.652380952380952,0.992875,86
10,0,4,0,-12.91357142857143,0.9920833333333333,93
11,0,4,0,-9.446666666666665,0.9912916666666667,99
12,0,3,0,-14.769642857142856,0.9905,111
13,0,3,0,-11.407142857142857,0.9897083333333333,118
14,0,1,0,-20.433214285714286,0.9889166666666667,131
15,0,2,0,-15.333214285714286,0.988125,140
16,0,4,0,-9.803333333333333,0.9873333333333333,145
17,0,1,0,-24.202380952380953,0.9865416666666667,160
18,0,2,0,-17.91880952380952,0.98575,170
19,0,3,0,-15.802380952380952,0.9849583333333334,182
20,0,3,0,-16.303809523809523,0.9841666666666666,193
21,0,2,0,-13.473214285714285,0.983375,201
22,0,6,0,-17.108214285714283,0.9825833333333334,221
23,0,2,0,-14.998333333333331,0.9817916666666666,226
24,0,3,0,-21.082142857142856,0.981,243
25,0,5,0,-19.607142857142854,0.9802083333333333,258
26,0,2,0,-20.607142857142858,0.9794166666666667,269
27,0,3,0,-18.79380952380952,0.978625,282
28,0,4,0,-8.751666666666665,0.9778333333333333,287
29,0,3,0,-12.207142857142857,0.9770416666666667,294
30,0,1,0,-16.097142857142856,0.97625,302
31,0,3,0,-19.894642857142856,0.9754583333333333,317
32,0,4,0,-33.87738095238095,0.9746666666666667,347
33,0,3,0,-27.329642857142858,0.973875,370
34,0,3,0,-16.729642857142856,0.9730833333333333,380
35,0,4,0,-15.894642857142857,0.9722916666666667,392
36,0,4,0,-9.651666666666667,0.9715,397
37,0,3,0,-13.216666666666665,0.9707083333333333,403
38,0,2,0,-17.807142857142857,0.9699166666666666,414
39,0,3,0,-12.346666666666668,0.969125,420
40,0,1,0,-17.49214285714286,0.9683333333333334,429
41,0,4,0,-9.446666666666667,0.9675416666666666,435
42,0,2,0,-20.03214285714286,0.96675,449
43,0,4,0,-9.651666666666667,0.9659583333333334,454
44,0,1,0,-15.246666666666666,0.9651666666666666,459
45,0,4,0,-7.8999999999999995,0.964375,465
46,0,1,0,-17.983214285714286,0.9635833333333333,476
47,0,3,0,-14.432142857142857,0.9627916666666667,486
48,0,3,0,-14.244642857142857,0.962,496
49,0,4,0,-16.842142857142854,0.9612083333333333,511
50,0,2,0,-20.673214285714288,0.9604166666666667,525
51,0,3,0,-13.017142857142858,0.959625,533
52,0,4,0,-14.317142857142857,0.9588333333333333,545
53,0,4,0,-9.903809523809525,0.9580416666666667,552
54,0,3,0,-14.107142857142858,0.95725,559
55,0,3,0,-9.298333333333332,0.9564583333333333,564
56,0,3,0,-14.392142857142856,0.9556666666666667,573
57,0,2,0,-15.267142857142858,0.954875,580
58,0,2,0,-12.113333333333333,0.9540833333333334,585
59,0,3,0,-18.367142857142856,0.9532916666666666,599
60,0,2,0,-13.913333333333334,0.9525,604
61,0,3,0,-12.431666666666667,0.9517083333333334,610
62,0,2,0,-14.442142857142857,0.9509166666666666,617
63,0,5,0,-17.052142857142854,0.950125,638
64,0,3,0,-14.813571428571429,0.9493333333333334,645
65,0,3,0,-14.399999999999999,0.9485416666666666,651
66,0,1,0,-18.52357142857143,0.94775,658
67,0,1,0,-18.79380952380952,0.9469583333333333,666
68,0,3,0,-11.651666666666667,0.9461666666666667,671
69,0,3,0,-11.85,0.945375,677
70,0,2,0,-18.60154761904762,0.9445833333333333,691
71,0,4,0,-10.582142857142857,0.9437916666666667,699
72,0,2,0,-42.94464285714286,0.9430000000000001,728
73,0,3,0,-12.346666666666666,0.9422083333333333,734
74,0,4,0,-9.803333333333333,0.9414166666666667,739
75,0,2,0,-15.197142857142858,0.940625,749
76,0,3,0,-14.482142857142858,0.9398333333333333,757
77,0,2,0,-30.41964285714286,0.9390416666666667,779
78,0,2,0,-36.89464285714286,0.93825,807
79,0,3,0,-11.803333333333333,0.9374583333333333,812
80,0,3,0,-14.386547619047619,0.9366666666666666,823
81,0,2,0,-15.995714285714286,0.935875,832
82,0,3,0,-15.567142857142857,0.9350833333333334,842
83,0,4,0,-29.152380952380952,0.9342916666666666,870
84,0,2,0,-14.236666666666666,0.9335,876
85,0,3,0,-13.5,0.9327083333333334,882
86,0,2,0,-18.063809523809525,0.9319166666666667,890
87,0,3,0,-11.7,0.931125,896
88,0,1,0,-15.568809523809524,0.9303333333333333,903
89,0,7,0,-14.432142857142857,0.9295416666666667,920
90,0,3,0,-20.329642857142858,0.92875,935
91,0,3,0,-14.292142857142858,0.9279583333333333,944
92,0,3,0,-17.90380952380952,0.9271666666666667,957
93,0,1,0,-17.125,0.926375,963
94,0,2,0,-13.317142857142857,0.9255833333333333,970
95,0,3,0,-39.56630952380952,0.9247916666666667,999
96,0,3,0,-15.868809523809524,0.924,1007
97,0,3,0,-12.098333333333333,0.9232083333333333,1012
98,0,3,0,-16.317142857142855,0.9224166666666667,1024
99,0,3,0,-23.443809523809524,0.921625,1041
100,0,4,0,-8.257142857142856,0.9208333333333334,1048
101,0,2,0,-15.219642857142857,0.9200416666666666,1057
102,0,3,0,-13.5,0.91925,1063
103,0,2,0,-13.738333333333333,0.9184583333333334,1068
104,0,2,0,-26.54738095238095,0.9176666666666666,1087
105,0,3,0,-10.706666666666667,0.916875,1092
106,0,2,0,-13.689642857142857,0.9160833333333334,1101
107,0,3,0,-20.539880952380955,0.9152916666666666,1121
108,0,2,0,-16.582142857142856,0.9145,1129
109,0,3,0,-14.954642857142856,0.9137083333333333,1140
110,0,4,0,-15.832142857142857,0.9129166666666667,1155
111,0,4,0,-29.59464285714286,0.912125,1185
112,0,3,0,-14.91357142857143,0.9113333333333333,1192
113,0,2,0,-13.75,0.9105416666666667,1198
114,0,4,0,-25.144642857142856,0.9097500000000001,1218
115,0,3,0,-17.306309523809524,0.9089583333333333,1231
116,0,4,0,-10.107142857142858,0.9081666666666667,1238
117,0,3,0,-25.993809523809524,0.907375,1258
118,0,2,0,-21.378809523809522,0.9065833333333333,1272
119,0,2,0,-17.027380952380952,0.9057916666666667,1285
120,0,6,0,-9.147380952380953,0.905,1295
121,0,6,0,-8.883214285714285,0.9042083333333333,1306
122,0,4,0,-10.236666666666666,0.9034166666666666,1312
123,0,2,0,-13.246666666666666,0.902625,1317
124,0,2,0,-17.748214285714283,0.9018333333333334,1331
125,0,2,0,-26.28214285714286,0.9010416666666666,1347
126,0,3,0,-13.727380952380951,0.90025,1357
127,0,6,0,-30.334880952380956,0.8994583333333334,1392
128,0,2,0,-23.392142857142858,0.8986666666666667,1409
129,0,3,0,-18.433214285714286,0.897875,1422
130,0,6,0,-22.269642857142856,0.8970833333333333,1441
131,0,3,0,-21.84464285714286,0.8962916666666667,1464
132,0,4,0,-9.960714285714285,0.8955,1473
133,0,4,0,-9.651666666666667,0.8947083333333333,1478
134,0,5,0,-14.345714285714285,0.8939166666666667,1490
135,0,3,0,-13.077380952380953,0.893125,1501
136,0,3,0,-13.5,0.8923333333333333,1507
137,0,3,0,-13.013571428571428,0.8915416666666667,1514
138,0,3,0,-12.957142857142857,0.89075,1521
139,0,4,0,-9.651666666666667,0.8899583333333333,1526
140,0,3,0,-13.342142857142857,0.8891666666666667,1533
141,0,3,0,-14.332142857142857,0.888375,1543
142,0,5,0,-8.257380952380952,0.8875833333333334,1552
143,0,5,0,-24.32488095238095,0.8867916666666666,1576
144,0,3,0,-18.43904761904762,0.886,1589
145,0,3,0,-21.767142857142858,0.8852083333333334,1607
