episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,0,3,0,-21.664880952380955,1.0,16
1,0,3,0,-15.443809523809524,0.999765625,25
2,0,4,0,-30.832142857142856,0.99953125,47
3,0,3,0,-14.443809523809524,0.999296875,56
4,0,2,0,-15.893809523809523,0.9990625,64
5,0,3,0,-33.35714285714286,0.998828125,93
6,0,4,0,-13.858571428571427,0.99859375,102
7,0,3,0,-10.751666666666667,0.998359375,107
8,0,2,0,-14.542142857142856,0.998125,114
9,0,2,0,-12.507142857142856,0.997890625,121
10,0,3,0,-13.917142857142858,0.99765625,129
11,0,3,0,-16.193809523809524,0.997421875,140
12,0,4,0,-12.263809523809524,0.9971875,148
13,0,9,0,-47.38214285714287,0.996953125,199
14,0,3,0,-15.028809523809525,0.99671875,209
15,0,3,0,-19.784642857142856,0.996484375,226
16,0,3,0,-12.098333333333333,0.99625,231
17,0,3,0,-22.707142857142856,0.996015625,248
18,0,2,0,-27.081309523809523,0.99578125,267
19,0,3,0,-23.107142857142858,0.995546875,283
20,0,1,0,-17.202380952380953,0.9953125,294
21,0,3,0,-23.443809523809527,0.995078125,315
22,0,3,0,-14.022380952380953,0.99484375,325
23,0,0,0,-19.017142857142858,0.994609375,332
24,0,5,0,-24.807142857142857,0.994375,356
25,0,4,0,-12.91357142857143,0.994140625,363
26,0,4,0,-13.718809523809524,0.99390625,373
27,0,2,0,-14.998333333333331,0.993671875,378
28,0,4,0,-9.651666666666667,0.9934375,383
29,0,2,0,-12.751666666666667,0.993203125,388
30,0,2,0,-13.651666666666667,0.99296875,393
31,0,2,0,-21.107142857142858,0.992734375,410
32,0,3,0,-11.217142857142857,0.9925,417
33,0,2,0,-40.58214285714286,0.992265625,447
34,0,4,0,-9.651666666666667,0.99203125,452
35,0,4,0,-9.531666666666666,0.991796875,458
36,0,3,0,-18.068809523809524,0.9915625,472
37,0,3,0,-19.31357142857143,0.991328125,487
38,0,3,0,-11.531666666666666,0.99109375,493
39,0,1,0,-13.688333333333333,0.990859375,498
40,0,2,0,-15.442142857142857,0.990625,505
41,0,3,0,-31.307142857142857,0.990390625,527
42,0,2,0,-17.343809523809526,0.99015625,536
43,0,2,0,-13.531666666666666,0.989921875,542
44,0,2,0,-12.85,0.9896875,548
45,0,4,0,-32.04821428571429,0.989453125,578
46,0,2,0,-15.017142857142858,0.98921875,586
47,0,3,0,-11.773333333333333,0.988984375,591
48,0,1,0,-15.098333333333333,0.98875,596
49,0,2,0,-15.623571428571427,0.988515625,603
50,0,5,0,-34.519642857142856,0.98828125,629
51,0,3,0,-14.482142857142858,0.988046875,637
52,0,2,0,-14.225,0.9878125,643
53,0,1,0,-22.153809523809525,0.987578125,656
54,0,3,0,-11.803333333333333,0.98734375,661
55,0,2,0,-17.327142857142857,0.987109375,671
56,0,2,0,-14.933214285714286,0.986875,683
57,0,3,0,-13.758809523809525,0.986640625,690
58,0,3,0,-10.751666666666665,0.98640625,695
59,0,3,0,-11.651666666666667,0.986171875,700
60,0,4,0,-8.751666666666665,0.9859375,705
61,0,0,0,-17.775,0.985703125,711
62,0,2,0,-21.288809523809523,0.98546875,722
63,0,3,0,-14.388571428571428,0.985234375,730
64,0,3,0,-15.332142857142857,0.985,740
65,0,2,0,-17.928809523809523,0.984765625,750
66,0,3,0,-11.642142857142858,0.98453125,757
67,0,2,0,-12.751666666666665,0.984296875,762
68,0,2,0,-17.93107142857143,0.9840625,770
69,0,4,0,-8.751666666666667,0.983828125,775
70,0,4,0,-16.018452380952382,0.98359375,788
71,0,4,0,-25.057142857142857,0.983359375,810
72,0,3,0,-14.219642857142857,0.983125,819
73,0,3,0,-12.75,0.982890625,825
74,0,2,0,-20.308214285714286,0.98265625,839
75,0,3,0,-17.193809523809524,0.982421875,850
76,0,3,0,-10.95,0.9821875,856
77,0,3,0,-24.78857142857143,0.981953125,874
78,0,3,0,-25.71964285714286,0.98171875,893
79,0,3,0,-12.442142857142857,0.981484375,900
80,0,5,0,-17.957142857142856,0.98125,916
81,0,3,0,-10.52845238095238,0.981015625,926
82,0,3,0,-26.139880952380953,0.98078125,947
83,0,2,0,-16.563809523809525,0.980546875,955
84,0,3,0,-14.219642857142857,0.9803125,964
85,0,3,0,-16.729642857142856,0.980078125,974
86,0,3,0,-11.013333333333334,0.97984375,979
87,0,4,0,-8.751666666666665,0.979609375,984
88,0,3,0,-16.513809523809524,0.979375,994
89,0,2,0,-15.857142857142858,0.979140625,1003
90,0,3,0,-13.837142857142858,0.97890625,1012
