episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,0,1,0,-20.994642857142857,1.0,11
1,0,2,0,-20.994880952380953,0.999765625,27
2,0,2,0,-24.132142857142856,0.99953125,44
3,0,3,0,-13.582142857142857,0.999296875,52
4,0,3,0,-22.518809523809523,0.9990625,68
5,0,3,0,-14.332142857142857,0.998828125,76
6,0,3,0,-21.994642857142857,0.99859375,93
7,0,3,0,-10.751666666666665,0.998359375,98
8,0,4,0,-9.651666666666667,0.998125,103
9,0,2,0,-14.107142857142858,0.997890625,110
10,0,2,0,-30.382142857142856,0.99765625,132
11,0,1,0,-15.849642857142857,0.997421875,142
12,0,3,0,-12.582142857142857,0.9971875,150
13,0,4,0,-9.013333333333334,0.996953125,155
14,0,1,0,-28.95880952380952,0.99671875,180
15,0,3,0,-21.232142857142854,0.996484375,202
16,0,2,0,-24.629642857142855,0.99625,221
17,0,2,0,-19.317142857142855,0.996015625,233
18,0,2,0,-33.694880952380956,0.99578125,265
19,0,4,0,-10.107142857142858,0.995546875,272
20,0,1,0,-25.307142857142857,0.9953125,286
21,0,3,0,-12.600000000000001,0.995078125,292
22,0,5,0,-26.517142857142858,0.99484375,312
23,0,2,0,-20.888571428571428,0.994609375,324
24,0,3,0,-11.542142857142856,0.994375,331
25,0,5,0,-24.24464285714286,0.994140625,352
26,0,3,0,-14.292142857142858,0.99390625,361
27,0,3,0,-11.446666666666667,0.993671875,367
28,0,3,0,-24.192142857142855,0.9934375,385
29,0,1,0,-15.651666666666667,0.993203125,390
30,0,2,0,-11.952380952380953,0.99296875,397
31,0,4,0,-10.236666666666666,0.992734375,403
32,0,3,0,-12.542142857142856,0.9925,410
33,0,4,0,-9.013333333333334,0.992265625,415
34,0,1,0,-17.342142857142857,0.99203125,422
35,0,3,0,-12.419642857142858,0.991796875,430
36,0,2,0,-14.941666666666666,0.9915625,436
37,0,3,0,-13.207142857142857,0.991328125,443
38,0,5,0,-24.46714285714286,0.99109375,467
39,0,3,0,-14.107142857142858,0.990859375,474
40,0,2,0,-17.336071428571426,0.990625,482
41,0,1,0,-16.24238095238095,0.990390625,489
42,0,4,0,-11.536071428571429,0.99015625,497
43,0,3,0,-17.394642857142856,0.989921875,510
44,0,2,0,-25.119642857142857,0.9896875,528
45,0,3,0,-12.191666666666666,0.989453125,534
46,0,2,0,-26.28214285714286,0.98921875,550
47,0,3,0,-11.651666666666667,0.988984375,555
48,0,3,0,-11.75,0.98875,561
49,0,3,0,-13.246666666666666,0.988515625,567
50,0,2,0,-14.989880952380952,0.98828125,577
51,0,3,0,-12.236666666666666,0.988046875,583
52,0,3,0,-14.707142857142857,0.9878125,594
53,0,1,0,-21.668809523809525,0.987578125,606
54,0,3,0,-15.332142857142857,0.98734375,616
55,0,4,0,-9.6,0.987109375,622
56,0,3,0,-10.992380952380952,0.986875,629
57,0,3,0,-19.32845238095238,0.986640625,645
58,0,2,0,-13.651666666666667,0.98640625,650
59,0,3,0,-31.628809523809522,0.986171875,676
60,0,2,0,-25.62607142857143,0.9859375,695
61,0,2,0,-17.312142857142856,0.985703125,703
62,0,3,0,-18.587380952380954,0.98546875,723
63,0,4,0,-12.332142857142856,0.985234375,731
64,0,4,0,-9.651666666666667,0.985,736
65,0,2,0,-15.582142857142857,0.984765625,744
66,0,3,0,-11.531666666666666,0.98453125,750
67,0,3,0,-12.307142857142857,0.984296875,757
68,0,4,0,-10.113571428571428,0.9840625,764
69,0,3,0,-10.751666666666665,0.983828125,769
70,0,2,0,-22.049642857142857,0.98359375,784
71,0,3,0,-18.658809523809524,0.983359375,796
72,0,2,0,-19.994642857142857,0.983125,807
73,0,4,0,-27.017142857142854,0.982890625,830
74,0,3,0,-13.107142857142858,0.98265625,837
75,0,3,0,-18.473214285714285,0.982421875,853
76,0,4,0,-11.246666666666666,0.9821875,859
77,0,2,0,-21.843809523809526,0.981953125,872
78,0,3,0,-22.15714285714286,0.98171875,889
79,0,3,0,-20.768809523809523,0.981484375,903
