episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,0,2,0,-20.61130952380952,1.0,12
1,0,2,0,-21.357142857142858,0.999765625,25
2,0,1,0,-16.542142857142856,0.99953125,32
3,0,3,0,-11.913333333333334,0.999296875,37
4,0,3,0,-20.23238095238095,0.9990625,52
5,0,3,0,-13.703809523809523,0.998828125,59
6,0,3,0,-14.05857142857143,0.99859375,68
7,0,2,0,-20.49738095238095,0.998359375,84
8,0,4,0,-11.832142857142857,0.998125,93
9,0,4,0,-12.536071428571427,0.997890625,101
10,0,0,0,-30.72607142857143,0.99765625,124
11,0,3,0,-16.33607142857143,0.997421875,132
12,0,3,0,-17.98988095238095,0.9971875,146
13,0,3,0,-33.12738095238095,0.996953125,179
14,0,1,0,-16.519642857142856,0.99671875,187
15,0,3,0,-22.579642857142858,0.996484375,205
16,0,3,0,-13.703809523809525,0.99625,212
17,0,2,0,-14.808690476190476,0.996015625,221
18,0,4,0,-9.207142857142857,0.99578125,228
19,0,3,0,-14.907142857142857,0.995546875,239
20,1,6,0,-17.898214285714285,0.9953125,260
21,0,3,0,-22.87964285714286,0.995078125,276
22,0,3,0,-18.257142857142856,0.99484375,290
23,0,3,0,-17.629642857142855,0.994609375,300
24,0,2,0,-17.868809523809524,0.994375,308
25,0,2,0,-20.589880952380952,0.994140625,322
26,0,4,0,-10.998333333333331,0.99390625,327
27,0,2,0,-21.34238095238095,0.993671875,343
28,0,2,0,-14.236666666666666,0.9934375,349
29,0,4,0,-9.651666666666667,0.993203125,354
30,0,3,0,-19.203809523809525,0.99296875,365
31,0,5,0,-10.442380952380951,0.992734375,375
32,0,3,0,-10.958809523809524,0.9925,382
33,0,5,0,-17.063809523809525,0.992265625,397
34,0,3,0,-12.75,0.99203125,403
35,0,3,0,-20.256309523809524,0.991796875,420
36,0,4,0,-12.494880952380953,0.9915625,429
37,0,2,0,-15.857142857142858,0.991328125,436
38,0,3,0,-19.541071428571428,0.99109375,447
39,0,4,0,-18.776309523809523,0.990859375,464
40,0,2,0,-27.44464285714286,0.990625,487
41,0,1,0,-13.973333333333333,0.990390625,492
42,0,4,0,-9.651666666666667,0.99015625,497
43,0,3,0,-13.136666666666667,0.989921875,503
44,0,2,0,-13.194880952380952,0.9896875,511
45,0,2,0,-12.751666666666667,0.989453125,516
46,0,3,0,-21.648571428571426,0.98921875,529
47,0,3,0,-16.818809523809524,0.988984375,539
48,0,3,0,-24.619642857142857,0.98875,557
49,0,3,0,-11.013333333333334,0.988515625,562
50,0,2,0,-21.299642857142857,0.98828125,577
51,0,3,0,-12.75,0.988046875,583
52,0,2,0,-19.517142857142858,0.9878125,595
53,0,4,0,-10.998333333333331,0.987578125,600
54,0,3,0,-15.007142857142856,0.98734375,611
55,0,3,0,-19.886071428571427,0.987109375,625
56,0,2,0,-28.36345238095238,0.986875,649
57,0,4,0,-25.343809523809526,0.986640625,669
58,0,1,0,-14.346666666666668,0.98640625,674
59,0,4,0,-18.883214285714285,0.986171875,691
60,0,3,0,-10.003333333333334,0.9859375,696
61,0,2,0,-17.382142857142856,0.985703125,708
62,0,3,0,-19.269642857142856,0.98546875,720
63,0,4,0,-10.098333333333333,0.985234375,725
64,0,2,0,-13.480952380952381,0.985,734
65,0,2,0,-16.566309523809522,0.984765625,748
66,0,2,0,-24.562142857142856,0.98453125,765
67,0,2,0,-13.828452380952381,0.984296875,774
68,0,4,0,-9.003809523809524,0.9840625,781
69,0,3,0,-17.693809523809524,0.983828125,794
70,0,3,0,-25.069642857142856,0.98359375,812
71,0,5,0,-18.317142857142855,0.983359375,826
72,0,3,0,-11.531666666666666,0.983125,832
73,0,3,0,-13.968809523809524,0.982890625,840
74,0,4,0,-11.246666666666666,0.98265625,846
75,0,3,0,-12.207142857142857,0.982421875,853
76,0,4,0,-19.044642857142854,0.9821875,869
77,0,1,0,-14.693333333333333,0.981953125,875
78,0,5,0,-7.965952380952381,0.98171875,885
79,0,4,0,-8.7,0.981484375,891
80,0,3,0,-12.431666666666667,0.98125,897
81,0,4,0,-11.331666666666667,0.981015625,903
82,0,3,0,-13.817142857142859,0.98078125,911
83,0,3,0,-11.782142857142857,0.980546875,919
84,0,3,0,-12.797380952380951,0.9803125,929
85,0,3,0,-21.40714285714286,0.980078125,943
86,0,3,0,-12.098333333333333,0.97984375,948
87,0,2,0,-15.168809523809523,0.979609375,956
88,0,2,0,-15.377142857142857,0.979375,964
89,0,2,0,-15.442142857142857,0.979140625,971
90,0,3,0,-9.998333333333335,0.97890625,976
91,0,2,0,-15.246666666666666,0.978671875,982
92,0,6,0,-34.218809523809526,0.9784375,1015
93,0,4,0,-11.703809523809523,0.978203125,1022
94,0,3,0,-28.03214285714286,0.97796875,1041
95,0,3,0,-20.78214285714286,0.977734375,1057
96,0,3,0,-13.442142857142857,0.9775,1064
97,0,2,0,-14.431666666666667,0.977265625,1070
98,0,3,0,-12.431666666666667,0.97703125,1076
99,0,4,0,-8.695714285714285,0.976796875,1084
100,0,3,0,-10.751666666666667,0.9765625,1089
101,0,3,0,-9.806666666666667,0.976328125,1094
102,0,3,0,-16.116309523809523,0.97609375,1105
103,0,3,0,-16.919642857142858,0.975859375,1114
104,0,0,0,-18.952142857142857,0.975625,1121
105,0,2,0,-24.20238095238095,0.975390625,1141
106,0,2,0,-14.638333333333334,0.97515625,1146
107,0,3,0,-13.5,0.974921875,1152
108,0,4,0,-12.677380952380952,0.9746875,1164
109,0,2,0,-18.91988095238095,0.974453125,1178
110,0,2,0,-13.738333333333333,0.97421875,1183
111,0,2,0,-15.136666666666667,0.973984375,1189
112,0,3,0,-11.913333333333334,0.97375,1194
113,0,4,0,-7.851666666666667,0.973515625,1199
114,0,3,0,-14.665119047619047,0.97328125,1210
115,0,3,0,-14.532142857142857,0.973046875,1220
116,0,3,0,-14.631309523809524,0.9728125,1230
117,0,3,0,-19.578809523809525,0.972578125,1242
118,0,3,0,-14.603809523809524,0.97234375,1249
119,0,3,0,-13.535714285714286,0.972109375,1258
120,0,4,0,-8.903333333333332,0.971875,1263
121,0,3,0,-15.332142857142857,0.971640625,1273
122,0,3,0,-11.803333333333333,0.97140625,1278
123,0,3,0,-11.857142857142858,0.971171875,1289
124,0,2,0,-18.613809523809522,0.9709375,1299
125,0,2,0,-16.833214285714284,0.970703125,1312
126,0,4,0,-19.557142857142857,0.97046875,1328
127,0,2,0,-13.651666666666667,0.970234375,1333
128,0,2,0,-16.42738095238095,0.97,1347
129,0,4,0,-18.642142857142858,0.969765625,1364
130,0,3,0,-14.092142857142857,0.96953125,1373
131,0,2,0,-15.556309523809523,0.969296875,1383
132,0,5,0,-26.301071428571426,0.9690625,1408
133,0,3,0,-12.6,0.968828125,1414
134,0,4,0,-9.852380952380951,0.96859375,1421
135,0,2,0,-17.494642857142857,0.968359375,1431
136,0,3,0,-11.531666666666666,0.968125,1437
137,0,2,0,-13.413333333333334,0.967890625,1442
138,0,2,0,-15.363809523809524,0.96765625,1450
139,0,3,0,-28.829642857142858,0.967421875,1477
140,0,5,0,-12.267619047619048,0.9671875,1489
141,0,4,0,-11.113571428571428,0.966953125,1496
142,0,2,0,-14.098333333333333,0.96671875,1501
143,0,4,0,-9.098333333333333,0.966484375,1506
144,0,1,0,-16.758809523809525,0.96625,1513
145,0,1,0,-26.815119047619046,0.966015625,1533
146,0,2,0,-16.717142857142857,0.96578125,1541
147,0,4,0,-28.63214285714286,0.965546875,1569
148,0,4,0,-30.73214285714286,0.9653125,1593
149,0,3,0,-13.192142857142857,0.965078125,1602
150,0,2,0,-12.751666666666667,0.96484375,1607
151,0,2,0,-13.542142857142856,0.964609375,1614
152,0,3,0,-10.95,0.964375,1620
153,0,2,0,-12.507142857142856,0.964140625,1627
154,0,2,0,-13.035714285714285,0.96390625,1634
155,0,2,0,-24.682142857142857,0.963671875,1654
156,0,3,0,-14.968809523809524,0.9634375,1662
157,0,4,0,-18.40714285714286,0.963203125,1678
158,0,2,0,-12.621666666666666,0.96296875,1684
159,0,2,0,-15.207142857142857,0.962734375,1691
160,0,3,0,-11.75,0.9625,1697
161,0,3,0,-10.751666666666665,0.962265625,1702
162,0,3,0,-16.343809523809526,0.96203125,1711
