episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon,buffer_size
0,0,3,0,-16.019642857142856,1.0,9
1,0,3,0,-18.429642857142856,0.9940625,23
2,0,4,0,-9.998333333333331,0.988125,28
3,0,4,0,-10.346666666666668,0.9821875,34
4,0,2,0,-13.098333333333333,0.97625,39
5,0,2,0,-18.092142857142857,0.9703125,48
6,0,2,0,-15.207142857142857,0.964375,55
7,0,2,0,-19.377142857142857,0.9584375,66
8,0,3,0,-17.607142857142858,0.9525,77
9,0,4,0,-8.198333333333332,0.9465625,82
10,0,4,0,-19.90714285714286,0.940625,99
11,0,2,0,-16.818809523809524,0.9346875,112
12,0,3,0,-16.019642857142856,0.92875,121
13,0,4,0,-9.803333333333333,0.9228125,126
14,0,4,0,-27.562619047619044,0.916875,151
15,0,3,0,-11.651666666666667,0.9109375,156
16,0,0,0,-25.046309523809526,0.905,170
17,0,3,0,-10.198333333333334,0.8990625,175
18,0,3,0,-15.979642857142858,0.893125,186
19,0,3,0,-17.693809523809524,0.8871875,199
20,0,3,0,-13.129642857142859,0.88125,208
21,0,3,0,-10.850000000000001,0.8753125,214
22,0,2,0,-15.246666666666666,0.869375,220
23,0,3,0,-12.091666666666665,0.8634375000000001,226
24,0,1,0,-17.308214285714286,0.8575,234
25,0,5,0,-20.579880952380954,0.8515625,256
26,0,3,0,-25.538571428571426,0.8456250000000001,273
27,0,2,0,-19.243809523809524,0.8396875,282
28,0,2,0,-12.85,0.83375,288
29,0,4,0,-9.651666666666667,0.8278125000000001,293
30,0,2,0,-15.342142857142857,0.821875,300
31,0,4,0,-8.903333333333332,0.8159375,305
32,0,3,0,-21.632142857142856,0.81,323
33,0,2,0,-12.631666666666666,0.8040625,329
34,0,4,0,-19.976071428571423,0.798125,343
35,0,3,0,-16.456309523809523,0.7921875,354
36,0,2,0,-15.207142857142857,0.78625,361
37,0,2,0,-16.263809523809524,0.7803125,372
38,0,3,0,-11.013333333333334,0.774375,377
39,0,4,0,-10.236666666666666,0.7684375,383
40,0,3,0,-21.892142857142858,0.7625,398
41,0,4,0,-16.086071428571426,0.7565625,408
42,0,2,0,-15.057380952380953,0.750625,415
43,0,4,0,-11.760714285714286,0.7446875,424
44,0,3,0,-11.542142857142856,0.73875,431
45,0,4,0,-11.594642857142857,0.7328125000000001,441
46,0,3,0,-10.903333333333332,0.726875,446
47,0,2,0,-42.80464285714286,0.7209375,484
48,0,4,0,-13.436071428571427,0.7150000000000001,492
49,0,2,0,-18.718809523809526,0.7090624999999999,502
50,0,1,0,-16.307142857142857,0.703125,509
51,0,2,0,-26.35130952380952,0.6971875000000001,533
52,0,3,0,-14.567142857142857,0.69125,544
53,0,3,0,-12.098333333333333,0.6853125,549
54,0,4,0,-9.998333333333331,0.6793750000000001,554
55,0,2,0,-14.957142857142857,0.6734375,563
56,0,1,0,-19.192142857142855,0.6675,572
57,0,4,0,-10.385119047619048,0.6615625,582
58,0,2,0,-24.534880952380952,0.655625,608
59,0,5,0,-7.3098809523809525,0.6496875,616
60,0,2,0,-13.757142857142856,0.64375,627
61,0,3,0,-17.182142857142857,0.6378125000000001,639
62,0,3,0,-17.217142857142854,0.631875,652
63,0,3,0,-15.627380952380951,0.6259375,671
64,0,2,0,-20.13380952380952,0.62,683
65,0,3,0,-25.217142857142857,0.6140625,707
66,0,3,0,-10.05,0.608125,713
67,0,2,0,-21.682142857142857,0.6021875,729
68,0,3,0,-25.502380952380953,0.59625,761
69,0,3,0,-11.852380952380951,0.5903125,768
70,0,1,0,-20.417142857142856,0.5843750000000001,780
71,0,5,0,-7.544880952380952,0.5784375,791
72,0,5,0,-27.254642857142862,0.5725,825
73,0,3,0,-18.628809523809522,0.5665625000000001,839
74,0,1,0,-12.606666666666666,0.5606249999999999,845
75,0,2,0,-19.744642857142857,0.5546875,865
76,0,4,0,-35.08214285714286,0.5487500000000001,917
77,0,2,0,-21.75345238095238,0.5428125,939
78,0,2,0,-16.807142857142857,0.536875,950
79,0,6,0,-26.657142857142855,0.5309375000000001,983
80,0,3,0,-13.232142857142856,0.525,997
81,0,3,0,-13.207142857142857,0.5190625,1004
82,0,1,0,-13.075,0.513125,1010
83,0,2,0,-14.992142857142857,0.5071874999999999,1023
84,0,3,0,-31.878452380952385,0.50125,1055
85,0,3,0,-22.207142857142856,0.49531250000000004,1087
86,0,2,0,-23.80988095238095,0.489375,1117
87,0,3,0,-20.142142857142854,0.4834375000000001,1140
88,0,3,0,-16.557142857142857,0.47750000000000004,1153
89,0,2,0,-20.617619047619044,0.4715625,1172
90,0,4,0,-13.894642857142857,0.46562500000000007,1187
91,0,3,0,-12.967380952380953,0.4596875,1199
92,0,4,0,-10.803809523809523,0.4537500000000001,1206
93,0,3,0,-14.482142857142858,0.44781249999999995,1220
94,0,3,0,-11.532142857142857,0.441875,1230
