episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,1,0,-15.516666666666666,1.0
1,0,3,0,-18.569880952380952,0.9998515625
2,0,4,0,-11.619642857142857,0.999703125
3,2,5,0,-19.09571428571428,0.9995546875
4,0,4,0,-19.729642857142856,0.99940625
5,0,2,0,-20.782142857142855,0.9992578125
6,0,3,0,-14.558809523809522,0.999109375
7,0,3,0,-11.960714285714285,0.9989609375
8,0,2,0,-20.369642857142857,0.9988125
9,0,1,0,-13.738333333333333,0.9986640625
10,0,4,0,-10.346666666666668,0.998515625
11,0,3,0,-12.532380952380953,0.9983671875
12,0,3,0,-13.442142857142857,0.99821875
13,0,3,0,-11.191666666666666,0.9980703125
14,0,3,0,-16.28214285714286,0.997921875
15,0,4,0,-10.098333333333333,0.9977734375
16,0,4,0,-14.063809523809523,0.997625
17,0,2,0,-28.088571428571427,0.9974765625
18,0,2,0,-13.542142857142856,0.997328125
19,0,2,0,-16.96964285714286,0.9971796875
20,0,3,0,-11.651666666666667,0.99703125
21,0,3,0,-16.063809523809525,0.9968828125
22,0,4,0,-21.72488095238095,0.996734375
23,0,2,0,-19.932142857142857,0.9965859375
24,0,3,0,-16.174880952380953,0.9964375
25,0,2,0,-19.742142857142856,0.9962890625
26,0,3,0,-16.019642857142856,0.996140625
27,0,3,0,-40.041309523809524,0.9959921875
28,0,2,0,-19.10214285714286,0.99584375
29,0,3,0,-10.298333333333332,0.9956953125
30,0,3,0,-11.651666666666667,0.995546875
31,0,4,0,-18.478809523809524,0.9953984375
32,0,2,0,-19.303809523809523,0.99525
33,0,2,0,-15.044642857142858,0.9951015625
34,0,2,0,-18.75880952380952,0.994953125
35,0,2,0,-17.54738095238095,0.9948046875
36,0,3,0,-12.236666666666666,0.99465625
37,0,2,0,-25.228809523809524,0.9945078125
38,0,3,0,-15.704642857142856,0.994359375
39,0,2,0,-21.357142857142858,0.9942109375
40,0,3,0,-16.236071428571428,0.9940625
41,0,1,0,-16.042142857142856,0.9939140625
42,0,2,0,-29.967142857142857,0.993765625
43,0,3,0,-18.03857142857143,0.9936171875
44,0,4,0,-9.198333333333332,0.99346875
45,0,4,0,-10.582142857142857,0.9933203125
46,0,4,0,-9.651666666666667,0.993171875
47,0,3,0,-10.95,0.9930234375
48,0,3,0,-8.852380952380953,0.992875
49,0,3,0,-10.411666666666667,0.9927265625
50,0,4,0,-8.782142857142857,0.992578125
51,0,3,0,-12.098333333333333,0.9924296875
52,0,3,0,-16.477380952380955,0.99228125
53,0,3,0,-17.40714285714286,0.9921328125
54,0,3,0,-11.75,0.991984375
55,0,3,0,-12.442142857142857,0.9918359375
56,0,5,0,-21.61071428571428,0.9916875
57,0,1,0,-34.51714285714286,0.9915390625
58,0,4,0,-18.126071428571425,0.991390625
59,0,1,0,-18.477142857142855,0.9912421875
60,0,2,0,-12.511666666666667,0.99109375
61,0,4,0,-11.157142857142857,0.9909453125
62,0,2,0,-18.56380952380952,0.990796875
63,0,3,0,-21.869642857142857,0.9906484375
64,0,3,0,-13.927380952380952,0.9905
65,0,4,0,-9.651666666666667,0.9903515625
66,0,2,0,-22.666309523809524,0.990203125
67,0,2,0,-15.72154761904762,0.9900546875
68,0,2,0,-16.688809523809525,0.98990625
69,0,2,0,-14.346666666666668,0.9897578125
70,0,4,0,-10.236666666666666,0.989609375
71,0,2,0,-16.837142857142858,0.9894609375
72,0,2,0,-23.36738095238095,0.9893125
73,0,3,0,-11.803333333333333,0.9891640625
74,0,3,0,-12.75,0.989015625
75,0,3,0,-9.706666666666667,0.9888671875
76,0,3,0,-22.669642857142858,0.98871875
77,0,4,0,-11.817142857142857,0.9885703125
78,0,1,0,-14.95,0.988421875
79,0,3,0,-15.619642857142857,0.9882734375
80,0,3,0,-12.998333333333331,0.988125
81,0,2,0,-20.357142857142858,0.9879765625
82,0,2,0,-15.142380952380952,0.9878281250000001
83,0,3,0,-13.09095238095238,0.9876796875
84,0,2,0,-18.343809523809526,0.98753125
85,0,3,0,-15.443809523809524,0.9873828125
86,0,2,0,-20.298214285714288,0.987234375
87,0,2,0,-18.063809523809525,0.9870859375
88,0,1,0,-15.443333333333333,0.9869375
89,0,3,0,-16.607142857142858,0.9867890625
90,0,2,0,-14.917142857142858,0.986640625
91,0,3,0,-25.360714285714288,0.9864921875
92,0,2,0,-19.356309523809525,0.98634375
93,0,4,0,-11.519047619047619,0.9861953125
94,0,1,0,-19.57880952380952,0.986046875
95,0,2,0,-11.95,0.9858984375
96,0,2,0,-14.207142857142857,0.98575
97,0,2,0,-21.068809523809524,0.9856015625
98,0,2,0,-25.77964285714286,0.985453125
99,0,3,0,-11.198333333333334,0.9853046875
100,0,2,0,-18.17964285714286,0.98515625
101,0,3,0,-13.5,0.9850078125
102,0,2,0,-14.817142857142857,0.984859375
103,0,2,0,-16.107142857142858,0.9847109375
104,0,3,0,-13.207142857142857,0.9845625
105,0,2,0,-17.553809523809523,0.9844140625
106,0,2,0,-18.19464285714286,0.984265625
107,0,3,0,-24.694642857142856,0.9841171875
108,0,1,0,-26.48214285714286,0.98396875
109,0,2,0,-13.364642857142858,0.9838203125
110,0,3,0,-12.098333333333333,0.983671875
111,0,4,0,-26.695714285714285,0.9835234375
112,0,2,0,-13.642142857142858,0.983375
113,0,3,0,-11.098333333333333,0.9832265625
114,0,5,0,-7.908214285714285,0.983078125
115,0,4,0,-10.098333333333331,0.9829296875
116,0,3,0,-16.66880952380952,0.98278125
117,0,2,0,-22.197142857142858,0.9826328125
118,0,3,0,-14.957142857142857,0.982484375
119,0,2,0,-14.431666666666667,0.9823359375
120,0,2,0,-24.53404761904762,0.9821875
121,0,3,0,-10.198333333333334,0.9820390625
122,0,4,0,-18.185714285714283,0.981890625
123,0,3,0,-14.399999999999999,0.9817421875
124,0,3,0,-21.382142857142856,0.98159375
125,0,3,0,-32.332142857142856,0.9814453125
126,0,3,0,-18.388809523809524,0.981296875
127,0,1,0,-33.79464285714286,0.9811484375
128,0,4,0,-12.714880952380952,0.981
129,0,3,0,-15.292142857142856,0.9808515625
130,0,3,0,-11.998333333333331,0.980703125
131,0,2,0,-15.772142857142857,0.9805546875
132,0,2,0,-40.19571428571429,0.98040625
133,0,1,0,-35.34654761904762,0.9802578125
134,0,2,0,-13.642142857142858,0.980109375
135,0,2,0,-20.443571428571428,0.9799609375
136,0,2,0,-22.94464285714286,0.9798125
137,0,4,0,-18.843214285714282,0.9796640625
138,0,3,0,-15.282142857142855,0.979515625
139,0,3,0,-12.098333333333333,0.9793671875
140,0,0,0,-17.077142857142857,0.97921875
141,0,2,0,-15.136666666666667,0.9790703125
142,0,3,0,-40.15904761904762,0.978921875
143,0,2,0,-13.651666666666667,0.9787734375
144,0,3,0,-17.232142857142858,0.978625
145,0,3,0,-13.482142857142858,0.9784765625
146,0,3,0,-11.606666666666666,0.978328125
147,0,2,0,-12.751666666666665,0.9781796875
148,0,3,0,-11.702380952380953,0.97803125
149,0,1,0,-16.277142857142856,0.9778828125
150,0,1,0,-34.891309523809525,0.977734375
151,0,4,0,-8.751666666666665,0.9775859375
152,0,2,0,-18.243809523809524,0.9774375
153,0,2,0,-15.582142857142857,0.9772890625
154,0,3,0,-19.994642857142857,0.977140625
155,0,2,0,-17.553809523809523,0.9769921875
156,0,2,0,-14.803809523809523,0.97684375
157,0,2,0,-24.85464285714286,0.9766953125
158,0,2,0,-14.117142857142857,0.976546875
159,0,5,0,-24.176309523809522,0.9763984375
160,0,3,0,-11.803333333333333,0.97625
161,0,3,0,-18.704642857142858,0.9761015625
162,0,1,0,-18.107142857142858,0.975953125
163,0,4,0,-23.894642857142856,0.9758046875
164,0,2,0,-12.653333333333332,0.97565625
165,0,2,0,-15.968809523809524,0.9755078125
166,0,4,0,-11.5,0.975359375
167,0,3,0,-13.136666666666667,0.9752109375
168,0,2,0,-29.647380952380953,0.9750625
169,0,3,0,-14.82738095238095,0.9749140625
170,0,2,0,-14.416666666666668,0.974765625
171,0,4,0,-20.632142857142856,0.9746171875
172,0,4,0,-16.242142857142856,0.97446875
173,0,4,0,-10.402380952380952,0.9743203125
174,0,4,0,-27.423214285714288,0.974171875
175,0,3,0,-24.291309523809524,0.9740234375
176,0,3,0,-13.703809523809525,0.973875
177,0,3,0,-10.706666666666667,0.9737265625
178,0,3,0,-20.593809523809526,0.973578125
179,0,3,0,-11.600000000000001,0.9734296875
180,0,3,0,-15.113809523809524,0.97328125
181,0,3,0,-12.888809523809524,0.9731328125
182,0,3,0,-14.107142857142858,0.972984375
183,0,2,0,-16.582142857142856,0.9728359375
184,0,4,0,-9.651666666666667,0.9726875
185,0,3,0,-14.172380952380951,0.9725390625
186,0,4,0,-11.399999999999999,0.972390625
187,0,3,0,-20.818809523809524,0.9722421875
188,0,4,0,-12.202380952380953,0.97209375
189,0,1,0,-17.037142857142857,0.9719453125
190,0,3,0,-13.442142857142857,0.971796875
191,0,3,0,-15.163809523809524,0.9716484375
192,0,4,0,-9.651666666666667,0.9715
193,0,2,0,-13.410714285714285,0.9713515625
194,0,2,0,-14.871666666666666,0.971203125
195,0,3,0,-11.542142857142858,0.9710546875
196,0,2,0,-13.75,0.97090625
197,0,2,0,-25.77880952380952,0.9707578125
198,0,4,0,-11.817142857142857,0.970609375
199,0,3,0,-17.579642857142858,0.9704609375
200,0,2,0,-21.354642857142853,0.9703125
201,0,1,0,-23.432142857142857,0.9701640625
202,0,4,0,-7.851666666666667,0.970015625
203,0,2,0,-15.682142857142857,0.9698671875
204,0,3,0,-14.667142857142856,0.96971875
205,0,4,0,-18.010714285714286,0.9695703125
206,0,3,0,-14.263809523809524,0.969421875
207,0,2,0,-13.651666666666667,0.9692734375000001
208,0,3,0,-23.32880952380952,0.969125
209,0,5,0,-10.447380952380952,0.9689765625
210,0,3,0,-12.346666666666668,0.968828125
211,0,3,0,-30.031309523809526,0.9686796875
212,0,2,0,-14.75,0.96853125
213,0,5,0,-9.478452380952382,0.9683828125
214,0,3,0,-16.02880952380952,0.968234375
215,0,2,0,-17.227380952380955,0.9680859375
216,0,3,0,-12.442142857142857,0.9679375
217,0,1,0,-16.674999999999997,0.9677890625
218,0,3,0,-13.316666666666666,0.967640625
219,0,4,0,-9.651666666666667,0.9674921875
220,0,3,0,-36.31964285714287,0.96734375
221,0,1,0,-18.756071428571428,0.9671953125
