episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,3,0,-10.989880952380952,1.0
1,0,2,0,-13.927380952380952,0.9998515625
2,0,1,0,-19.213809523809523,0.999703125
3,0,3,0,-20.088809523809523,0.9995546875
4,0,4,0,-8.799999999999999,0.99940625
5,0,4,0,-8.436666666666667,0.9992578125
6,0,3,0,-19.156309523809526,0.999109375
7,0,3,0,-12.191666666666666,0.9989609375
8,0,2,0,-15.363809523809524,0.9988125
9,0,2,0,-23.707142857142856,0.9986640625
10,0,5,0,-15.830119047619041,0.998515625
11,0,3,0,-12.917142857142858,0.9983671875
12,0,3,0,-11.85,0.99821875
13,0,3,0,-11.85,0.9980703125
14,0,3,0,-14.482142857142858,0.997921875
15,0,4,0,-9.803333333333333,0.9977734375
16,0,6,0,-33.33571428571429,0.997625
17,0,2,0,-13.067142857142857,0.9974765625
18,0,2,0,-15.917142857142858,0.997328125
19,0,4,0,-23.237380952380953,0.9971796875
20,0,3,0,-24.828809523809525,0.99703125
21,0,4,0,-12.399999999999999,0.9968828125
22,0,2,0,-18.937142857142856,0.996734375
23,0,4,0,-23.538809523809526,0.9965859375
24,0,3,0,-10.751666666666667,0.9964375
25,0,3,0,-14.553809523809523,0.9962890625
26,0,4,0,-11.331666666666667,0.996140625
27,0,2,0,-14.098333333333333,0.9959921875
28,0,4,0,-8.546666666666667,0.99584375
29,0,2,0,-13.738333333333333,0.9956953125
30,0,3,0,-10.903333333333332,0.995546875
31,0,4,0,-12.263809523809524,0.9953984375
32,0,2,0,-15.559642857142858,0.99525
33,0,6,0,-23.779642857142854,0.9951015625
34,0,4,0,-14.467142857142857,0.994953125
35,0,2,0,-13.75,0.9948046875
36,0,3,0,-13.817142857142857,0.99465625
37,0,2,0,-16.007380952380952,0.9945078125
38,0,3,0,-15.868809523809524,0.994359375
39,0,1,0,-15.317142857142855,0.9942109375
40,0,3,0,-16.40904761904762,0.9940625
41,0,1,0,-17.207142857142856,0.9939140625
42,0,2,0,-13.606666666666666,0.993765625
43,0,3,0,-17.193809523809524,0.9936171875
44,0,3,0,-16.104642857142856,0.99346875
45,0,3,0,-19.332142857142856,0.9933203125
46,0,4,0,-16.629642857142855,0.993171875
47,0,2,0,-13.443333333333335,0.9930234375
48,0,4,0,-34.54464285714286,0.992875
49,0,4,0,-21.146547619047617,0.9927265625
50,0,3,0,-11.898333333333333,0.992578125
51,0,2,0,-17.707142857142856,0.9924296875
52,0,3,0,-17.281071428571426,0.99228125
53,0,4,0,-8.307142857142857,0.9921328125
54,0,2,0,-23.63857142857143,0.991984375
55,0,3,0,-11.198333333333334,0.9918359375
56,0,2,0,-23.707142857142856,0.9916875
57,0,3,0,-12.998333333333331,0.9915390625
58,0,2,0,-14.442142857142857,0.991390625
59,0,4,0,-13.813571428571429,0.9912421875
60,0,3,0,-11.651666666666667,0.99109375
61,0,4,0,-11.136666666666667,0.9909453125
62,0,3,0,-11.307142857142857,0.990796875
63,0,3,0,-13.004642857142857,0.9906484375
64,0,4,0,-25.689880952380953,0.9905
65,0,2,0,-25.538809523809523,0.9903515625
66,0,3,0,-11.7,0.990203125
67,0,2,0,-16.057142857142857,0.9900546875
68,0,4,0,-16.203809523809525,0.98990625
69,0,3,0,-11.898333333333333,0.9897578125
70,0,2,0,-25.397142857142853,0.989609375
71,0,2,0,-25.219642857142855,0.9894609375
72,0,1,0,-19.95380952380952,0.9893125
73,0,3,0,-12.098333333333333,0.9891640625
74,0,3,0,-21.381309523809524,0.989015625
75,0,6,0,-9.88154761904762,0.9888671875
76,0,3,0,-32.71964285714286,0.98871875
77,0,2,0,-23.169642857142858,0.9885703125
78,0,3,0,-19.432142857142857,0.988421875
79,0,5,0,-28.752380952380953,0.9882734375
80,0,3,0,-12.75,0.988125
81,0,4,0,-12.192142857142857,0.9879765625
82,0,4,0,-11.703809523809523,0.9878281250000001
83,0,3,0,-10.751666666666667,0.9876796875
84,0,3,0,-13.788809523809524,0.98753125
85,0,2,0,-19.619642857142857,0.9873828125
86,0,3,0,-20.235714285714288,0.987234375
87,0,2,0,-40.46964285714286,0.9870859375
88,0,2,0,-23.717142857142857,0.9869375
89,0,2,0,-12.903333333333332,0.9867890625
90,0,3,0,-19.40714285714286,0.986640625
91,0,4,0,-10.998333333333331,0.9864921875
92,0,3,0,-16.892142857142858,0.98634375
93,0,3,0,-16.828809523809525,0.9861953125
94,1,5,0,-34.969642857142865,0.986046875
95,0,3,0,-15.292142857142856,0.9858984375
96,0,2,0,-18.557142857142857,0.98575
97,0,2,0,-17.928809523809523,0.9856015625
98,0,6,0,-20.29714285714286,0.985453125
99,0,2,0,-14.679642857142857,0.9853046875
100,0,1,0,-19.287142857142854,0.98515625
101,0,2,0,-19.764047619047616,0.9850078125
102,0,1,0,-14.774999999999999,0.984859375
103,0,3,0,-16.932142857142857,0.9847109375
104,0,4,0,-8.903333333333332,0.9845625
105,0,2,0,-13.038333333333334,0.9844140625
106,0,3,0,-14.443809523809524,0.984265625
107,0,3,0,-9.777142857142856,0.9841171875
108,0,3,0,-14.994642857142857,0.98396875
109,0,3,0,-10.521666666666667,0.9838203125
110,0,4,0,-10.998333333333331,0.983671875
111,0,3,0,-12.017142857142858,0.9835234375
112,0,2,0,-14.310714285714285,0.983375
113,0,5,0,-20.91464285714285,0.9832265625
114,0,2,0,-13.75,0.983078125
115,0,4,0,-10.098333333333333,0.9829296875
116,0,6,0,-10.408214285714285,0.98278125
117,0,1,0,-14.817142857142857,0.9826328125
118,0,3,0,-12.827142857142857,0.982484375
119,0,3,0,-10.85,0.9823359375
120,0,3,0,-28.567142857142862,0.9821875
121,0,3,0,-25.129642857142855,0.9820390625
122,0,3,0,-12.682142857142857,0.981890625
123,0,2,0,-23.267142857142858,0.9817421875
124,0,4,0,-12.603809523809524,0.98159375
125,0,2,0,-14.242380952380952,0.9814453125
126,1,7,0,-27.284880952380938,0.981296875
127,0,3,0,-11.307142857142857,0.9811484375
128,0,3,0,-17.837142857142855,0.981
129,0,4,0,-17.432142857142857,0.9808515625
130,0,3,0,-16.19214285714286,0.980703125
131,0,2,0,-18.079880952380954,0.9805546875
132,0,2,0,-12.971666666666668,0.98040625
133,0,4,0,-10.057142857142857,0.9802578125
134,0,4,0,-11.913571428571428,0.980109375
135,0,2,0,-18.913809523809526,0.9799609375
136,0,3,0,-19.757142857142856,0.9798125
137,0,5,0,-38.99380952380953,0.9796640625
138,0,3,0,-11.198333333333334,0.979515625
139,0,2,0,-16.149642857142855,0.9793671875
140,0,2,0,-15.653809523809523,0.97921875
141,0,2,0,-13.307142857142857,0.9790703125
142,0,3,0,-12.236666666666666,0.978921875
