episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,1,0,0,-22.386309523809523,1.0
1,0,0,0,-16.833333333333332,0.9997625
2,2,0,0,-27.305952380952377,0.999525
3,0,0,0,-22.819047619047616,0.9992875
4,1,0,0,-14.716666666666667,0.99905
5,0,0,0,-16.656547619047615,0.9988125
6,0,0,0,-23.90714285714285,0.998575
7,0,0,0,-12.832142857142856,0.9983375
8,0,0,0,-19.78214285714286,0.9981
9,2,0,0,-18.444642857142856,0.9978625
10,1,0,0,-18.375,0.997625
11,1,0,0,-15.910119047619046,0.9973875
12,0,0,0,-17.36488095238095,0.99715
13,2,0,0,-27.185119047619043,0.9969125
14,1,0,0,-17.332142857142856,0.996675
15,0,0,0,-18.614880952380947,0.9964375
16,2,0,0,-15.489285714285714,0.9962
17,0,0,0,-12.416666666666666,0.9959625
18,2,0,0,-15.933333333333334,0.995725
19,1,0,0,-19.14464285714286,0.9954875
20,1,0,0,-18.785119047619045,0.99525
21,1,0,0,-14.5,0.9950125
22,0,0,0,-20.90357142857143,0.994775
23,0,0,0,-15.466666666666665,0.9945375
24,1,0,0,-34.982142857142854,0.9943
25,1,0,0,-14.766666666666666,0.9940625
26,1,0,0,-16.358333333333334,0.993825
27,0,0,0,-14.758333333333333,0.9935875
28,0,0,0,-17.869642857142853,0.99335
29,1,0,0,-37.41071428571427,0.9931125
30,1,0,0,-11.108333333333334,0.992875
31,0,0,0,-17.84880952380952,0.9926375
32,1,0,0,-19.064880952380946,0.9924
33,2,0,0,-16.886309523809523,0.9921625
34,1,0,0,-17.725,0.991925
35,1,0,0,-17.607142857142854,0.9916875
36,1,0,0,-18.498809523809523,0.99145
37,4,0,0,-20.047619047619047,0.9912125
38,2,0,0,-13.23392857142857,0.990975
39,2,0,0,-21.59404761904762,0.9907375
40,0,0,0,-13.6,0.9905
41,0,0,0,-12.583333333333332,0.9902625
42,1,0,0,-15.610714285714284,0.990025
43,1,0,0,-17.748809523809523,0.9897875
44,0,0,0,-16.726190476190474,0.98955
45,1,0,0,-17.76845238095238,0.9893125
46,1,0,0,-16.497619047619047,0.989075
47,0,0,0,-17.9,0.9888375
48,0,0,0,-16.898809523809522,0.9886
49,2,0,0,-20.823809523809523,0.9883625
50,2,0,0,-20.75595238095238,0.988125
51,1,0,0,-13.816666666666666,0.9878875
52,2,0,0,-29.37380952380952,0.98765
53,0,0,0,-15.082142857142857,0.9874125
54,1,0,0,-17.982142857142854,0.987175
55,1,0,0,-17.316666666666666,0.9869375
56,2,0,0,-21.764880952380953,0.9867
57,1,0,0,-17.57261904761905,0.9864625
58,0,0,0,-16.725,0.986225
59,2,0,0,-13.835119047619047,0.9859875
60,0,0,0,-18.235119047619047,0.98575
61,0,0,0,-16.616666666666667,0.9855125
62,1,0,0,-17.258333333333333,0.985275
63,3,0,0,-17.46964285714285,0.9850375
64,3,0,0,-27.10714285714286,0.9848
65,0,0,0,-17.228571428571428,0.9845625
66,0,0,0,-18.107142857142854,0.984325
67,0,0,0,-22.919642857142854,0.9840875
68,1,0,0,-20.707142857142856,0.98385
69,7,0,0,-31.552380952380943,0.9836125
70,4,0,0,-20.477380952380955,0.983375
71,2,0,0,-16.92738095238095,0.9831375
72,0,0,0,-15.908333333333333,0.9829
73,0,0,0,-13.582142857142857,0.9826625
74,0,0,0,-23.48214285714286,0.982425
75,1,0,0,-16.008333333333333,0.9821875
76,1,0,0,-13.0,0.98195
77,1,0,0,-19.997619047619047,0.9817125
78,3,0,0,-28.88988095238095,0.981475
79,3,0,0,-43.660119047619034,0.9812375
80,1,0,0,-15.016666666666666,0.981
81,0,0,0,-18.373809523809523,0.9807625
82,0,0,0,-12.466666666666665,0.980525
83,0,0,0,-21.511309523809523,0.9802875
84,0,0,0,-17.632142857142856,0.98005
85,1,0,0,-17.819642857142856,0.9798125
86,1,0,0,-15.666666666666666,0.979575
87,1,0,0,-30.444642857142853,0.9793375
88,0,0,0,-23.916071428571428,0.9791
89,3,0,0,-13.251190476190475,0.9788625
90,0,0,0,-32.75714285714285,0.978625
91,1,0,0,-17.811309523809523,0.9783875
92,1,0,0,-17.988690476190474,0.97815
93,0,0,0,-16.626785714285713,0.9779125
94,1,0,0,-14.902380952380952,0.977675
95,1,0,0,-20.607142857142854,0.9774375
96,2,0,0,-11.683333333333334,0.9772
97,1,0,0,-21.044642857142858,0.9769625
98,2,0,0,-13.852380952380951,0.976725
99,1,0,0,-14.75,0.9764875
100,1,0,0,-15.816666666666666,0.97625
101,0,0,0,-27.644642857142863,0.9760125
102,0,0,0,-22.253571428571426,0.9757750000000001
103,0,0,0,-30.33630952380952,0.9755375
104,0,0,0,-17.791071428571428,0.9753000000000001
105,1,0,0,-20.257142857142856,0.9750625
106,1,0,0,-14.807142857142855,0.974825
107,1,0,0,-16.475,0.9745875
108,0,0,0,-11.966666666666667,0.97435
109,0,0,0,-15.016666666666666,0.9741125
110,1,0,0,-22.141071428571426,0.973875
111,1,0,0,-18.40357142857143,0.9736375
112,2,0,0,-17.285119047619048,0.9734
113,1,0,0,-22.039880952380948,0.9731625
114,2,0,0,-9.297619047619047,0.972925
115,3,0,0,-21.510714285714283,0.9726875
116,0,0,0,-15.716666666666665,0.97245
117,1,0,0,-15.766666666666666,0.9722125
118,1,0,0,-16.033333333333335,0.971975
119,2,0,0,-14.108333333333334,0.9717375
120,1,0,0,-19.14107142857143,0.9715
121,0,0,0,-13.457142857142856,0.9712625
122,1,0,0,-13.816666666666666,0.971025
123,1,0,0,-17.982142857142858,0.9707875
124,0,0,0,-15.939880952380951,0.97055
125,1,0,0,-18.826190476190476,0.9703125
126,2,0,0,-18.127380952380953,0.970075
127,1,0,0,-16.143452380952382,0.9698375
128,1,0,0,-16.833333333333332,0.9696
129,0,0,0,-16.058333333333334,0.9693625
130,1,0,0,-27.510714285714283,0.969125
131,0,0,0,-17.008333333333333,0.9688875
132,0,0,0,-19.948809523809523,0.96865
133,1,0,0,-14.241666666666665,0.9684125
134,1,0,0,-19.432142857142857,0.968175
135,3,0,0,-15.630357142857141,0.9679375
136,3,0,0,-36.16964285714284,0.9677
137,0,0,0,-16.825,0.9674625
138,0,0,0,-18.360119047619047,0.967225
139,0,0,0,-17.607142857142858,0.9669875
140,2,0,0,-13.264880952380953,0.96675
141,1,0,0,-15.789880952380951,0.9665125
142,1,0,0,-17.448809523809523,0.966275
143,0,0,0,-15.503571428571426,0.9660375
144,1,0,0,-19.707142857142852,0.9658
145,1,0,0,-11.489285714285714,0.9655625
146,0,0,0,-23.75357142857143,0.965325
147,1,0,0,-29.423809523809524,0.9650875
148,1,0,0,-16.518452380952375,0.96485
149,1,0,0,-15.322619047619046,0.9646125
150,0,0,0,-27.49880952380952,0.964375
151,0,0,0,-15.833333333333332,0.9641375
152,0,0,0,-13.466666666666665,0.9639
153,1,0,0,-22.59880952380952,0.9636625
154,1,0,0,-19.603571428571428,0.963425
155,1,0,0,-21.057142857142857,0.9631875
156,0,0,0,-19.65238095238095,0.96295
157,1,0,0,-17.422619047619044,0.9627125
158,3,0,0,-12.952380952380953,0.962475
159,0,0,0,-13.0,0.9622375
160,1,0,0,-17.147619047619045,0.962
161,0,0,0,-13.241666666666665,0.9617625
162,4,0,0,-21.15714285714286,0.961525
163,1,0,0,-18.08154761904762,0.9612875
164,2,0,0,-17.064880952380953,0.96105
165,3,0,0,-27.035714285714285,0.9608125
166,0,0,0,-16.88988095238095,0.960575
167,1,0,0,-28.90714285714285,0.9603375
168,0,0,0,-14.416666666666666,0.9601
169,1,0,0,-13.552380952380952,0.9598625
170,0,0,0,-13.916666666666666,0.959625
171,1,0,0,-17.632142857142856,0.9593875
172,0,0,0,-16.15714285714286,0.95915
173,1,0,0,-14.473214285714285,0.9589125000000001
174,2,0,0,-17.573214285714286,0.958675
175,0,0,0,-18.20357142857143,0.9584375
176,3,0,0,-24.180952380952377,0.9582
177,1,0,0,-16.616666666666667,0.9579625
178,1,0,0,-16.916071428571428,0.957725
179,1,0,0,-24.666071428571424,0.9574875
180,0,0,0,-14.5,0.95725
181,2,0,0,-23.505952380952372,0.9570125
182,1,0,0,-17.28214285714286,0.956775
183,2,0,0,-16.648214285714285,0.9565375
184,2,0,0,-23.16130952380952,0.9563
185,4,0,0,-30.54761904761904,0.9560625
186,5,0,0,-43.739880952380936,0.955825
187,1,0,0,-20.732142857142858,0.9555875
188,3,0,0,-24.35714285714285,0.95535
189,0,0,0,-17.68988095238095,0.9551125
190,0,0,0,-17.107142857142854,0.954875
191,0,0,0,-17.09880952380952,0.9546375
192,1,0,0,-27.893452380952382,0.9544
193,0,0,0,-13.616666666666667,0.9541625
194,0,0,0,-21.09880952380952,0.953925
195,0,0,0,-14.224999999999998,0.9536875
196,2,0,0,-29.627380952380953,0.95345
197,1,0,0,-13.833333333333332,0.9532125
198,2,0,0,-33.92261904761905,0.952975
199,1,0,0,-17.598809523809525,0.9527375
200,1,0,0,-21.236309523809524,0.9525
201,1,0,0,-20.164285714285715,0.9522625
202,1,0,0,-16.241666666666667,0.952025
203,0,0,0,-18.275,0.9517875
204,5,0,0,-30.51488095238095,0.95155
205,1,0,0,-14.783333333333333,0.9513125
206,1,0,0,-12.416666666666666,0.951075
207,3,0,0,-13.151190476190473,0.9508375
208,2,0,0,-26.53630952380952,0.9506
209,0,0,0,-16.191666666666666,0.9503625
210,0,0,0,-16.15833333333333,0.950125
211,0,0,0,-19.807142857142857,0.9498875
212,1,0,0,-18.064880952380953,0.94965
213,0,0,0,-15.477380952380951,0.9494125
214,2,0,0,-32.86488095238095,0.949175
215,0,0,0,-15.857142857142858,0.9489375
216,2,0,0,-26.429761904761904,0.9487
217,1,0,0,-20.34880952380952,0.9484625
