episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,3,-27.667142857142856,1.0
1,0,2,-27.893809523809523,0.9940625
2,0,4,-17.744642857142857,0.988125
3,0,4,-9.207142857142857,0.9821875
4,0,4,-11.394880952380952,0.97625
5,0,3,-26.453809523809525,0.9703125
6,0,1,-18.482142857142858,0.964375
7,0,2,-17.332142857142856,0.9584375
8,0,3,-13.207142857142857,0.9525
9,0,2,-12.793333333333333,0.9465625
10,0,2,-16.47654761904762,0.940625
11,0,1,-16.837142857142855,0.9346875
12,0,1,-17.995714285714286,0.92875
13,0,3,-11.307142857142857,0.9228125
14,0,3,-22.467142857142857,0.916875
15,0,2,-33.38988095238095,0.9109375
16,0,3,-11.7,0.905
17,0,2,-23.369642857142857,0.8990625
18,0,4,-10.6,0.893125
19,0,3,-21.079642857142858,0.8871875
20,0,3,-25.170714285714283,0.88125
21,0,3,-11.651666666666667,0.8753125
22,0,4,-16.169642857142858,0.869375
23,0,2,-13.75,0.8634375000000001
24,0,1,-19.65714285714286,0.8575
25,0,3,-11.606666666666666,0.8515625
26,0,4,-14.063809523809523,0.8456250000000001
27,0,2,-20.907142857142855,0.8396875
28,0,2,-15.084880952380953,0.83375
29,0,3,-14.432142857142857,0.8278125000000001
30,0,4,-12.895714285714286,0.821875
31,0,4,-17.963809523809523,0.8159375
32,0,3,-19.979642857142856,0.81
33,0,3,-22.84464285714286,0.8040625
34,0,4,-14.333571428571428,0.798125
35,0,5,-26.28214285714286,0.7921875
36,0,3,-20.067142857142855,0.78625
37,0,3,-11.651666666666667,0.7803125
38,0,2,-24.017142857142858,0.774375
39,0,3,-19.582142857142856,0.7684375
40,0,3,-14.436071428571427,0.7625
41,0,3,-13.342142857142857,0.7565625
42,0,3,-14.482142857142858,0.750625
43,0,2,-17.464880952380952,0.7446875
44,0,3,-10.85,0.73875
45,0,3,-38.910714285714285,0.7328125000000001
46,0,3,-18.36714285714286,0.726875
47,0,4,-28.358809523809523,0.7209375
48,0,1,-26.019642857142856,0.7150000000000001
49,0,3,-25.20380952380952,0.7090624999999999
50,0,2,-17.292142857142856,0.703125
51,0,3,-21.857142857142858,0.6971875000000001
52,0,2,-15.207142857142857,0.69125
53,0,3,-13.219642857142857,0.6853125
54,0,3,-10.348214285714285,0.6793750000000001
55,0,2,-23.644642857142856,0.6734375
56,0,3,-12.098333333333333,0.6675
57,0,4,-10.803809523809525,0.6615625
58,0,3,-17.927142857142854,0.655625
59,0,4,-19.61714285714286,0.6496875
60,0,3,-28.273214285714285,0.64375
61,0,4,-11.057142857142857,0.6378125000000001
62,0,3,-15.857142857142858,0.631875
63,0,4,-13.919642857142856,0.6259375
