episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,5,0,-22.693809523809527,1.0
1,0,3,0,-9.973333333333333,0.9960416666666667
2,0,3,0,-12.236666666666666,0.9920833333333333
3,0,3,0,-19.732142857142858,0.988125
4,0,3,0,-11.651666666666667,0.9841666666666666
5,0,3,0,-13.432380952380953,0.9802083333333333
6,0,3,0,-12.753809523809524,0.97625
7,0,3,0,-12.75,0.9722916666666667
8,0,3,0,-11.013333333333334,0.9683333333333334
9,0,1,0,-24.188571428571425,0.964375
10,0,3,0,-14.968809523809524,0.9604166666666667
11,0,3,0,-15.807142857142857,0.9564583333333333
12,0,4,0,-11.11357142857143,0.9525
13,0,2,0,-18.557142857142857,0.9485416666666666
14,0,2,0,-39.98238095238095,0.9445833333333333
15,0,2,0,-14.058809523809522,0.940625
16,0,4,0,-9.531666666666666,0.9366666666666666
17,0,2,0,-15.694880952380952,0.9327083333333334
18,0,1,0,-15.674999999999999,0.92875
19,0,3,0,-11.651666666666667,0.9247916666666667
20,0,2,0,-15.246666666666666,0.9208333333333334
21,0,2,0,-31.669642857142858,0.916875
22,0,3,0,-35.22238095238095,0.9129166666666667
23,0,2,0,-17.857142857142858,0.9089583333333333
24,0,5,0,-17.717380952380953,0.905
25,0,2,0,-14.542142857142858,0.9010416666666666
26,0,3,0,-10.138333333333334,0.8970833333333333
27,0,3,0,-11.85,0.893125
28,0,3,0,-14.504642857142857,0.8891666666666667
29,0,3,0,-13.152380952380952,0.8852083333333334
30,0,3,0,-28.444642857142856,0.88125
31,0,1,0,-17.98988095238095,0.8772916666666667
32,0,3,0,-12.346666666666668,0.8733333333333333
33,0,3,0,-15.829642857142858,0.869375
34,0,2,0,-17.192142857142855,0.8654166666666667
35,0,2,0,-12.903333333333332,0.8614583333333333
36,0,3,0,-17.279642857142857,0.8575
37,0,2,0,-30.741309523809523,0.8535416666666666
38,0,3,0,-15.163809523809524,0.8495833333333334
39,0,2,0,-12.850000000000001,0.8456250000000001
40,0,3,0,-15.707142857142857,0.8416666666666667
41,0,2,0,-50.41714285714286,0.8377083333333333
42,0,7,0,-13.709642857142857,0.83375
43,0,3,0,-42.31380952380953,0.8297916666666667
44,0,5,0,-34.71488095238095,0.8258333333333334
45,0,2,0,-14.682142857142857,0.821875
46,0,3,0,-15.32345238095238,0.8179166666666666
