episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,2,-24.29214285714286,1.0
1,0,3,-25.913809523809526,0.9998515625
2,0,3,-18.903333333333332,0.999703125
3,0,3,-20.599999999999998,0.9995546875
4,0,3,-20.236666666666665,0.99940625
5,0,2,-31.36738095238095,0.9992578125
6,0,3,-18.85,0.999109375
7,0,2,-24.21964285714286,0.9989609375
8,0,2,-20.474999999999998,0.9988125
9,0,3,-32.19130952380952,0.9986640625
10,0,2,-23.54380952380952,0.998515625
11,0,2,-33.54857142857143,0.9983671875
12,0,3,-22.582142857142856,0.99821875
13,0,3,-22.714880952380952,0.9980703125
14,0,4,-16.95238095238095,0.997921875
15,0,3,-19.75,0.9977734375
16,0,4,-25.33654761904762,0.997625
17,0,3,-25.353809523809524,0.9974765625
18,0,5,-18.036785714285713,0.997328125
19,0,3,-26.81738095238095,0.9971796875
20,0,2,-25.818809523809524,0.99703125
21,0,4,-20.4,0.9968828125
22,0,5,-38.80464285714286,0.996734375
23,0,2,-22.412142857142857,0.9965859375
24,0,2,-21.307142857142857,0.9964375
25,0,4,-20.536071428571425,0.9962890625
26,0,3,-23.292142857142856,0.996140625
27,0,2,-26.520714285714284,0.9959921875
28,0,1,-23.85,0.99584375
29,0,2,-19.98095238095238,0.9956953125
30,0,4,-29.342142857142857,0.995546875
31,0,3,-21.136666666666667,0.9953984375
32,0,3,-54.01964285714286,0.99525
33,0,3,-19.803333333333335,0.9951015625
34,0,2,-25.717142857142857,0.994953125
35,0,2,-23.20714285714286,0.9948046875
36,0,1,-29.45714285714286,0.99465625
37,0,2,-20.391666666666666,0.9945078125
38,0,4,-19.857142857142854,0.994359375
39,0,3,-19.75,0.9942109375
40,0,2,-31.144642857142856,0.9940625
41,0,3,-22.857142857142858,0.9939140625
42,0,2,-24.642142857142858,0.993765625
43,0,2,-31.038809523809526,0.9936171875
44,0,3,-22.4,0.99346875
45,0,3,-21.246666666666666,0.9933203125
46,0,4,-17.99833333333333,0.993171875
47,0,2,-28.357142857142858,0.9930234375
48,0,2,-30.886785714285715,0.992875
49,0,3,-25.203809523809525,0.9927265625
50,0,2,-23.913571428571426,0.992578125
51,0,5,-36.92880952380952,0.9924296875
52,0,2,-29.814880952380953,0.99228125
53,0,3,-23.868809523809524,0.9921328125
54,0,3,-19.013333333333332,0.991984375
55,0,3,-18.903333333333336,0.9918359375
56,0,3,-18.003333333333334,0.9916875
57,0,3,-39.92964285714286,0.9915390625
58,0,2,-24.804642857142856,0.991390625
59,0,4,-21.633214285714285,0.9912421875
60,0,1,-23.674999999999997,0.99109375
61,0,2,-27.388809523809527,0.9909453125
62,0,3,-20.99833333333333,0.990796875
63,0,3,-41.10630952380952,0.9906484375
64,0,1,-23.257380952380952,0.9905
65,0,6,-26.703809523809525,0.9903515625
66,0,1,-27.197142857142854,0.990203125
67,0,2,-48.432142857142864,0.9900546875
68,0,3,-18.85,0.98990625
69,0,3,-25.618809523809524,0.9897578125
70,0,2,-21.606666666666666,0.989609375
71,0,4,-20.013571428571428,0.9894609375
72,0,3,-19.446666666666665,0.9893125
73,0,4,-20.192142857142855,0.9891640625
74,0,4,-34.156309523809526,0.989015625
75,0,2,-25.443809523809524,0.9888671875
76,0,0,-31.626309523809525,0.98871875
77,0,3,-26.03857142857143,0.9885703125
78,0,4,-22.273214285714285,0.988421875
79,0,2,-24.857142857142858,0.9882734375
80,0,4,-37.80714285714286,0.988125
81,0,2,-23.44214285714286,0.9879765625
82,0,2,-23.20714285714286,0.9878281250000001
83,0,2,-21.803333333333335,0.9876796875
84,0,4,-28.613809523809522,0.98753125
85,0,4,-18.99833333333333,0.9873828125
86,0,3,-19.013333333333332,0.987234375
87,0,4,-19.857142857142858,0.9870859375
88,0,3,-20.542142857142856,0.9869375
89,0,3,-46.59464285714286,0.9867890625
90,0,6,-16.009880952380954,0.986640625
91,0,3,-24.858571428571427,0.9864921875
92,0,3,-20.592142857142857,0.98634375
93,0,0,-31.516309523809525,0.9861953125
94,0,6,-34.942142857142855,0.986046875
95,0,3,-27.432142857142857,0.9858984375
96,0,0,-27.952142857142857,0.98575
97,0,2,-21.44333333333333,0.9856015625
98,0,2,-23.20714285714286,0.985453125
99,0,3,-18.903333333333332,0.9853046875
100,0,3,-25.45130952380952,0.98515625
101,0,3,-18.751666666666665,0.9850078125
102,0,3,-21.091666666666665,0.984859375
103,0,4,-39.149880952380954,0.9847109375
104,0,1,-22.775000000000002,0.9845625
105,0,4,-20.688809523809525,0.9844140625
106,0,3,-27.944880952380952,0.984265625
107,0,3,-19.599999999999998,0.9841171875
108,0,0,-22.60595238095238,0.98396875
109,0,3,-21.682142857142857,0.9838203125
110,0,4,-23.758571428571425,0.983671875
111,0,3,-18.706666666666667,0.9835234375
112,0,4,-16.19833333333333,0.983375
113,0,2,-29.716309523809525,0.9832265625
114,0,5,-39.45714285714286,0.983078125
115,0,2,-29.148214285714285,0.9829296875
116,0,2,-21.85,0.98278125
117,0,2,-25.192142857142855,0.9826328125
118,0,3,-17.973333333333333,0.982484375
119,0,1,-24.367142857142856,0.9823359375
120,0,2,-27.369880952380953,0.9821875
121,0,4,-17.599999999999998,0.9820390625
122,0,3,-19.013333333333332,0.981890625
123,0,2,-22.638333333333335,0.9817421875
124,0,3,-21.913571428571426,0.98159375
125,0,2,-23.521547619047617,0.9814453125
126,0,2,-22.098333333333333,0.981296875
127,0,3,-22.717142857142857,0.9811484375
128,0,2,-24.582142857142856,0.981
129,0,1,-25.177142857142858,0.9808515625
130,0,3,-19.75,0.980703125
131,0,2,-24.34214285714286,0.9805546875
132,0,3,-31.014880952380956,0.98040625
133,0,3,-38.36964285714286,0.9802578125
