episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,6,-13.351785714285715,1.0
1,0,3,-11.651666666666667,0.9998515625
2,0,1,-29.557142857142857,0.999703125
3,0,3,-14.582142857142857,0.9995546875
4,0,3,-17.65714285714286,0.99940625
5,0,3,-15.774880952380952,0.9992578125
6,0,7,-24.906309523809522,0.999109375
7,0,3,-18.329642857142858,0.9989609375
8,0,3,-14.907142857142857,0.9988125
9,0,3,-11.803333333333333,0.9986640625
10,0,3,-16.88988095238095,0.998515625
11,0,3,-19.78857142857143,0.9983671875
12,0,3,-10.903333333333332,0.99821875
13,0,2,-17.292142857142856,0.9980703125
14,0,3,-12.098333333333333,0.997921875
15,0,4,-8.751666666666665,0.9977734375
16,0,3,-18.167142857142856,0.997625
17,0,2,-24.29738095238095,0.9974765625
18,0,3,-30.004642857142855,0.997328125
19,0,5,-20.317142857142855,0.9971796875
20,0,2,-33.06071428571428,0.99703125
21,0,4,-17.059047619047618,0.9968828125
22,0,3,-27.07488095238095,0.996734375
23,0,3,-15.707142857142857,0.9965859375
24,0,3,-11.198333333333334,0.9964375
25,0,2,-16.582142857142856,0.9962890625
26,0,1,-20.423214285714288,0.996140625
27,0,2,-14.027142857142856,0.9959921875
28,0,3,-12.236666666666666,0.99584375
29,0,4,-11.788809523809523,0.9956953125
30,0,2,-19.557142857142857,0.995546875
31,0,3,-12.442142857142857,0.9953984375
32,0,3,-19.932142857142857,0.99525
33,0,2,-17.603809523809524,0.9951015625
34,0,1,-18.59464285714286,0.994953125
35,0,3,-16.063809523809525,0.9948046875
36,0,3,-15.482142857142858,0.99465625
37,0,2,-12.433214285714286,0.9945078125
38,0,3,-11.098333333333333,0.994359375
39,0,4,-16.892142857142858,0.9942109375
40,0,7,-24.317142857142855,0.9940625
41,0,1,-17.802142857142854,0.9939140625
42,0,2,-32.75630952380952,0.993765625
43,0,1,-17.22714285714286,0.9936171875
44,0,3,-16.707142857142856,0.99346875
45,0,3,-16.792142857142856,0.9933203125
46,0,1,-16.207142857142856,0.993171875
47,0,3,-14.482142857142858,0.9930234375
48,0,4,-9.803333333333333,0.992875
49,0,4,-14.492380952380952,0.9927265625
50,0,2,-18.236071428571428,0.992578125
51,0,2,-29.84130952380952,0.9924296875
52,0,2,-13.75,0.99228125
53,0,3,-11.198333333333334,0.9921328125
54,0,4,-10.499999999999998,0.991984375
55,0,2,-12.035714285714285,0.9918359375
56,0,3,-11.988809523809524,0.9916875
57,0,2,-20.324642857142855,0.9915390625
58,0,3,-13.352380952380951,0.991390625
59,0,4,-9.7,0.9912421875
60,0,4,-9.531666666666666,0.99109375
61,0,3,-16.092142857142857,0.9909453125
62,0,5,-6.574285714285715,0.990796875
63,0,3,-10.903333333333332,0.9906484375
64,0,3,-12.5,0.9905
65,0,3,-10.903333333333332,0.9903515625
66,0,6,-18.51380952380952,0.990203125
67,0,2,-16.436071428571427,0.9900546875
68,0,3,-29.27357142857143,0.98990625
69,0,4,-26.227380952380955,0.9897578125
70,0,2,-15.918809523809523,0.989609375
71,0,1,-15.738333333333333,0.9894609375
72,0,3,-12.998333333333331,0.9893125
73,0,3,-17.554642857142856,0.9891640625
74,0,3,-12.236666666666666,0.989015625
75,0,3,-12.11357142857143,0.9888671875
76,0,1,-14.903333333333332,0.98871875
77,0,1,-16.117142857142856,0.9885703125
78,0,3,-12.098333333333333,0.988421875
79,0,5,-15.249047619047618,0.9882734375
80,0,2,-15.704642857142858,0.988125
81,0,2,-12.903333333333332,0.9879765625
82,0,4,-9.651666666666667,0.9878281250000001
83,0,3,-10.751666666666667,0.9876796875
84,0,3,-15.019642857142857,0.98753125
85,0,3,-17.354642857142856,0.9873828125
86,0,2,-20.457142857142856,0.987234375
87,0,4,-13.232142857142858,0.9870859375
88,0,2,-12.751666666666667,0.9869375
89,0,4,-22.667142857142856,0.9867890625
90,0,2,-14.471309523809524,0.986640625
91,0,3,-21.007142857142856,0.9864921875
92,0,3,-22.768809523809523,0.98634375
93,0,1,-24.933809523809522,0.9861953125
94,0,4,-10.5,0.986046875
95,0,3,-25.04714285714286,0.9858984375
96,0,3,-15.482142857142858,0.98575
97,0,4,-8.198333333333332,0.9856015625
98,0,2,-15.682142857142857,0.985453125
99,0,3,-11.207142857142857,0.9853046875
100,0,2,-14.307142857142857,0.98515625
101,0,2,-17.77238095238095,0.9850078125
102,0,4,-9.198333333333332,0.984859375
103,0,1,-18.42738095238095,0.9847109375
104,0,1,-13.611666666666666,0.9845625
105,0,2,-13.913333333333334,0.9844140625
106,0,2,-32.29238095238095,0.984265625
107,0,2,-27.544642857142854,0.9841171875
108,0,4,-11.136666666666667,0.98396875
109,0,2,-16.658809523809524,0.9838203125
110,0,0,-20.354642857142856,0.983671875
111,0,3,-11.198333333333334,0.9835234375
112,0,3,-12.364880952380952,0.983375
113,0,3,-11.803333333333333,0.9832265625
114,0,1,-14.638333333333334,0.983078125
115,0,4,-13.442142857142857,0.9829296875
116,0,2,-20.578571428571426,0.98278125
117,0,4,-12.603809523809524,0.9826328125
118,0,4,-10.21107142857143,0.982484375
119,0,4,-9.913333333333334,0.9823359375
120,0,2,-12.623214285714287,0.9821875
121,0,1,-19.722142857142856,0.9820390625
122,0,2,-13.998333333333331,0.981890625
123,0,4,-14.644642857142857,0.9817421875
124,0,2,-16.057142857142857,0.98159375
125,0,4,-12.013571428571428,0.9814453125
126,0,1,-18.991309523809523,0.981296875
127,0,3,-14.603809523809524,0.9811484375
128,0,3,-29.42964285714286,0.981
129,0,0,-16.391666666666666,0.9808515625
130,0,2,-16.817142857142855,0.980703125
131,0,3,-26.029642857142857,0.9805546875
132,0,2,-17.769642857142856,0.98040625
133,0,3,-23.90714285714286,0.9802578125
134,0,3,-16.858571428571427,0.980109375
135,0,4,-10.236666666666666,0.9799609375
136,0,2,-13.75,0.9798125
137,0,3,-31.66880952380953,0.9796640625
138,0,1,-20.613809523809522,0.979515625
139,0,3,-17.05464285714286,0.9793671875
140,0,3,-22.119642857142857,0.97921875
141,0,3,-17.042142857142856,0.9790703125
142,0,3,-10.688333333333333,0.978921875
143,0,3,-10.903333333333332,0.9787734375
144,0,2,-15.767142857142858,0.978625
145,0,2,-12.454880952380952,0.9784765625
146,0,2,-15.207142857142857,0.978328125
147,0,3,-21.118809523809524,0.9781796875
148,0,3,-27.56964285714286,0.97803125
149,0,5,-17.98238095238095,0.9778828125
150,0,4,-28.066309523809515,0.977734375
151,0,3,-13.5,0.9775859375
152,0,3,-10.113333333333333,0.9774375
153,0,2,-20.157380952380954,0.9772890625
154,0,4,-12.536071428571429,0.977140625
155,0,3,-17.004642857142855,0.9769921875
156,0,3,-22.829642857142858,0.97684375
157,0,4,-8.113333333333333,0.9766953125
158,0,2,-14.532142857142857,0.976546875
159,0,1,-16.367142857142856,0.9763984375
160,0,3,-19.507142857142856,0.97625
161,0,3,-13.91357142857143,0.9761015625
162,0,3,-23.294642857142858,0.975953125
