episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,2,-13.913333333333334,1.0
1,0,3,-11.013333333333334,0.9998515625
2,0,3,-12.292380952380952,0.999703125
3,0,4,-9.988809523809524,0.9995546875
4,0,3,-14.192142857142857,0.99940625
5,0,4,-10.098333333333333,0.9992578125
6,0,5,-9.009880952380954,0.999109375
7,0,3,-30.307142857142857,0.9989609375
8,0,3,-11.336666666666668,0.9988125
9,0,3,-12.098333333333333,0.9986640625
10,0,2,-15.157142857142857,0.998515625
11,0,2,-13.85,0.9983671875
12,0,2,-16.035714285714285,0.99821875
13,0,4,-13.763571428571428,0.9980703125
14,0,3,-15.293809523809523,0.997921875
15,0,4,-10.236666666666666,0.9977734375
16,0,2,-25.96964285714286,0.997625
17,0,4,-13.857142857142858,0.9974765625
18,0,3,-10.706666666666667,0.997328125
19,0,2,-12.875,0.9971796875
20,0,2,-30.268809523809523,0.99703125
21,0,3,-16.663571428571426,0.9968828125
22,0,3,-24.182142857142857,0.996734375
23,0,3,-10.952380952380953,0.9965859375
24,0,5,-20.707142857142856,0.9964375
25,0,1,-14.111666666666666,0.9962890625
26,0,2,-13.336666666666666,0.996140625
27,0,2,-13.307142857142857,0.9959921875
28,0,4,-8.198333333333332,0.99584375
29,0,4,-11.399999999999999,0.9956953125
30,0,2,-22.50464285714286,0.995546875
31,0,4,-8.751666666666667,0.9953984375
32,0,3,-12.307142857142857,0.99525
33,0,4,-11.136666666666667,0.9951015625
34,0,4,-11.5,0.994953125
35,0,2,-15.107142857142858,0.9948046875
36,0,4,-12.727142857142857,0.99465625
37,0,2,-33.11988095238095,0.9945078125
38,0,4,-17.807142857142857,0.994359375
39,0,4,-24.792142857142856,0.9942109375
40,0,2,-24.307142857142857,0.9940625
41,0,2,-15.577380952380953,0.9939140625
42,0,3,-10.05,0.993765625
43,0,3,-10.751666666666667,0.9936171875
44,0,2,-15.817142857142857,0.99346875
45,0,2,-42.902380952380966,0.9933203125
46,0,4,-23.888809523809524,0.993171875
47,0,4,-11.136666666666667,0.9930234375
48,0,4,-21.932142857142857,0.992875
49,0,3,-10.546666666666667,0.9927265625
50,0,3,-14.107142857142858,0.992578125
51,0,2,-18.557142857142857,0.9924296875
52,0,3,-16.557142857142857,0.99228125
53,0,4,-10.236666666666666,0.9921328125
54,0,3,-29.953809523809525,0.991984375
55,0,4,-16.792142857142856,0.9918359375
56,0,5,-18.498214285714283,0.9916875
57,0,5,-22.529642857142857,0.9915390625
58,0,3,-16.232142857142858,0.991390625
59,0,1,-14.898333333333333,0.9912421875
60,0,3,-15.257380952380952,0.99109375
61,0,2,-14.098333333333333,0.9909453125
62,0,2,-18.343809523809526,0.990796875
63,0,3,-13.399999999999999,0.9906484375
64,0,3,-20.604880952380952,0.9905
65,0,3,-16.919642857142858,0.9903515625
66,0,3,-25.362380952380953,0.990203125
67,0,3,-12.442142857142857,0.9900546875
