episode,coins_collected,crates_destroyed,total_reward,epsilon
0,1,0,-17.558333333333334,1.0
1,1,0,-22.46607142857143,0.9997625
2,0,0,-15.716666666666667,0.999525
3,0,0,-16.332142857142856,0.9992875
4,0,0,-19.591071428571425,0.99905
5,2,0,-26.38214285714286,0.9988125
6,1,0,-17.007142857142856,0.998575
7,0,0,-15.933333333333334,0.9983375
8,0,0,-16.441666666666666,0.9981
9,2,0,-20.723809523809525,0.9978625
10,2,0,-15.766666666666666,0.997625
11,1,0,-17.55238095238095,0.9973875
12,1,0,-30.397619047619052,0.99715
13,0,0,-15.716666666666667,0.9969125
14,0,0,-13.316666666666666,0.996675
15,1,0,-20.682142857142857,0.9964375
16,0,0,-19.573809523809523,0.9962
17,4,0,-33.72380952380951,0.9959625
18,1,0,-24.860714285714288,0.995725
19,2,0,-17.557142857142857,0.9954875
20,2,0,-38.43630952380951,0.99525
21,0,0,-18.625,0.9950125
22,1,0,-18.339880952380952,0.994775
23,0,0,-17.725,0.9945375
24,1,0,-19.223809523809525,0.9943
25,0,0,-26.93630952380952,0.9940625
26,0,0,-15.935119047619047,0.993825
27,0,0,-16.748809523809523,0.9935875
28,0,0,-18.28214285714286,0.99335
29,1,0,-14.866666666666667,0.9931125
30,1,0,-15.649999999999999,0.992875
31,0,0,-14.258333333333333,0.9926375
32,0,0,-15.257142857142856,0.9924
33,3,0,-22.09345238095238,0.9921625
34,2,0,-19.16845238095238,0.991925
35,0,0,-17.15833333333333,0.9916875
36,0,0,-12.716666666666665,0.99145
37,1,0,-22.455952380952375,0.9912125
38,0,0,-18.457142857142856,0.990975
39,2,0,-18.311309523809523,0.9907375
40,1,0,-19.507142857142856,0.9905
41,0,0,-15.633333333333333,0.9902625
42,3,0,-12.40595238095238,0.990025
43,1,0,-17.257142857142853,0.9897875
44,4,0,-19.935119047619047,0.98955
45,1,0,-20.438690476190473,0.9893125
46,0,0,-15.332142857142856,0.989075
47,1,0,-17.90714285714286,0.9888375
48,1,0,-18.625,0.9886
49,0,0,-17.057142857142857,0.9883625
50,2,0,-14.227380952380951,0.988125
51,0,0,-25.40714285714286,0.9878875
52,1,0,-14.885714285714284,0.98765
53,1,0,-17.748809523809523,0.9874125
54,0,0,-22.886309523809523,0.987175
55,1,0,-17.241666666666667,0.9869375
56,2,0,-15.514880952380949,0.9867
57,1,0,-15.932142857142855,0.9864625
58,1,0,-18.103571428571428,0.986225
59,2,0,-16.39761904761905,0.9859875
60,0,0,-18.8,0.98575
61,1,0,-18.625,0.9855125
62,1,0,-14.316666666666666,0.985275
63,1,0,-19.65714285714286,0.9850375
64,1,0,-15.616666666666667,0.9848
65,1,0,-17.066666666666666,0.9845625
66,0,0,-17.15833333333333,0.984325
67,0,0,-14.908333333333331,0.9840875
68,1,0,-19.694642857142853,0.98385
69,4,0,-19.28035714285714,0.9836125
70,0,0,-16.316071428571426,0.983375
71,0,0,-17.258333333333333,0.9831375
72,0,0,-13.516666666666666,0.9829
73,2,0,-22.761309523809523,0.9826625
74,0,0,-12.73333333333333,0.982425
75,0,0,-18.28214285714286,0.9821875
76,1,0,-20.253571428571426,0.98195
77,0,0,-20.682142857142857,0.9817125
78,1,0,-19.173809523809524,0.981475
79,3,0,-18.897619047619045,0.9812375
80,0,0,-10.308333333333334,0.981
81,2,0,-19.65357142857143,0.9807625
82,1,0,-15.311309523809523,0.980525
83,1,0,-20.710119047619045,0.9802875
84,0,0,-15.033333333333331,0.98005
85,1,0,-17.711309523809522,0.9798125
86,0,0,-17.275,0.979575
87,2,0,-11.573214285714284,0.9793375
88,0,0,-30.811309523809513,0.9791
89,0,0,-16.825,0.9788625
90,2,0,-20.823214285714286,0.978625
91,0,0,-15.258333333333333,0.9783875
92,3,0,-11.663690476190474,0.97815
93,0,0,-14.816666666666666,0.9779125
94,0,0,-19.857142857142858,0.977675
95,0,0,-20.366071428571427,0.9774375
96,0,0,-14.491666666666665,0.9772
97,1,0,-18.866071428571427,0.9769625
98,0,0,-22.944642857142856,0.976725
99,1,0,-16.50238095238095,0.9764875
100,2,0,-15.933333333333334,0.97625
101,4,0,-17.659523809523808,0.9760125
102,0,0,-15.225,0.9757750000000001
103,1,0,-19.544642857142854,0.9755375
104,1,0,-16.28214285714286,0.9753000000000001
105,1,0,-17.391666666666666,0.9750625
106,1,0,-16.05595238095238,0.974825
107,1,0,-17.048214285714288,0.9745875
108,0,0,-18.205952380952382,0.97435
109,0,0,-14.516666666666666,0.9741125
110,4,0,-28.082142857142856,0.973875
111,1,0,-14.499999999999998,0.9736375
112,1,0,-15.844642857142858,0.9734
113,0,0,-16.382142857142856,0.9731625
114,1,0,-27.482142857142854,0.972925
115,0,0,-13.533333333333331,0.9726875
116,2,0,-27.494642857142857,0.97245
117,6,0,-75.06964285714281,0.9722125
118,2,0,-22.636309523809523,0.971975
119,1,0,-16.166666666666664,0.9717375
120,3,0,-17.210119047619045,0.9715
121,1,0,-19.84880952380952,0.9712625
122,0,0,-14.125,0.971025
123,1,0,-16.155952380952378,0.9707875
124,1,0,-17.57738095238095,0.97055
125,1,0,-15.105952380952381,0.9703125
126,4,0,-19.939880952380946,0.970075
127,3,0,-22.62380952380952,0.9698375
128,0,0,-20.173809523809524,0.9696
129,2,0,-13.149999999999997,0.9693625
130,1,0,-22.531547619047622,0.969125
131,2,0,-23.28095238095238,0.9688875
132,1,0,-19.957142857142852,0.96865
133,1,0,-14.366666666666667,0.9684125
134,1,0,-17.186309523809523,0.968175
135,1,0,-16.282142857142855,0.9679375
136,1,0,-15.266666666666666,0.9677
137,1,0,-14.358333333333333,0.9674625
138,0,0,-16.025,0.967225
139,2,0,-14.21845238095238,0.9669875
140,0,0,-14.825,0.96675
141,0,0,-17.553571428571427,0.9665125
142,1,0,-18.72380952380952,0.966275
143,0,0,-17.27321428571429,0.9660375
144,2,0,-12.001190476190477,0.9658
145,1,0,-15.616666666666667,0.9655625
146,0,0,-16.475,0.965325
147,2,0,-21.57738095238095,0.9650875
148,1,0,-18.698809523809523,0.96485
149,1,0,-15.933333333333334,0.9646125
150,0,0,-17.303571428571427,0.964375
151,0,0,-14.866666666666667,0.9641375
152,2,0,-36.368452380952355,0.9639
153,0,0,-18.68095238095238,0.9636625
154,0,0,-25.16130952380952,0.963425
155,1,0,-16.173809523809524,0.9631875
156,2,0,-12.616666666666667,0.96295
157,0,0,-30.239880952380947,0.9627125
158,1,0,-18.15833333333333,0.962475
159,1,0,-15.149999999999999,0.9622375
160,0,0,-15.0,0.962
161,1,0,-16.15833333333333,0.9617625
162,3,0,-16.03988095238095,0.961525
163,1,0,-15.472619047619048,0.9612875
164,1,0,-14.855952380952381,0.96105
165,1,0,-15.833333333333332,0.9608125
166,1,0,-23.057142857142853,0.960575
167,1,0,-15.516666666666666,0.9603375
168,0,0,-14.486309523809522,0.9601
169,1,0,-14.833333333333332,0.9598625
170,1,0,-17.958333333333332,0.959625
171,0,0,-20.957142857142856,0.9593875
172,1,0,-18.26488095238095,0.95915
