episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,2,-13.803333333333333,1.0
1,0,3,-22.642142857142858,0.9998515625
2,0,1,-17.017142857142858,0.999703125
3,0,4,-18.28321428571428,0.9995546875
4,0,2,-26.517142857142858,0.99940625
5,0,5,-31.878809523809522,0.9992578125
6,0,3,-13.136666666666667,0.999109375
7,0,5,-16.610714285714288,0.9989609375
8,0,3,-12.917142857142858,0.9988125
9,0,3,-33.582142857142856,0.9986640625
10,0,4,-8.751666666666667,0.998515625
11,0,3,-13.399999999999999,0.9983671875
12,0,4,-9.098333333333333,0.99821875
13,0,3,-19.389642857142853,0.9980703125
14,0,2,-17.838809523809523,0.997921875
15,0,2,-23.84464285714286,0.9977734375
16,0,1,-22.256309523809524,0.997625
17,0,6,-8.604642857142856,0.9974765625
18,0,6,-15.729642857142856,0.997328125
19,0,2,-20.86857142857143,0.9971796875
20,0,2,-16.79380952380952,0.99703125
21,0,4,-14.497380952380952,0.9968828125
22,0,3,-14.219642857142857,0.996734375
23,0,4,-26.667142857142856,0.9965859375
24,0,3,-13.136666666666667,0.9964375
25,0,6,-7.949047619047619,0.9962890625
26,0,3,-15.657142857142857,0.996140625
27,0,2,-15.068809523809524,0.9959921875
28,0,2,-12.206666666666667,0.99584375
29,0,3,-29.607142857142858,0.9956953125
30,0,3,-13.246666666666666,0.995546875
31,0,3,-14.464880952380952,0.9953984375
32,0,5,-23.369642857142857,0.99525
33,0,2,-12.751666666666667,0.9951015625
34,0,5,-20.294642857142858,0.994953125
35,0,3,-11.913333333333334,0.9948046875
36,0,3,-11.651666666666667,0.99465625
37,0,5,-11.969880952380953,0.9945078125
38,0,3,-10.113333333333333,0.994359375
39,0,4,-11.359880952380951,0.9942109375
40,0,1,-22.767142857142858,0.9940625
41,0,3,-18.123214285714283,0.9939140625
42,0,1,-18.91357142857143,0.993765625
43,0,2,-12.096666666666668,0.9936171875
44,0,2,-12.097380952380952,0.99346875
45,0,4,-13.857142857142858,0.9933203125
46,0,3,-14.263809523809524,0.993171875
47,0,1,-20.41988095238095,0.9930234375
48,0,4,-9.336666666666666,0.992875
49,0,2,-15.582142857142857,0.9927265625
50,0,2,-14.912380952380952,0.992578125
51,0,4,-14.238571428571428,0.9924296875
52,0,3,-12.098333333333333,0.99228125
53,0,2,-17.023809523809522,0.9921328125
54,0,1,-17.703809523809525,0.991984375
55,0,4,-9.803333333333333,0.9918359375
56,0,2,-15.857142857142858,0.9916875
57,0,3,-11.773333333333333,0.9915390625
58,0,3,-14.582142857142857,0.991390625
59,0,3,-14.107142857142858,0.9912421875
60,0,2,-13.754642857142857,0.99109375
61,0,3,-10.95,0.9909453125
62,0,3,-13.442142857142857,0.990796875
63,0,3,-14.482142857142858,0.9906484375
64,0,5,-19.959880952380953,0.9905
65,0,4,-9.651666666666667,0.9903515625
66,0,6,-15.136309523809524,0.990203125
67,0,2,-15.582142857142857,0.9900546875
68,0,4,-9.651666666666667,0.98990625
69,0,5,-24.257142857142856,0.9897578125
70,0,4,-12.332142857142856,0.989609375
71,0,4,-9.198333333333332,0.9894609375
72,0,2,-22.73654761904762,0.9893125
73,0,2,-13.111666666666666,0.9891640625
74,0,2,-11.05,0.989015625
75,0,4,-10.431666666666667,0.9888671875
76,0,4,-9.098333333333333,0.98871875
77,0,3,-18.93345238095238,0.9885703125
78,0,2,-16.107142857142858,0.988421875
79,0,2,-12.751666666666667,0.9882734375
80,0,2,-15.117142857142856,0.988125
81,0,2,-23.107142857142858,0.9879765625
82,0,2,-23.117380952380948,0.9878281250000001
83,0,2,-13.600000000000001,0.9876796875
84,0,3,-13.207142857142857,0.98753125
85,0,3,-14.547142857142855,0.9873828125
86,0,3,-11.803333333333333,0.987234375
87,0,1,-19.249642857142856,0.9870859375
88,0,3,-13.363809523809524,0.9869375
89,0,1,-18.907142857142855,0.9867890625
90,0,3,-15.443809523809524,0.986640625
91,0,1,-21.994642857142857,0.9864921875
92,0,4,-13.768809523809525,0.98634375
93,0,4,-10.107142857142858,0.9861953125
94,0,2,-16.119642857142857,0.986046875
95,0,3,-15.928809523809523,0.9858984375
96,0,3,-13.136666666666667,0.98575
97,0,3,-14.594642857142857,0.9856015625
98,0,3,-21.542142857142856,0.985453125
99,0,3,-10.903333333333332,0.9853046875
100,0,2,-16.187142857142856,0.98515625
101,0,4,-18.307142857142857,0.9850078125
102,0,2,-16.332142857142856,0.984859375
103,0,3,-39.207142857142856,0.9847109375
104,0,3,-22.69464285714286,0.9845625
105,0,3,-20.869642857142857,0.9844140625
106,0,3,-29.063809523809525,0.984265625
107,0,2,-24.031309523809526,0.9841171875
108,0,2,-20.03857142857143,0.98396875
109,0,3,-27.378809523809522,0.9838203125
110,0,2,-11.851666666666667,0.983671875
111,0,2,-19.193809523809524,0.9835234375
112,0,3,-14.482142857142858,0.983375
113,0,3,-11.198333333333334,0.9832265625
114,0,2,-12.407142857142858,0.983078125
115,0,3,-13.432142857142857,0.9829296875
116,0,3,-24.15464285714286,0.98278125
117,0,2,-23.517142857142858,0.9826328125
118,0,3,-10.751666666666667,0.982484375
119,0,4,-10.431666666666667,0.9823359375
120,0,2,-19.492142857142856,0.9821875
121,0,2,-18.18857142857143,0.9820390625
122,0,2,-16.21964285714286,0.981890625
123,0,2,-37.90464285714286,0.9817421875
124,0,4,-12.688809523809523,0.98159375
125,0,4,-13.707142857142857,0.9814453125
126,0,1,-15.160714285714285,0.981296875
127,0,3,-18.557142857142857,0.9811484375
128,0,2,-28.03214285714286,0.981
