episode,coins_collected,crates_destroyed,total_reward,epsilon
0,0,1,-15.246666666666666,1.0
1,0,3,-28.779642857142854,0.999940625
2,0,2,-17.818809523809524,0.99988125
3,0,2,-12.198333333333334,0.999821875
4,0,2,-14.858809523809523,0.9997625
5,0,3,-16.65714285714286,0.999703125
6,0,3,-15.868809523809524,0.99964375
7,0,5,-20.376309523809525,0.999584375
8,0,1,-21.249642857142856,0.999525
9,0,4,-8.113333333333333,0.999465625
10,0,3,-16.807142857142857,0.99940625
11,0,3,-11.416666666666668,0.999346875
12,0,3,-12.782142857142857,0.9992875
13,0,3,-13.419642857142858,0.999228125
14,0,3,-11.407142857142857,0.99916875
15,0,4,-8.903333333333332,0.999109375
16,0,4,-20.803809523809523,0.99905
17,0,6,-15.058214285714284,0.998990625
18,0,3,-15.33607142857143,0.99893125
19,0,1,-14.475,0.998871875
20,0,1,-15.53404761904762,0.9988125
21,0,4,-11.913571428571428,0.998753125
22,0,3,-13.682142857142857,0.99869375
23,0,5,-29.56964285714286,0.998634375
24,0,2,-19.03214285714286,0.998575
25,0,3,-10.960714285714285,0.998515625
26,0,2,-13.898333333333333,0.99845625
27,0,2,-13.411666666666667,0.998396875
28,0,2,-22.68488095238095,0.9983375
29,0,4,-19.636071428571427,0.998278125
30,0,4,-9.913333333333334,0.99821875
31,0,2,-30.26214285714285,0.998159375
32,0,2,-15.637142857142855,0.9981
33,0,4,-9.651666666666667,0.998040625
34,0,3,-19.823214285714286,0.99798125
35,0,3,-12.098333333333333,0.997921875
36,0,3,-15.119642857142857,0.9978625
37,0,3,-16.620714285714286,0.997803125
38,0,3,-18.281071428571426,0.99774375
39,0,1,-21.266309523809525,0.997684375
40,0,2,-12.003333333333334,0.997625
41,0,2,-14.75,0.997565625
42,0,3,-13.5,0.99750625
43,0,4,-10.888809523809524,0.997446875
44,0,2,-16.263809523809524,0.9973875
45,0,2,-14.5,0.997328125
46,0,2,-27.669642857142854,0.99726875
47,0,1,-35.859880952380955,0.997209375
48,0,3,-26.132142857142856,0.99715
49,0,4,-16.307142857142857,0.997090625
50,0,2,-23.62238095238095,0.99703125
51,0,4,-11.136666666666667,0.996971875
52,0,4,-9.803333333333333,0.9969125
53,0,3,-13.632142857142856,0.996853125
54,0,4,-10.6,0.99679375
55,0,3,-34.64214285714286,0.996734375
56,0,3,-11.75,0.996675
57,0,3,-13.5,0.996615625
58,0,3,-11.013333333333332,0.99655625
59,0,3,-11.803333333333333,0.996496875
60,0,3,-14.029642857142857,0.9964375
61,0,3,-16.488809523809522,0.996378125
62,0,5,-11.542380952380952,0.99631875
63,0,4,-38.39214285714286,0.996259375
64,0,1,-18.478809523809524,0.9962
65,0,6,-11.165952380952382,0.996140625
66,0,1,-16.827380952380953,0.99608125
67,0,2,-19.618809523809524,0.996021875
68,0,3,-17.128809523809522,0.9959625
69,0,2,-16.192142857142855,0.995903125
70,0,3,-14.707142857142857,0.99584375
71,0,3,-12.602380952380951,0.995784375
72,0,3,-11.913333333333334,0.995725
73,0,4,-7.851666666666667,0.995665625
74,0,2,-16.65380952380952,0.99560625
75,0,2,-14.367142857142856,0.995546875
76,0,2,-16.81714285714286,0.9954875
77,0,2,-17.192142857142855,0.995428125
78,0,4,-10.098333333333333,0.99536875
79,0,3,-11.519642857142857,0.995309375
80,0,3,-14.224880952380952,0.99525
81,0,3,-18.35238095238095,0.995190625
82,0,3,-12.860714285714286,0.99513125
83,0,3,-13.168809523809523,0.995071875
84,0,3,-19.58738095238095,0.9950125
85,0,2,-19.433809523809522,0.994953125
86,0,3,-14.717142857142857,0.99489375
87,0,2,-16.717142857142857,0.994834375
88,0,3,-17.894642857142856,0.994775
89,0,3,-17.417142857142856,0.994715625
90,0,2,-16.177142857142858,0.99465625
91,0,3,-14.107142857142858,0.994596875
92,0,3,-14.532142857142857,0.9945375
93,0,3,-13.107142857142858,0.994478125
94,0,2,-15.658809523809524,0.99441875
95,0,3,-14.332142857142857,0.994359375
96,0,2,-12.05,0.9943
97,0,4,-9.651666666666667,0.994240625
98,0,3,-10.751666666666667,0.99418125
99,0,3,-27.604642857142856,0.994121875
100,0,3,-21.27845238095238,0.9940625
101,0,2,-29.966309523809525,0.994003125
102,0,5,-40.40714285714286,0.99394375
103,0,3,-11.75,0.993884375
104,0,2,-17.567142857142855,0.993825
105,0,3,-22.63214285714286,0.993765625
106,0,4,-20.842142857142854,0.99370625
107,0,2,-18.557380952380953,0.993646875
108,0,3,-14.813571428571429,0.9935875
109,0,2,-18.132142857142856,0.993528125
110,0,3,-26.503809523809522,0.99346875
111,0,1,-16.272142857142857,0.993409375
112,0,2,-32.52964285714286,0.99335
113,0,3,-13.017142857142858,0.993290625
114,0,3,-11.898333333333333,0.99323125
115,0,2,-18.193571428571428,0.993171875
116,0,4,-9.013333333333334,0.9931125
117,0,4,-13.403809523809525,0.993053125
118,0,3,-26.34595238095238,0.99299375
119,0,4,-8.546666666666667,0.992934375
120,0,3,-29.107142857142858,0.992875
121,0,3,-9.521666666666667,0.992815625
122,0,2,-13.098333333333333,0.99275625
123,0,2,-14.098333333333333,0.992696875
124,0,3,-27.331309523809523,0.9926375
125,0,2,-18.19214285714286,0.992578125
126,0,4,-9.803333333333333,0.99251875
127,0,5,-20.198214285714286,0.992459375
128,0,1,-15.529642857142857,0.9924
129,0,3,-14.399999999999999,0.992340625
130,0,3,-14.857142857142858,0.99228125
131,0,3,-13.432142857142857,0.992221875
132,0,3,-12.75,0.9921625
133,0,2,-43.05714285714286,0.992103125
134,0,3,-10.631666666666666,0.99204375
