episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,2,0,-20.357142857142858,1.0
1,0,4,0,-8.751666666666667,0.9998515625
2,0,4,0,-14.942142857142859,0.999703125
3,0,2,0,-14.889880952380953,0.9995546875
4,0,2,0,-12.85,0.99940625
5,0,4,0,-11.136666666666667,0.9992578125
6,0,2,0,-14.333214285714286,0.999109375
7,0,4,0,-16.317142857142855,0.9989609375
8,0,2,0,-14.236666666666666,0.9988125
9,0,3,0,-19.181071428571425,0.9986640625
10,0,2,0,-16.267142857142858,0.998515625
11,0,0,0,-21.377142857142857,0.9983671875
12,0,2,0,-23.46964285714286,0.99821875
13,0,2,0,-16.817142857142855,0.9980703125
14,0,3,0,-16.568809523809524,0.997921875
15,0,3,0,-19.103809523809524,0.9977734375
16,0,2,0,-29.529642857142857,0.997625
17,0,3,0,-12.998333333333331,0.9974765625
18,0,1,0,-15.75,0.997328125
19,0,6,0,-27.28988095238095,0.9971796875
20,0,3,0,-12.207142857142857,0.99703125
21,0,4,0,-12.263809523809524,0.9968828125
22,0,3,0,-21.307142857142857,0.996734375
23,0,4,0,-9.198333333333332,0.9965859375
24,0,2,0,-23.87488095238095,0.9964375
25,0,4,0,-12.688809523809523,0.9962890625
26,0,2,0,-23.61714285714286,0.996140625
27,0,1,0,-21.134880952380954,0.9959921875
28,0,4,0,-11.788809523809523,0.99584375
29,0,2,0,-18.192142857142855,0.9956953125
30,0,3,0,-11.364880952380952,0.995546875
31,0,4,0,-17.244642857142857,0.9953984375
32,0,4,0,-19.698214285714286,0.99525
33,0,2,0,-19.457142857142856,0.9951015625
34,0,4,0,-9.651666666666667,0.994953125
35,0,2,0,-24.192142857142855,0.9948046875
36,0,4,0,-11.399999999999999,0.99465625
37,0,2,0,-18.453809523809525,0.9945078125
38,0,4,0,-11.331666666666667,0.994359375
39,0,3,0,-16.092142857142857,0.9942109375
40,0,3,0,-23.12238095238095,0.9940625
41,0,1,0,-19.198214285714286,0.9939140625
42,0,4,0,-11.5,0.993765625
43,0,2,0,-25.34130952380952,0.9936171875
44,0,3,0,-12.75,0.99346875
45,0,2,0,-16.298214285714288,0.9933203125
46,0,2,0,-20.088571428571427,0.993171875
47,0,3,0,-14.807142857142855,0.9930234375
48,0,2,0,-22.182142857142857,0.992875
49,0,3,0,-38.244642857142864,0.9927265625
50,0,3,0,-11.803333333333333,0.992578125
51,0,2,0,-15.331666666666667,0.9924296875
52,0,3,0,-12.600000000000001,0.99228125
53,0,3,0,-11.803333333333333,0.9921328125
54,0,2,0,-14.75,0.991984375
55,0,5,0,-28.70630952380953,0.9918359375
56,0,3,0,-14.342142857142857,0.9916875
57,0,3,0,-12.431666666666667,0.9915390625
58,0,2,0,-15.107142857142858,0.991390625
59,0,2,0,-18.778809523809525,0.9912421875
60,1,5,0,-50.818809523809506,0.99109375
61,0,2,0,-31.91071428571429,0.9909453125
62,0,4,0,-15.731309523809523,0.990796875
63,0,2,0,-15.532142857142857,0.9906484375
64,0,2,0,-13.591547619047619,0.9905
65,0,2,0,-12.875,0.9903515625
66,0,1,0,-34.918571428571425,0.990203125
67,0,1,0,-15.142380952380952,0.9900546875
68,0,2,0,-31.59464285714286,0.98990625
69,0,1,0,-15.913333333333334,0.9897578125
70,0,4,0,-15.282142857142857,0.989609375
71,0,2,0,-18.831071428571427,0.9894609375
72,0,3,0,-20.648214285714285,0.9893125
73,0,3,0,-42.367142857142866,0.9891640625
74,0,4,0,-9.803333333333333,0.989015625
75,0,2,0,-19.744642857142857,0.9888671875
76,0,4,0,-12.242142857142857,0.98871875
77,0,3,0,-15.443809523809524,0.9885703125
78,0,3,0,-17.226309523809523,0.988421875
79,0,2,0,-18.693809523809524,0.9882734375
80,0,3,0,-14.767142857142856,0.988125
81,0,4,0,-11.292142857142856,0.9879765625
82,0,2,0,-21.468809523809522,0.9878281250000001
83,0,3,0,-15.482142857142858,0.9876796875
84,0,2,0,-20.53214285714286,0.98753125
85,0,1,0,-13.623214285714285,0.9873828125
86,0,2,0,-20.813809523809525,0.987234375
87,0,3,0,-14.717142857142857,0.9870859375
88,0,3,0,-20.869642857142857,0.9869375
89,0,4,0,-11.136666666666667,0.9867890625
90,0,2,0,-16.107142857142858,0.986640625
91,0,4,0,-8.903333333333332,0.9864921875
92,0,3,0,-11.336666666666666,0.98634375
93,0,3,0,-33.46964285714286,0.9861953125
94,0,3,0,-12.75,0.986046875
95,0,2,0,-15.207142857142857,0.9858984375
96,0,3,0,-10.873333333333333,0.98575
97,0,3,0,-10.773333333333333,0.9856015625
98,0,4,0,-15.544642857142858,0.985453125
99,0,3,0,-11.858809523809523,0.9853046875
100,0,1,0,-20.019642857142856,0.98515625
101,0,3,0,-18.05607142857143,0.9850078125
102,0,2,0,-14.307142857142857,0.984859375
103,0,2,0,-14.346666666666668,0.9847109375
104,0,3,0,-12.827380952380953,0.9845625
105,0,4,0,-10.887380952380951,0.9844140625
106,0,1,0,-15.903809523809525,0.984265625
107,0,2,0,-11.938333333333333,0.9841171875
108,0,2,0,-30.432380952380953,0.98396875
109,0,2,0,-13.651666666666667,0.9838203125
110,0,4,0,-10.098333333333333,0.983671875
111,0,3,0,-13.107142857142858,0.9835234375
112,0,4,0,-10.346666666666668,0.983375
113,0,4,0,-9.651666666666667,0.9832265625
114,0,4,0,-9.013333333333334,0.983078125
115,0,5,0,-10.782380952380953,0.9829296875
116,0,4,0,-18.207142857142856,0.98278125
117,0,2,0,-25.968809523809526,0.9826328125
118,0,2,0,-31.349047619047617,0.982484375
119,0,3,0,-15.110714285714286,0.9823359375
120,0,3,0,-13.246666666666666,0.9821875
121,0,4,0,-16.982142857142858,0.9820390625
122,0,4,0,-17.479642857142856,0.981890625
123,0,3,0,-15.828809523809523,0.9817421875
124,0,2,0,-16.817142857142855,0.98159375
125,0,3,0,-12.958214285714286,0.9814453125
126,0,5,0,-23.423809523809524,0.981296875
127,0,4,0,-19.398214285714282,0.9811484375
128,0,3,0,-11.773333333333333,0.981
129,0,3,0,-13.392142857142856,0.9808515625
130,0,2,0,-13.013333333333332,0.980703125
131,0,3,0,-21.919642857142858,0.9805546875
132,0,3,0,-12.442142857142857,0.98040625
133,0,4,0,-10.107142857142858,0.9802578125
134,0,3,0,-10.903333333333332,0.980109375
135,0,4,0,-14.369642857142857,0.9799609375
136,0,3,0,-13.582142857142857,0.9798125
137,0,4,0,-8.751666666666667,0.9796640625
138,0,1,0,-16.993809523809524,0.979515625
139,0,3,0,-16.557142857142857,0.9793671875
140,0,3,0,-20.692142857142855,0.97921875
141,0,4,0,-10.998333333333331,0.9790703125
142,0,1,0,-20.343809523809526,0.978921875
143,0,1,0,-16.654880952380953,0.9787734375
144,0,2,0,-21.478809523809524,0.978625
145,0,4,0,-15.85738095238095,0.9784765625
146,0,3,0,-11.013333333333332,0.978328125
147,0,1,0,-19.443809523809524,0.9781796875
148,0,2,0,-12.198333333333334,0.97803125
149,0,3,0,-19.24214285714286,0.9778828125
150,0,2,0,-21.979642857142856,0.977734375
151,0,4,0,-13.939642857142857,0.9775859375
152,0,3,0,-11.803333333333333,0.9774375
153,0,1,0,-27.81714285714285,0.9772890625
154,0,2,0,-12.773333333333333,0.977140625
155,0,1,0,-18.342142857142857,0.9769921875
156,0,2,0,-20.25988095238095,0.97684375
157,0,2,0,-13.237619047619049,0.9766953125
158,0,5,0,-7.474285714285714,0.976546875
159,0,2,0,-17.602380952380955,0.9763984375
160,0,3,0,-13.107142857142858,0.97625
161,0,2,0,-16.107142857142858,0.9761015625
162,0,3,0,-22.298809523809524,0.975953125
163,0,3,0,-16.192142857142855,0.9758046875
164,0,2,0,-16.90714285714286,0.97565625
165,0,3,0,-16.46964285714286,0.9755078125
166,0,5,0,-22.982142857142854,0.975359375
167,0,3,0,-24.59464285714286,0.9752109375
168,0,3,0,-19.27880952380952,0.9750625
169,0,3,0,-11.606666666666666,0.9749140625
170,0,2,0,-13.336666666666666,0.974765625
171,0,3,0,-10.903333333333332,0.9746171875
172,0,2,0,-21.416071428571428,0.97446875
173,0,4,0,-11.136666666666667,0.9743203125
174,0,3,0,-29.29964285714285,0.974171875
175,0,3,0,-14.357142857142858,0.9740234375
176,0,3,0,-11.446666666666667,0.973875
177,0,3,0,-13.107142857142858,0.9737265625
178,0,3,0,-16.519642857142856,0.973578125
179,0,2,0,-32.959880952380956,0.9734296875
180,0,2,0,-17.403809523809525,0.97328125
181,0,3,0,-15.599880952380952,0.9731328125
182,0,5,0,-21.092142857142854,0.972984375
183,0,5,0,-10.059880952380952,0.9728359375
184,0,3,0,-11.336666666666666,0.9726875
185,0,3,0,-20.057142857142857,0.9725390625
186,0,2,0,-27.60630952380952,0.972390625
187,0,2,0,-14.927142857142858,0.9722421875
188,0,5,0,-9.259880952380952,0.97209375
189,0,1,0,-25.774642857142855,0.9719453125
190,0,3,0,-22.41488095238095,0.971796875
191,0,3,0,-12.431666666666667,0.9716484375
192,0,4,0,-9.098333333333333,0.9715
193,0,2,0,-16.968809523809526,0.9713515625
194,0,4,0,-19.644642857142856,0.971203125
195,0,3,0,-20.28214285714286,0.9710546875
196,0,2,0,-20.097142857142856,0.97090625
197,0,3,0,-13.788809523809524,0.9707578125
198,0,3,0,-11.75,0.970609375
199,0,4,0,-10.346666666666668,0.9704609375
200,0,2,0,-16.017142857142858,0.9703125
201,0,3,0,-17.281309523809526,0.9701640625
202,0,3,0,-16.467142857142857,0.970015625
203,0,3,0,-22.482142857142854,0.9698671875
204,0,3,0,-12.442142857142857,0.96971875
205,0,2,0,-21.882142857142856,0.9695703125
206,0,2,0,-37.25714285714287,0.969421875
207,0,2,0,-12.889642857142857,0.9692734375000001
208,0,3,0,-12.917142857142858,0.969125
209,0,1,0,-18.536071428571425,0.9689765625
210,0,3,0,-15.163809523809523,0.968828125
211,0,4,0,-11.703809523809525,0.9686796875
212,0,3,0,-16.607142857142858,0.96853125
213,0,2,0,-14.542142857142856,0.9683828125
214,0,3,0,-14.107142857142858,0.968234375
215,0,4,0,-20.182142857142857,0.9680859375
216,0,2,0,-16.471309523809524,0.9679375
217,0,4,0,-10.098333333333333,0.9677890625
218,0,2,0,-13.817142857142859,0.967640625
219,0,3,0,-19.06714285714286,0.9674921875
220,0,2,0,-15.168809523809525,0.96734375
221,0,2,0,-18.498809523809523,0.9671953125
222,0,3,0,-21.042142857142856,0.967046875
223,0,2,0,-16.857142857142858,0.9668984375
224,0,3,0,-12.207142857142857,0.96675
225,0,3,0,-16.718809523809526,0.9666015625
226,0,2,0,-13.336666666666666,0.966453125
227,0,3,0,-11.651666666666667,0.9663046875
228,0,4,0,-8.751666666666667,0.96615625
229,0,3,0,-11.852380952380951,0.9660078125
230,0,3,0,-13.488571428571428,0.965859375
231,0,3,0,-14.332142857142857,0.9657109375
232,0,3,0,-16.35511904761905,0.9655625
233,0,3,0,-15.343809523809524,0.9654140625000001
234,0,3,0,-12.098333333333333,0.965265625
235,0,5,0,-11.657142857142857,0.9651171875
236,0,3,0,-16.193571428571428,0.96496875
237,0,3,0,-12.098333333333333,0.9648203125
238,0,6,0,-6.619047619047619,0.964671875
239,0,2,0,-17.019642857142856,0.9645234375
240,0,2,0,-18.607142857142854,0.964375
241,0,4,0,-8.751666666666667,0.9642265625
242,0,4,0,-21.352380952380948,0.964078125
243,0,2,0,-15.068809523809524,0.9639296875
244,0,4,0,-12.536071428571429,0.96378125
245,0,5,0,-23.518809523809523,0.9636328125
246,0,3,0,-20.579642857142858,0.963484375
247,0,3,0,-12.794642857142858,0.9633359375
248,0,4,0,-37.35380952380953,0.9631875
249,0,2,0,-20.631309523809524,0.9630390625
250,0,2,0,-14.870714285714286,0.962890625
251,0,3,0,-19.119642857142857,0.9627421875
252,0,3,0,-11.654642857142857,0.96259375
253,0,3,0,-10.751666666666667,0.9624453125
254,0,4,0,-18.479880952380952,0.962296875
255,0,3,0,-17.507142857142856,0.9621484375
256,0,1,0,-18.582142857142856,0.962
257,0,3,0,-16.696071428571425,0.9618515625
258,0,4,0,-18.14595238095238,0.961703125
259,0,3,0,-11.803333333333333,0.9615546875000001
260,0,3,0,-11.531666666666666,0.96140625
261,0,3,0,-29.057142857142857,0.9612578125
262,0,3,0,-13.492142857142857,0.961109375
263,0,2,0,-12.017142857142858,0.9609609375
264,0,3,0,-10.85,0.9608125
265,0,3,0,-18.004642857142855,0.9606640625
266,0,6,0,-46.50380952380952,0.960515625
267,0,4,0,-10.888809523809524,0.9603671875
268,0,6,0,-13.682142857142855,0.96021875
269,0,3,0,-14.582142857142857,0.9600703125
270,0,4,0,-8.903333333333332,0.959921875
271,0,2,0,-12.751666666666667,0.9597734375
272,0,2,0,-16.373571428571427,0.959625
273,0,3,0,-9.998333333333335,0.9594765625
274,0,2,0,-22.178809523809523,0.959328125
275,0,3,0,-13.432142857142857,0.9591796875
276,0,2,0,-13.898333333333333,0.95903125
277,0,3,0,-11.75,0.9588828125
278,0,2,0,-13.998333333333331,0.958734375
279,0,2,0,-12.95,0.9585859375
280,0,3,0,-19.88857142857143,0.9584375
281,0,1,0,-19.65714285714286,0.9582890625
282,0,2,0,-12.198333333333334,0.958140625
283,0,4,0,-17.09464285714286,0.9579921875
284,0,3,0,-19.101071428571426,0.95784375
285,0,1,0,-14.307142857142857,0.9576953125
286,0,4,0,-9.013333333333334,0.957546875
287,0,3,0,-14.013571428571428,0.9573984375
288,0,2,0,-12.967380952380953,0.95725
289,0,2,0,-15.312142857142856,0.9571015625
290,0,6,0,-4.209880952380953,0.956953125
291,0,4,0,-9.013333333333334,0.9568046875
292,0,2,0,-14.168809523809525,0.95665625
293,0,2,0,-20.72321428571429,0.9565078124999999
294,0,3,0,-17.433809523809522,0.956359375
295,0,2,0,-27.367142857142856,0.9562109375
296,0,1,0,-21.673214285714284,0.9560625
297,0,2,0,-15.107142857142858,0.9559140625
298,0,2,0,-12.096666666666668,0.955765625
299,0,2,0,-13.606666666666666,0.9556171875
300,0,2,0,-13.773333333333333,0.95546875
301,0,5,0,-21.94214285714286,0.9553203125
302,0,3,0,-13.136666666666667,0.955171875
303,0,2,0,-14.532142857142858,0.9550234375
304,0,3,0,-17.777380952380952,0.954875
305,0,3,0,-11.952380952380953,0.9547265625
306,0,3,0,-12.577380952380953,0.954578125
307,0,3,0,-31.53214285714286,0.9544296875
308,0,2,0,-16.292142857142856,0.95428125
309,0,3,0,-17.507142857142856,0.9541328125
310,0,3,0,-21.019642857142856,0.953984375
311,0,5,0,-10.233214285714286,0.9538359375
312,0,4,0,-14.707142857142857,0.9536875
313,0,3,0,-13.342142857142857,0.9535390625
314,0,4,0,-11.246666666666666,0.953390625
315,0,2,0,-19.317142857142855,0.9532421875
316,0,4,0,-28.891309523809525,0.95309375
317,0,3,0,-12.600000000000001,0.9529453125
318,0,4,0,-11.488571428571428,0.952796875
319,0,2,0,-16.333214285714284,0.9526484375
320,0,4,0,-19.319642857142856,0.9525
321,0,3,0,-14.777380952380952,0.9523515625
322,0,4,0,-10.236666666666666,0.952203125
323,0,2,0,-25.488809523809522,0.9520546875
324,0,3,0,-14.192142857142857,0.95190625
325,0,3,0,-22.978809523809524,0.9517578125
326,0,5,0,-25.22130952380952,0.951609375
327,0,2,0,-15.989880952380952,0.9514609375
328,0,2,0,-15.5,0.9513125
329,0,3,0,-28.55238095238095,0.9511640625
330,0,2,0,-12.873333333333333,0.951015625
331,0,5,0,-22.528571428571425,0.9508671875
332,0,3,0,-11.75,0.9507187500000001
333,0,2,0,-15.727142857142859,0.9505703125
334,0,2,0,-16.767142857142858,0.950421875
335,0,4,0,-11.499999999999998,0.9502734375
336,0,1,0,-20.09988095238095,0.950125
