episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,3,0,-12.542142857142856,1.0
1,0,4,0,-9.198333333333334,0.9960416666666667
2,0,3,0,-11.913333333333334,0.9920833333333333
3,0,4,0,-9.098333333333333,0.988125
4,0,3,0,-10.751666666666665,0.9841666666666666
5,0,3,0,-11.758809523809525,0.9802083333333333
6,0,5,0,-33.786547619047624,0.97625
7,0,2,0,-20.945714285714285,0.9722916666666667
8,0,4,0,-18.398214285714285,0.9683333333333334
9,0,2,0,-13.675,0.964375
10,0,2,0,-22.732142857142854,0.9604166666666667
11,0,4,0,-19.979642857142856,0.9564583333333333
12,0,3,0,-10.113333333333333,0.9525
13,0,2,0,-14.157142857142857,0.9485416666666666
14,0,2,0,-16.60238095238095,0.9445833333333333
15,0,3,0,-19.732142857142858,0.940625
16,0,4,0,-21.567142857142855,0.9366666666666666
17,0,4,0,-33.00714285714285,0.9327083333333334
18,0,3,0,-15.338571428571429,0.92875
19,0,3,0,-11.913333333333334,0.9247916666666667
20,0,4,0,-20.413809523809526,0.9208333333333334
21,0,3,0,-16.777380952380952,0.916875
22,0,3,0,-8.566666666666666,0.9129166666666667
23,0,3,0,-20.494880952380953,0.9089583333333333
24,0,3,0,-11.803333333333333,0.905
25,0,4,0,-10.098333333333331,0.9010416666666666
26,0,4,0,-21.482142857142858,0.8970833333333333
27,0,3,0,-10.85,0.893125
28,0,2,0,-21.236071428571428,0.8891666666666667
29,0,3,0,-11.651666666666667,0.8852083333333334
30,0,5,0,-9.858214285714286,0.88125
31,0,1,0,-40.00714285714286,0.8772916666666667
32,0,3,0,-11.913333333333334,0.8733333333333333
33,0,4,0,-9.998333333333331,0.869375
34,0,3,0,-12.952380952380953,0.8654166666666667
35,0,2,0,-27.104642857142856,0.8614583333333333
36,0,3,0,-12.682142857142857,0.8575
37,0,2,0,-16.957142857142856,0.8535416666666666
38,0,2,0,-16.70738095238095,0.8495833333333334
