episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,3,0,-15.717142857142857,1.0
1,0,2,0,-15.107142857142858,0.988125
2,0,2,0,-23.078809523809525,0.97625
3,0,2,0,-15.207142857142857,0.964375
4,0,2,0,-15.682142857142857,0.9525
5,0,3,0,-10.198333333333334,0.940625
6,0,3,0,-20.769642857142856,0.92875
7,0,3,0,-17.982142857142858,0.916875
8,0,2,0,-16.129642857142855,0.905
9,0,3,0,-11.913333333333334,0.893125
10,0,4,0,-9.803333333333333,0.88125
11,0,3,0,-25.198214285714286,0.869375
12,0,5,0,-22.158214285714283,0.8575
13,0,3,0,-40.98214285714286,0.8456250000000001
14,0,3,0,-17.75857142857143,0.83375
15,0,1,0,-14.006309523809524,0.821875
16,0,2,0,-17.24214285714286,0.81
17,0,2,0,-14.392142857142858,0.798125
18,0,3,0,-20.71630952380952,0.78625
19,0,2,0,-15.952380952380953,0.774375
20,0,2,0,-25.232142857142854,0.7625
21,0,3,0,-10.751666666666665,0.750625
22,0,5,0,-14.074642857142857,0.73875
23,0,2,0,-15.694642857142856,0.726875
24,0,2,0,-19.682142857142857,0.7150000000000001
25,0,2,0,-24.442142857142855,0.703125
26,0,2,0,-20.023809523809522,0.69125
27,0,3,0,-11.913333333333334,0.6793750000000001
28,0,2,0,-16.868809523809524,0.6675
29,0,2,0,-16.688809523809525,0.655625
30,0,4,0,-9.446666666666667,0.64375
31,0,2,0,-24.507142857142853,0.631875
32,0,1,0,-37.647380952380956,0.62
33,0,1,0,-16.72714285714286,0.608125
34,0,3,0,-15.394642857142856,0.59625
35,0,2,0,-14.75,0.5843750000000001
36,0,3,0,-12.682142857142857,0.5725
37,0,3,0,-16.09464285714286,0.5606249999999999
38,1,2,0,-23.473214285714285,0.5487500000000001
39,0,3,0,-11.913333333333334,0.536875
40,1,4,0,-19.158214285714283,0.525
41,1,5,0,-21.492142857142856,0.513125
42,0,2,0,-14.118809523809523,0.50125
43,0,4,0,-12.986190476190476,0.489375
44,0,8,0,-21.342142857142857,0.47750000000000004
45,0,0,0,-18.008809523809525,0.46562500000000007
46,0,2,0,-17.482142857142858,0.4537500000000001
47,0,4,0,-11.767142857142858,0.441875
48,0,2,0,-26.981309523809525,0.43000000000000005
49,0,3,0,-16.041309523809524,0.41812499999999997
50,0,3,0,-11.998333333333331,0.40625
51,0,3,0,-15.332142857142857,0.39437500000000003
52,0,3,0,-12.542142857142856,0.38250000000000006
53,0,2,0,-13.542142857142858,0.3706250000000001
54,0,3,0,-13.342142857142857,0.35875
55,0,3,0,-16.588809523809523,0.34687500000000004
56,0,3,0,-12.307142857142857,0.3350000000000001
57,0,3,0,-12.057142857142857,0.323125
58,0,2,0,-15.432142857142857,0.31125
59,3,8,0,-23.331309523809523,0.29937499999999995
60,0,1,0,-16.75,0.2875000000000001
61,0,4,0,-21.182142857142857,0.2756250000000001
62,0,2,0,-13.75,0.26375000000000004
63,0,4,0,-25.317142857142855,0.25187500000000007
64,0,3,0,-10.850000000000001,0.24
65,1,6,0,-11.623214285714285,0.22812500000000002
66,1,5,0,-19.619642857142857,0.21625000000000005
67,0,5,0,-23.217142857142857,0.20437499999999997
68,0,2,0,-16.929642857142856,0.1925
69,0,4,0,-8.546666666666667,0.18062500000000004
70,0,2,0,-14.917142857142856,0.16875000000000007
71,0,2,0,-13.127142857142857,0.1568750000000001
72,0,3,0,-14.158571428571427,0.14500000000000002
73,0,3,0,-28.03880952380952,0.13312500000000005
74,0,2,0,-13.998333333333331,0.12124999999999997
75,0,4,0,-17.74357142857143,0.109375
76,0,1,0,-22.41357142857143,0.09750000000000003
77,2,5,0,-14.085714285714284,0.08562500000000006
78,0,4,0,-16.182142857142857,0.0737500000000001
79,0,3,0,-21.201309523809524,0.06187500000000001
80,0,2,0,-18.716071428571425,0.050000000000000044
81,0,2,0,-14.917142857142858,0.050000000000000044
82,0,6,0,-14.482142857142858,0.050000000000000044
83,0,3,0,-12.207142857142857,0.050000000000000044
84,1,5,0,-33.75714285714287,0.050000000000000044
85,2,7,0,-15.394642857142856,0.050000000000000044
86,0,9,0,-11.889880952380953,0.050000000000000044
87,0,1,0,-18.968809523809526,0.050000000000000044
88,0,4,0,-18.28988095238095,0.050000000000000044
89,0,4,0,-9.6,0.050000000000000044
90,0,3,0,-9.985714285714284,0.050000000000000044
91,0,2,0,-14.638333333333334,0.050000000000000044
92,0,2,0,-19.604642857142856,0.050000000000000044
93,0,3,0,-15.058571428571426,0.050000000000000044
94,0,4,0,-19.136071428571427,0.050000000000000044
95,0,3,0,-11.600000000000001,0.050000000000000044
96,2,4,0,-19.377380952380953,0.050000000000000044
97,1,9,0,-16.758214285714274,0.050000000000000044
98,0,3,0,-12.236666666666666,0.050000000000000044
99,0,3,0,-10.95,0.050000000000000044
