episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,3,0,-17.80464285714286,1.0
1,0,2,0,-11.806666666666667,0.988125
2,0,3,0,-14.957142857142857,0.97625
3,1,3,0,-24.652380952380952,0.964375
4,0,3,0,-16.65714285714286,0.9525
5,0,4,0,-21.117142857142856,0.940625
6,0,2,0,-18.879642857142855,0.92875
7,0,2,0,-15.682142857142857,0.916875
8,0,2,0,-21.895714285714284,0.905
9,0,4,0,-11.767142857142856,0.893125
10,0,2,0,-12.817142857142859,0.88125
11,0,2,0,-15.788809523809524,0.869375
12,0,3,0,-41.96345238095239,0.8575
13,0,2,0,-13.504880952380953,0.8456250000000001
14,0,3,0,-20.732142857142854,0.83375
15,0,1,0,-15.998333333333331,0.821875
16,0,2,0,-18.019642857142856,0.81
17,0,1,0,-16.956666666666663,0.798125
18,0,2,0,-14.168809523809523,0.78625
19,0,3,0,-18.10238095238095,0.774375
20,0,2,0,-26.769642857142856,0.7625
21,0,2,0,-40.719642857142865,0.750625
22,0,1,0,-15.411666666666667,0.73875
23,0,2,0,-13.995714285714286,0.726875
24,0,2,0,-15.107142857142858,0.7150000000000001
25,0,4,0,-9.098333333333333,0.703125
26,0,4,0,-13.807142857142857,0.69125
27,0,4,0,-24.768809523809523,0.6793750000000001
28,0,3,0,-27.369642857142853,0.6675
29,0,3,0,-28.767142857142858,0.655625
30,0,2,0,-12.407142857142857,0.64375
31,0,3,0,-12.307142857142857,0.631875
32,0,3,0,-11.651666666666667,0.62
33,0,2,0,-15.682142857142857,0.608125
34,0,2,0,-12.291666666666668,0.59625
35,0,3,0,-12.139880952380953,0.5843750000000001
36,0,3,0,-14.367142857142857,0.5725
37,0,3,0,-21.738809523809522,0.5606249999999999
38,0,3,0,-11.207142857142857,0.5487500000000001
39,0,2,0,-15.154642857142857,0.536875
40,0,3,0,-15.027380952380952,0.525
41,0,3,0,-17.718809523809526,0.513125
42,0,4,0,-8.799999999999999,0.50125
43,0,2,0,-16.582142857142856,0.489375
44,1,6,0,-17.582142857142856,0.47750000000000004
45,0,2,0,-13.75,0.46562500000000007
46,0,1,0,-19.616309523809523,0.4537500000000001
47,0,6,0,-7.9332142857142856,0.441875
48,0,2,0,-14.207142857142857,0.43000000000000005
49,0,2,0,-14.307142857142857,0.41812499999999997
50,0,3,0,-18.203809523809525,0.40625
51,0,4,0,-22.419642857142858,0.39437500000000003
52,0,3,0,-11.85,0.38250000000000006
53,0,6,0,-20.59464285714286,0.3706250000000001
54,0,3,0,-12.957142857142856,0.35875
55,0,2,0,-17.82988095238095,0.34687500000000004
56,0,2,0,-18.732142857142854,0.3350000000000001
57,0,2,0,-13.807142857142857,0.323125
58,0,6,0,-7.319880952380952,0.31125
59,0,2,0,-18.09464285714286,0.29937499999999995
60,0,3,0,-16.028809523809525,0.2875000000000001
61,0,1,0,-17.267142857142858,0.2756250000000001
62,0,2,0,-13.013333333333332,0.26375000000000004
63,0,3,0,-11.85,0.25187500000000007
64,0,3,0,-18.682142857142857,0.24
65,0,2,0,-13.898333333333333,0.22812500000000002
66,0,3,0,-12.867142857142857,0.21625000000000005
67,0,3,0,-15.33607142857143,0.20437499999999997
68,0,2,0,-25.17964285714286,0.1925
69,0,3,0,-13.658809523809524,0.18062500000000004
70,0,3,0,-12.236666666666666,0.16875000000000007
71,0,2,0,-13.85,0.1568750000000001
72,0,5,0,-21.551309523809525,0.14500000000000002
73,0,3,0,-10.85,0.13312500000000005
74,0,3,0,-28.542142857142856,0.12124999999999997
75,0,5,0,-18.542142857142856,0.109375
76,0,3,0,-17.858809523809523,0.09750000000000003
77,1,2,0,-54.098809523809535,0.08562500000000006
78,1,4,0,-28.351071428571423,0.0737500000000001
79,0,3,0,-14.399999999999999,0.06187500000000001
80,0,3,0,-10.835714285714285,0.050000000000000044
81,0,3,0,-21.917142857142856,0.050000000000000044
82,0,3,0,-16.063809523809525,0.050000000000000044
83,2,3,0,-25.904642857142854,0.050000000000000044
84,0,2,0,-13.314880952380953,0.050000000000000044
85,0,5,0,-16.848214285714285,0.050000000000000044
86,1,7,0,-16.68988095238095,0.050000000000000044
87,2,8,0,-6.0023809523809515,0.050000000000000044
88,0,3,0,-13.168809523809523,0.050000000000000044
89,0,4,0,-17.987380952380953,0.050000000000000044
90,0,3,0,-13.442142857142857,0.050000000000000044
91,0,3,0,-11.998333333333331,0.050000000000000044
92,0,2,0,-15.432142857142855,0.050000000000000044
93,0,4,0,-10.803809523809525,0.050000000000000044
94,0,3,0,-12.767142857142856,0.050000000000000044
95,0,4,0,-10.998333333333331,0.050000000000000044
96,0,3,0,-11.75,0.050000000000000044
97,0,4,0,-8.751666666666667,0.050000000000000044
98,0,3,0,-22.163571428571426,0.050000000000000044
99,0,1,0,-16.056666666666665,0.050000000000000044
