episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,3,0,-18.71964285714286,1.0
1,0,2,0,-27.377380952380953,0.988125
2,0,3,0,-18.288809523809523,0.97625
3,0,2,0,-16.13214285714286,0.964375
4,0,3,0,-17.718809523809522,0.9525
5,0,3,0,-11.75,0.940625
6,0,2,0,-17.087142857142855,0.92875
7,0,2,0,-15.5,0.916875
8,0,3,0,-18.642142857142854,0.905
9,0,2,0,-26.244642857142857,0.893125
10,0,2,0,-13.443333333333335,0.88125
11,0,2,0,-16.582142857142856,0.869375
12,0,3,0,-9.806666666666665,0.8575
13,0,2,0,-24.617142857142856,0.8456250000000001
14,0,4,0,-27.88214285714286,0.83375
15,0,3,0,-10.05,0.821875
16,0,3,0,-11.198333333333334,0.81
17,0,2,0,-16.58607142857143,0.798125
18,0,3,0,-12.364880952380952,0.78625
19,0,3,0,-13.5,0.774375
20,0,4,0,-9.531666666666666,0.7625
21,0,4,0,-34.023214285714275,0.750625
22,0,2,0,-13.307142857142857,0.73875
23,0,3,0,-12.442142857142857,0.726875
24,0,3,0,-11.803333333333333,0.7150000000000001
25,0,3,0,-21.38321428571429,0.703125
26,0,4,0,-16.294642857142858,0.69125
27,0,6,0,-8.302380952380952,0.6793750000000001
28,0,3,0,-12.207142857142857,0.6675
29,0,1,0,-20.522142857142857,0.655625
30,0,2,0,-13.85,0.64375
31,0,4,0,-17.079642857142858,0.631875
32,0,2,0,-25.342142857142857,0.62
33,0,3,0,-12.600000000000001,0.608125
34,0,3,0,-13.760714285714286,0.59625
35,0,4,0,-9.988809523809524,0.5843750000000001
36,0,3,0,-19.456071428571427,0.5725
37,0,4,0,-13.194642857142858,0.5606249999999999
38,0,5,0,-30.742619047619044,0.5487500000000001
39,0,2,0,-18.019642857142856,0.536875
40,0,3,0,-14.219642857142857,0.525
41,0,1,0,-12.606666666666666,0.513125
42,0,3,0,-22.482142857142854,0.50125
43,0,3,0,-14.717142857142857,0.489375
44,0,3,0,-15.603809523809524,0.47750000000000004
45,0,1,0,-16.53214285714286,0.46562500000000007
46,0,3,0,-13.363809523809524,0.4537500000000001
47,0,3,0,-13.867142857142857,0.441875
48,0,2,0,-15.907142857142857,0.43000000000000005
49,0,1,0,-24.473214285714285,0.41812499999999997
50,0,3,0,-21.579642857142858,0.40625
51,0,3,0,-14.332142857142857,0.39437500000000003
52,0,2,0,-15.509642857142856,0.38250000000000006
53,2,6,0,-27.069642857142853,0.3706250000000001
54,0,2,0,-24.188809523809525,0.35875
55,0,2,0,-14.442142857142857,0.34687500000000004
56,0,5,0,-19.067142857142855,0.3350000000000001
57,0,4,0,-10.431666666666667,0.323125
58,0,2,0,-15.442142857142857,0.31125
59,0,2,0,-16.118809523809524,0.29937499999999995
60,0,1,0,-18.81964285714286,0.2875000000000001
61,0,3,0,-13.5,0.2756250000000001
62,0,4,0,-14.470714285714285,0.26375000000000004
63,0,3,0,-22.178809523809523,0.25187500000000007
64,0,5,0,-17.189642857142857,0.24
65,1,3,0,-24.176071428571426,0.22812500000000002
66,0,2,0,-13.675,0.21625000000000005
67,0,3,0,-13.107142857142858,0.20437499999999997
68,0,3,0,-10.318809523809524,0.1925
69,0,4,0,-11.767142857142858,0.18062500000000004
70,0,2,0,-26.931309523809524,0.16875000000000007
71,0,2,0,-13.007380952380952,0.1568750000000001
72,0,3,0,-15.019642857142857,0.14500000000000002
73,0,2,0,-14.582142857142857,0.13312500000000005
74,0,2,0,-15.582142857142857,0.12124999999999997
75,0,4,0,-19.754642857142855,0.109375
76,0,5,0,-18.28988095238095,0.09750000000000003
77,0,5,0,-37.056309523809524,0.08562500000000006
78,0,3,0,-11.013333333333334,0.0737500000000001
79,0,2,0,-13.682142857142857,0.06187500000000001
80,0,4,0,-13.531071428571428,0.050000000000000044
81,0,3,0,-10.850000000000001,0.050000000000000044
82,0,6,0,-8.367380952380952,0.050000000000000044
83,0,3,0,-7.7023809523809526,0.050000000000000044
84,0,7,0,-12.842142857142857,0.050000000000000044
85,0,2,0,-13.542142857142858,0.050000000000000044
86,0,2,0,-12.85,0.050000000000000044
87,0,3,0,-11.013333333333332,0.050000000000000044
88,0,4,0,-9.245714285714286,0.050000000000000044
89,0,3,0,-15.457380952380952,0.050000000000000044
90,0,5,0,-19.152380952380952,0.050000000000000044
91,0,2,0,-14.75,0.050000000000000044
92,0,2,0,-22.476309523809526,0.050000000000000044
93,0,3,0,-12.75,0.050000000000000044
94,0,2,0,-12.85,0.050000000000000044
95,0,3,0,-26.363809523809522,0.050000000000000044
96,0,3,0,-20.167142857142856,0.050000000000000044
97,0,3,0,-12.442142857142857,0.050000000000000044
98,0,2,0,-29.41630952380953,0.050000000000000044
99,0,2,0,-14.316666666666666,0.050000000000000044
