episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,3,0,-18.53214285714286,1.0
1,0,5,0,-13.135357142857142,0.988125
2,0,3,0,-23.107142857142858,0.97625
3,0,3,0,-31.729642857142856,0.964375
4,0,2,0,-38.75714285714286,0.9525
5,0,5,0,-9.858214285714286,0.940625
6,0,2,0,-11.306666666666667,0.92875
7,0,3,0,-15.482142857142858,0.916875
8,0,3,0,-19.96964285714286,0.905
9,0,5,0,-8.379880952380953,0.893125
10,0,2,0,-21.893809523809523,0.88125
11,0,3,0,-30.942142857142855,0.869375
12,0,3,0,-10.95,0.8575
13,0,2,0,-15.107142857142858,0.8456250000000001
14,0,2,0,-12.443333333333335,0.83375
15,0,4,0,-9.198333333333332,0.821875
16,0,2,0,-17.207142857142856,0.81
17,0,2,0,-13.75,0.798125
18,0,2,0,-12.003333333333332,0.78625
19,0,2,0,-19.994642857142857,0.774375
20,0,2,0,-17.163809523809526,0.7625
21,0,4,0,-17.207142857142856,0.750625
22,0,2,0,-16.342142857142857,0.73875
23,0,3,0,-19.768809523809523,0.726875
24,0,4,0,-9.998333333333331,0.7150000000000001
25,0,3,0,-15.163809523809524,0.703125
26,0,2,0,-15.477142857142855,0.69125
27,0,4,0,-21.044642857142858,0.6793750000000001
28,0,3,0,-11.803333333333333,0.6675
29,0,3,0,-19.307142857142857,0.655625
30,0,4,0,-14.692142857142857,0.64375
31,0,3,0,-11.651666666666667,0.631875
32,0,3,0,-15.807142857142857,0.62
33,0,3,0,-14.107142857142858,0.608125
34,0,6,0,-28.177380952380954,0.59625
35,0,3,0,-14.720714285714285,0.5843750000000001
36,0,5,0,-19.804642857142856,0.5725
37,0,4,0,-18.291309523809524,0.5606249999999999
38,0,3,0,-12.998333333333331,0.5487500000000001
39,0,2,0,-23.037619047619046,0.536875
40,0,1,0,-24.38321428571429,0.525
41,0,2,0,-16.10238095238095,0.513125
42,0,4,0,-9.913333333333334,0.50125
43,0,3,0,-15.192142857142859,0.489375
44,0,2,0,-20.678809523809523,0.47750000000000004
45,0,3,0,-15.657142857142857,0.46562500000000007
46,0,3,0,-14.169642857142858,0.4537500000000001
47,0,3,0,-13.013571428571428,0.441875
48,0,3,0,-18.694642857142856,0.43000000000000005
49,0,2,0,-14.207142857142857,0.41812499999999997
50,0,1,0,-15.803333333333333,0.40625
51,0,3,0,-16.80238095238095,0.39437500000000003
52,0,2,0,-28.248214285714283,0.38250000000000006
53,0,3,0,-14.536071428571429,0.3706250000000001
54,0,2,0,-16.187142857142856,0.35875
55,0,6,0,-6.709880952380952,0.34687500000000004
56,0,3,0,-14.911071428571427,0.3350000000000001
57,0,2,0,-17.332142857142856,0.323125
58,0,2,0,-12.642142857142858,0.31125
59,0,5,0,-19.009880952380954,0.29937499999999995
60,0,4,0,-13.587142857142856,0.2875000000000001
61,0,3,0,-21.069642857142856,0.2756250000000001
62,0,2,0,-11.521666666666667,0.26375000000000004
63,0,2,0,-15.392142857142858,0.25187500000000007
64,0,3,0,-13.492142857142857,0.24
65,0,4,0,-11.057142857142857,0.22812500000000002
66,0,1,0,-26.704642857142858,0.21625000000000005
67,1,4,0,-25.969642857142855,0.20437499999999997
68,0,4,0,-11.913571428571428,0.1925
69,0,4,0,-18.948214285714283,0.18062500000000004
70,0,4,0,-10.113571428571428,0.16875000000000007
71,0,3,0,-12.957142857142857,0.1568750000000001
72,0,3,0,-16.332142857142856,0.14500000000000002
73,0,4,0,-20.776309523809527,0.13312500000000005
74,0,3,0,-14.998214285714285,0.12124999999999997
75,0,3,0,-25.316309523809522,0.109375
76,0,3,0,-20.53404761904762,0.09750000000000003
77,0,2,0,-21.734642857142855,0.08562500000000006
78,0,3,0,-12.582142857142857,0.0737500000000001
79,0,2,0,-16.482142857142858,0.06187500000000001
80,0,2,0,-12.850000000000001,0.050000000000000044
81,0,3,0,-11.542142857142856,0.050000000000000044
82,0,4,0,-20.135714285714286,0.050000000000000044
83,0,4,0,-9.336666666666666,0.050000000000000044
84,0,4,0,-19.48130952380952,0.050000000000000044
85,1,13,0,-40.24130952380953,0.050000000000000044
86,2,6,0,-11.83738095238095,0.050000000000000044
87,0,2,0,-12.885714285714286,0.050000000000000044
88,0,2,0,-11.95,0.050000000000000044
89,0,4,0,-25.364880952380954,0.050000000000000044
90,0,2,0,-9.566666666666666,0.050000000000000044
91,0,3,0,-10.85,0.050000000000000044
92,0,3,0,-12.307142857142857,0.050000000000000044
93,0,2,0,-15.682142857142857,0.050000000000000044
94,0,4,0,-9.558214285714286,0.050000000000000044
95,0,5,0,-16.48988095238095,0.050000000000000044
96,0,4,0,-16.620714285714286,0.050000000000000044
97,0,2,0,-11.611666666666666,0.050000000000000044
98,0,3,0,-13.392142857142858,0.050000000000000044
99,0,2,0,-20.908571428571427,0.050000000000000044
