episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,2,0,-18.02880952380952,1.0
1,0,3,0,-14.399999999999999,0.9998515625
2,0,2,0,-12.903333333333332,0.999703125
3,0,2,0,-20.894642857142856,0.9995546875
4,0,3,0,-10.998333333333335,0.99940625
5,0,1,0,-17.342142857142857,0.9992578125
6,0,3,0,-40.211309523809526,0.999109375
7,0,3,0,-10.198333333333334,0.9989609375
8,0,5,0,-8.694880952380952,0.9988125
9,0,4,0,-9.998333333333331,0.9986640625
10,0,2,0,-11.32095238095238,0.998515625
11,0,2,0,-15.482142857142858,0.9983671875
12,0,5,0,-37.85714285714286,0.99821875
13,0,3,0,-21.803809523809527,0.9980703125
14,0,4,0,-9.6,0.997921875
15,0,4,0,-13.163809523809523,0.9977734375
16,0,3,0,-12.236666666666666,0.997625
17,0,3,0,-12.017142857142858,0.9974765625
18,0,2,0,-15.057380952380953,0.997328125
19,0,2,0,-13.307142857142857,0.9971796875
20,0,4,0,-14.042142857142856,0.99703125
21,0,3,0,-35.228809523809524,0.9968828125
22,0,3,0,-11.531666666666666,0.996734375
23,0,3,0,-21.643809523809523,0.9965859375
24,0,4,0,-26.967142857142854,0.9964375
25,0,4,0,-9.803333333333333,0.9962890625
26,0,2,0,-14.998333333333331,0.996140625
27,0,4,0,-11.136666666666667,0.9959921875
28,0,2,0,-14.803809523809525,0.99584375
29,0,2,0,-23.11714285714286,0.9956953125
30,0,2,0,-14.75,0.995546875
31,0,3,0,-11.75,0.9953984375
32,0,2,0,-29.53107142857143,0.99525
33,0,2,0,-18.192142857142855,0.9951015625
34,0,2,0,-16.582142857142856,0.994953125
35,0,4,0,-8.751666666666667,0.9948046875
36,0,5,0,-23.792142857142856,0.99465625
37,0,4,0,-13.704880952380952,0.9945078125
38,0,2,0,-22.65714285714286,0.994359375
39,0,3,0,-10.998333333333335,0.9942109375
40,0,3,0,-14.293809523809523,0.9940625
41,0,2,0,-13.291666666666668,0.9939140625
42,0,3,0,-10.850000000000001,0.993765625
43,0,2,0,-18.883214285714285,0.9936171875
44,0,3,0,-14.797380952380951,0.99346875
45,0,2,0,-12.85,0.9933203125
46,0,2,0,-28.678809523809523,0.993171875
47,0,3,0,-18.401309523809523,0.9930234375
48,0,2,0,-13.642142857142858,0.992875
49,0,1,0,-17.857142857142858,0.9927265625
50,0,3,0,-13.342142857142857,0.992578125
51,0,5,0,-29.88988095238095,0.9924296875
52,0,3,0,-22.051309523809522,0.99228125
53,0,3,0,-16.807142857142857,0.9921328125
54,0,2,0,-19.408214285714287,0.991984375
55,0,3,0,-12.75,0.9918359375
56,0,0,0,-16.391666666666666,0.9916875
57,0,2,0,-26.188809523809525,0.9915390625
58,0,0,0,-16.543333333333333,0.991390625
59,0,3,0,-12.346666666666668,0.9912421875
60,0,3,0,-12.032142857142858,0.99109375
61,0,3,0,-13.653809523809525,0.9909453125
62,0,2,0,-24.979642857142856,0.990796875
63,0,3,0,-12.998333333333331,0.9906484375
64,0,3,0,-9.511666666666667,0.9905
65,0,2,0,-12.734880952380951,0.9903515625
66,0,3,0,-11.75,0.990203125
67,0,4,0,-9.198333333333334,0.9900546875
68,0,4,0,-13.336071428571428,0.98990625
69,0,2,0,-12.207142857142857,0.9897578125
70,0,5,0,-27.243809523809517,0.989609375
71,0,3,0,-22.706309523809523,0.9894609375
