episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,3,0,-16.928809523809523,1.0
1,0,3,0,-14.068809523809524,0.9998515625
2,0,3,0,-16.019642857142856,0.999703125
3,0,5,0,-26.706309523809523,0.9995546875
4,0,3,0,-14.952380952380953,0.99940625
5,0,3,0,-22.808809523809522,0.9992578125
6,0,2,0,-13.85,0.999109375
7,0,1,0,-15.443333333333333,0.9989609375
8,0,4,0,-14.417142857142858,0.9988125
9,0,2,0,-14.5,0.9986640625
10,0,4,0,-9.6,0.998515625
11,0,3,0,-21.06357142857143,0.9983671875
12,0,1,0,-15.651666666666667,0.99821875
13,0,4,0,-8.113333333333333,0.9980703125
14,0,2,0,-19.533214285714287,0.997921875
15,0,6,0,-13.974047619047619,0.9977734375
16,0,1,0,-15.521666666666667,0.997625
17,0,3,0,-12.236666666666666,0.9974765625
18,0,2,0,-12.873333333333333,0.997328125
19,0,2,0,-23.84464285714286,0.9971796875
20,0,2,0,-13.198333333333334,0.99703125
21,0,3,0,-15.163809523809523,0.9968828125
22,0,0,0,-24.90488095238095,0.996734375
23,0,3,0,-12.098333333333333,0.9965859375
24,0,4,0,-10.346666666666668,0.9964375
25,0,3,0,-13.717142857142857,0.9962890625
26,0,2,0,-15.308214285714286,0.996140625
27,0,4,0,-10.19845238095238,0.9959921875
28,0,4,0,-9.913333333333334,0.99584375
29,0,3,0,-12.442142857142859,0.9956953125
30,0,3,0,-16.456309523809523,0.995546875
31,0,3,0,-18.093809523809526,0.9953984375
32,0,1,0,-17.14738095238095,0.99525
33,0,2,0,-17.163809523809526,0.9951015625
34,0,3,0,-19.15714285714286,0.994953125
35,0,2,0,-15.348214285714285,0.9948046875
36,0,3,0,-11.651666666666667,0.99465625
37,0,3,0,-14.91357142857143,0.9945078125
38,0,2,0,-14.207142857142857,0.994359375
39,0,3,0,-15.707142857142856,0.9942109375
40,0,4,0,-8.003333333333334,0.9940625
41,0,2,0,-24.413809523809526,0.9939140625
42,0,2,0,-16.322380952380954,0.993765625
43,0,4,0,-8.903333333333332,0.9936171875
44,0,4,0,-9.6,0.99346875
45,0,2,0,-12.873333333333333,0.9933203125
46,0,2,0,-30.592142857142857,0.993171875
47,0,2,0,-16.057142857142857,0.9930234375
48,0,4,0,-8.003333333333334,0.992875
49,0,1,0,-15.577142857142857,0.9927265625
50,0,1,0,-27.55464285714286,0.992578125
51,0,2,0,-12.606666666666666,0.9924296875
52,0,1,0,-27.41130952380952,0.99228125
53,0,2,0,-20.96964285714286,0.9921328125
54,0,3,0,-42.43214285714285,0.991984375
55,0,2,0,-14.091666666666665,0.9918359375
56,0,3,0,-12.187142857142856,0.9916875
57,0,3,0,-11.803333333333333,0.9915390625
58,0,3,0,-13.482142857142858,0.991390625
59,0,3,0,-13.5,0.9912421875
