episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,3,0,-10.642142857142858,1.0
1,0,2,0,-18.804642857142856,0.9998515625
2,0,1,0,-32.69380952380952,0.999703125
3,0,3,0,-15.119642857142857,0.9995546875
4,0,2,0,-11.543333333333333,0.99940625
5,0,3,0,-24.97607142857143,0.9992578125
6,0,2,0,-21.432142857142857,0.999109375
7,0,2,0,-14.307142857142857,0.9989609375
8,0,3,0,-16.343809523809526,0.9988125
9,0,3,0,-11.75,0.9986640625
10,0,2,0,-13.198333333333334,0.998515625
11,0,3,0,-13.582142857142857,0.9983671875
12,0,1,0,-14.475000000000001,0.99821875
13,0,4,0,-8.436666666666667,0.9980703125
14,0,3,0,-21.361071428571428,0.997921875
15,0,4,0,-13.904880952380953,0.9977734375
16,0,3,0,-26.369642857142857,0.997625
17,0,3,0,-11.651666666666667,0.9974765625
18,0,3,0,-14.438571428571429,0.997328125
19,0,2,0,-15.207142857142857,0.9971796875
20,0,3,0,-11.682142857142857,0.99703125
21,0,3,0,-19.67964285714286,0.9968828125
22,0,2,0,-23.693809523809524,0.996734375
23,0,2,0,-20.568809523809524,0.9965859375
24,0,3,0,-15.482142857142858,0.9964375
25,0,2,0,-14.368809523809523,0.9962890625
26,0,4,0,-10.432142857142857,0.996140625
27,0,2,0,-14.600000000000001,0.9959921875
28,0,3,0,-13.319880952380952,0.99584375
29,0,3,0,-25.71964285714286,0.9956953125
30,0,3,0,-39.013571428571424,0.995546875
31,0,4,0,-20.742142857142856,0.9953984375
32,0,3,0,-15.707142857142857,0.99525
33,0,3,0,-22.307142857142857,0.9951015625
34,0,2,0,-17.858571428571427,0.994953125
35,0,3,0,-13.582142857142857,0.9948046875
36,0,4,0,-8.751666666666667,0.99465625
37,0,3,0,-14.667142857142856,0.9945078125
38,0,3,0,-14.660714285714286,0.994359375
39,0,3,0,-16.44214285714286,0.9942109375
40,0,2,0,-14.638333333333334,0.9940625
41,0,2,0,-22.127380952380953,0.9939140625
42,0,4,0,-10.803809523809525,0.993765625
43,0,3,0,-11.913333333333334,0.9936171875
44,0,2,0,-21.566309523809522,0.99346875
45,0,4,0,-11.995714285714286,0.9933203125
46,0,3,0,-19.288809523809526,0.993171875
47,0,3,0,-10.645714285714286,0.9930234375
48,0,3,0,-13.107142857142858,0.992875
49,0,2,0,-20.699285714285715,0.9927265625
50,0,4,0,-27.516309523809525,0.992578125
51,0,4,0,-8.003333333333334,0.9924296875
52,0,3,0,-14.477380952380951,0.99228125
53,0,3,0,-15.436071428571427,0.9921328125
54,0,3,0,-17.183214285714286,0.991984375
55,0,2,0,-15.331666666666667,0.9918359375
56,0,2,0,-26.28107142857143,0.9916875
57,0,3,0,-16.919642857142858,0.9915390625
58,0,3,0,-11.803333333333333,0.991390625
59,0,2,0,-15.107142857142858,0.9912421875
60,0,2,0,-19.092142857142857,0.99109375
61,0,1,0,-17.708214285714284,0.9909453125
62,0,3,0,-23.05238095238095,0.990796875
63,0,3,0,-15.152380952380952,0.9906484375
64,0,3,0,-13.013571428571428,0.9905
65,0,2,0,-16.068809523809524,0.9903515625
66,0,3,0,-15.667142857142856,0.990203125
67,0,3,0,-14.957142857142857,0.9900546875
68,0,5,0,-13.842142857142857,0.98990625
69,0,2,0,-14.888809523809524,0.9897578125
70,0,1,0,-18.656309523809526,0.989609375
71,0,3,0,-12.542142857142856,0.9894609375
72,0,2,0,-29.16880952380952,0.9893125
73,0,3,0,-14.057142857142857,0.9891640625
74,0,4,0,-18.235714285714288,0.989015625
75,0,4,0,-13.807142857142857,0.9888671875
76,0,3,0,-11.773333333333333,0.98871875
77,0,2,0,-12.903333333333332,0.9885703125
78,0,4,0,-27.982142857142858,0.988421875
79,0,4,0,-8.307142857142857,0.9882734375
80,0,1,0,-29.367142857142856,0.988125
81,0,3,0,-13.788809523809524,0.9879765625
82,0,3,0,-13.136666666666667,0.9878281250000001
83,0,3,0,-25.104642857142856,0.9876796875
84,0,3,0,-15.718809523809524,0.98753125
85,0,5,0,-43.89130952380952,0.9873828125
86,0,3,0,-10.631666666666666,0.987234375
87,0,3,0,-10.754642857142859,0.9870859375
88,0,1,0,-22.693809523809524,0.9869375
89,0,4,0,-23.813809523809525,0.9867890625
90,0,1,0,-16.674999999999997,0.986640625
91,0,1,0,-14.706666666666667,0.9864921875
92,0,3,0,-23.781309523809526,0.98634375
93,0,3,0,-13.136666666666667,0.9861953125
94,0,4,0,-17.457142857142856,0.986046875
95,0,1,0,-21.844642857142855,0.9858984375
96,0,2,0,-27.754642857142855,0.98575
97,0,2,0,-20.504642857142855,0.9856015625
98,0,2,0,-17.187142857142856,0.985453125
99,0,5,0,-15.98988095238095,0.9853046875
100,0,4,0,-14.607142857142858,0.98515625
101,0,2,0,-19.40595238095238,0.9850078125
102,0,1,0,-15.651666666666667,0.984859375
103,0,3,0,-14.392142857142858,0.9847109375
104,0,3,0,-34.141309523809525,0.9845625
105,0,2,0,-12.903333333333332,0.9844140625
106,0,2,0,-20.303809523809523,0.984265625
107,0,4,0,-33.26238095238095,0.9841171875
108,0,2,0,-18.417142857142856,0.98396875
109,0,4,0,-9.998333333333331,0.9838203125
110,0,2,0,-13.998333333333331,0.983671875
111,0,2,0,-16.807142857142857,0.9835234375
112,0,0,0,-17.410714285714285,0.983375
113,0,1,0,-15.291666666666666,0.9832265625
114,0,3,0,-14.219642857142857,0.983078125
115,0,3,0,-15.436071428571427,0.9829296875
116,0,4,0,-9.803333333333333,0.98278125
117,0,1,0,-24.332142857142856,0.9826328125
118,0,3,0,-14.727380952380951,0.982484375
119,0,4,0,-8.751666666666667,0.9823359375
120,0,4,0,-17.144642857142856,0.9821875
121,0,3,0,-15.868809523809524,0.9820390625
122,0,2,0,-13.774999999999999,0.981890625
123,0,2,0,-15.292142857142858,0.9817421875
124,0,1,0,-18.60988095238095,0.98159375
125,0,2,0,-15.968809523809524,0.9814453125
126,0,2,0,-13.85,0.981296875
127,0,3,0,-13.107142857142858,0.9811484375
128,0,3,0,-28.414880952380955,0.981
129,0,3,0,-17.027380952380952,0.9808515625
130,0,3,0,-21.31321428571428,0.980703125
131,0,3,0,-16.739047619047618,0.9805546875
132,0,4,0,-10.236666666666666,0.98040625
133,0,3,0,-13.342142857142857,0.9802578125
134,0,1,0,-16.052142857142854,0.980109375
135,0,1,0,-20.57238095238095,0.9799609375
136,0,3,0,-13.246666666666666,0.9798125
137,0,3,0,-11.098333333333333,0.9796640625
138,0,4,0,-14.279642857142857,0.979515625
139,0,3,0,-23.881309523809527,0.9793671875
140,0,1,0,-21.267142857142858,0.97921875
141,0,4,0,-11.136666666666667,0.9790703125
142,0,2,0,-15.917142857142858,0.978921875
143,0,2,0,-13.156666666666666,0.9787734375
144,0,3,0,-11.803333333333333,0.978625
145,0,3,0,-14.817142857142857,0.9784765625
146,0,3,0,-19.542142857142856,0.978328125
147,0,3,0,-22.866309523809523,0.9781796875
148,0,3,0,-13.068809523809524,0.97803125
149,0,4,0,-25.704642857142858,0.9778828125
150,0,2,0,-17.829642857142858,0.977734375
151,0,4,0,-20.889642857142857,0.9775859375
152,0,3,0,-14.107142857142858,0.9774375
153,0,4,0,-18.520714285714284,0.9772890625
154,0,4,0,-13.436071428571427,0.977140625
155,0,3,0,-20.063571428571425,0.9769921875
156,0,3,0,-12.942142857142855,0.97684375
157,0,2,0,-13.85,0.9766953125
158,0,3,0,-12.098333333333333,0.976546875
159,0,2,0,-20.513809523809524,0.9763984375
160,0,3,0,-12.098333333333333,0.97625
161,0,3,0,-13.658809523809524,0.9761015625
162,0,4,0,-37.27964285714286,0.975953125
163,0,4,0,-14.334880952380953,0.9758046875
164,0,3,0,-11.651666666666667,0.97565625
165,0,3,0,-11.098333333333333,0.9755078125
166,0,3,0,-21.40714285714286,0.975359375
167,0,3,0,-10.85,0.9752109375
168,0,3,0,-14.532142857142857,0.9750625
169,0,4,0,-21.210714285714285,0.9749140625
170,0,3,0,-12.346666666666666,0.974765625
171,0,3,0,-13.788809523809523,0.9746171875
172,0,3,0,-11.75,0.97446875
