episode,coins_collected,crates_destroyed,opponents_killed,total_reward,epsilon
0,0,2,0,-10.938333333333333,1.0
1,0,2,0,-14.75,0.9998515625
2,0,2,0,-11.838333333333335,0.999703125
3,0,4,0,-9.913333333333334,0.9995546875
4,0,5,0,-9.109880952380951,0.99940625
5,0,3,0,-11.852380952380951,0.9992578125
6,0,6,0,-6.354880952380952,0.999109375
7,0,3,0,-10.519642857142857,0.9989609375
8,0,2,0,-17.897142857142853,0.9988125
9,0,2,0,-31.792142857142856,0.9986640625
10,0,2,0,-14.998333333333331,0.998515625
11,0,2,0,-13.717142857142857,0.9983671875
12,0,4,0,-14.044642857142858,0.99821875
13,0,3,0,-23.462142857142858,0.9980703125
14,0,2,0,-12.211666666666666,0.997921875
15,0,3,0,-10.751666666666665,0.9977734375
16,0,1,0,-13.653333333333334,0.997625
17,0,2,0,-20.133571428571425,0.9974765625
18,0,2,0,-22.768809523809523,0.997328125
19,0,3,0,-16.928809523809523,0.9971796875
20,0,3,0,-11.85,0.99703125
21,0,4,0,-9.098333333333333,0.9968828125
22,0,3,0,-10.832142857142857,0.996734375
23,0,4,0,-13.264880952380953,0.9965859375
24,0,3,0,-13.582142857142857,0.9964375
25,0,3,0,-16.192142857142855,0.9962890625
26,0,1,0,-16.737142857142857,0.996140625
27,0,2,0,-24.378809523809522,0.9959921875
28,0,2,0,-14.998333333333331,0.99584375
29,0,4,0,-14.357142857142858,0.9956953125
30,0,3,0,-12.5,0.995546875
31,0,2,0,-22.044642857142858,0.9953984375
32,0,4,0,-25.252380952380953,0.99525
33,0,3,0,-13.442142857142857,0.9951015625
34,0,1,0,-25.354642857142856,0.994953125
35,0,4,0,-11.136666666666667,0.9948046875
36,0,1,0,-16.207142857142856,0.99465625
37,0,3,0,-14.817142857142859,0.9945078125
38,0,1,0,-16.993809523809524,0.994359375
39,0,3,0,-25.417142857142856,0.9942109375
40,0,4,0,-15.191309523809524,0.9940625
41,0,1,0,-20.06845238095238,0.9939140625
42,0,4,0,-15.093809523809524,0.993765625
43,0,2,0,-27.064880952380953,0.9936171875
44,0,3,0,-10.903333333333332,0.99346875
45,0,2,0,-12.903333333333332,0.9933203125
46,0,3,0,-21.213571428571427,0.993171875
47,0,4,0,-9.803333333333333,0.9930234375
48,0,1,0,-19.332142857142856,0.992875
49,0,2,0,-15.647142857142857,0.9927265625
50,0,5,0,-8.144880952380952,0.992578125
51,0,3,0,-16.024880952380954,0.9924296875
52,0,2,0,-18.919642857142858,0.99228125
53,0,3,0,-11.198333333333334,0.9921328125
54,0,2,0,-15.777619047619048,0.991984375
55,0,2,0,-29.84464285714286,0.9918359375
56,0,4,0,-10.431666666666667,0.9916875
57,0,3,0,-22.657142857142855,0.9915390625
58,0,6,0,-6.858214285714285,0.991390625
59,0,3,0,-11.998333333333331,0.9912421875
60,0,4,0,-15.353809523809524,0.99109375
61,0,3,0,-9.95,0.9909453125
62,0,3,0,-14.757142857142856,0.990796875
63,0,3,0,-11.998333333333331,0.9906484375
64,0,3,0,-12.214880952380952,0.9905
65,0,2,0,-41.73571428571429,0.9903515625
66,0,4,0,-12.388571428571428,0.990203125
67,0,3,0,-15.453809523809523,0.9900546875
68,0,3,0,-17.182142857142857,0.98990625
69,0,2,0,-20.557142857142857,0.9897578125
70,0,3,0,-17.104642857142856,0.989609375
71,0,3,0,-12.017142857142858,0.9894609375
72,0,3,0,-11.606666666666666,0.9893125
73,0,4,0,-9.198333333333334,0.9891640625
74,0,3,0,-14.918809523809523,0.989015625
75,0,3,0,-14.817142857142857,0.9888671875
76,0,3,0,-14.968809523809524,0.98871875
77,0,2,0,-18.718809523809526,0.9885703125
78,0,2,0,-50.44464285714287,0.988421875
79,0,4,0,-35.05380952380952,0.9882734375
80,0,3,0,-18.764642857142857,0.988125
81,0,2,0,-17.292142857142856,0.9879765625
82,0,1,0,-15.139880952380953,0.9878281250000001
83,0,3,0,-11.098333333333333,0.9876796875
84,0,2,0,-12.543333333333333,0.98753125
85,0,3,0,-16.453809523809525,0.9873828125
86,0,2,0,-18.332142857142856,0.987234375
87,0,3,0,-10.751666666666667,0.9870859375
88,0,4,0,-24.433214285714286,0.9869375
