episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,states_visited
1,26,0,0,2,1,-10.838,0.9997,1,0,6
2,5,0,0,3,1,-5.005,0.9994,1,0,10
3,14,0,0,2,1,-6.862,0.9991,1,0,13
4,22,0,0,2,1,-12.226,0.9988,1,0,13
5,14,0,0,3,1,-9.532,0.9985,1,0,13
6,6,0,0,2,1,-5.738,0.9982,1,0,18
7,5,0,0,3,1,-5.485,0.9979,1,0,20
8,9,0,0,1,1,-6.457,0.9976,1,0,20
9,7,0,0,3,1,-6.591,0.9973,1,0,20
10,12,0,0,4,1,-7.876,0.997,1,0,20
11,25,0,0,2,1,-11.815,0.9967,1,0,21
12,9,0,0,2,1,-6.727,0.9964,1,0,22
13,9,0,0,5,1,-6.317,0.9961,1,0,23
14,11,0,0,3,1,-8.003,0.9958,1,0,23
15,14,0,0,3,1,-8.172,0.9955,1,0,23
16,6,0,0,2,1,-6.718,0.9952,1,0,23
17,19,0,0,5,1,-9.807,0.9949,1,0,25
18,10,0,0,3,1,-8.6,0.9946,1,0,25
19,11,0,0,3,1,-8.003,0.9943,1,0,25
20,7,0,0,2,1,-6.221,0.994,1,0,25
21,6,0,0,4,1,-5.938,0.9937,1,0,25
22,7,0,0,3,1,-6.091,0.9934,1,0,25
23,6,0,0,3,1,-6.568,0.9931,1,0,25
24,5,0,0,2,1,-6.215,0.9928,1,0,25
25,8,0,0,4,1,-6.424,0.9925,1,0,25
26,15,0,0,2,1,-7.345,0.9922,1,0,25
27,7,0,0,4,1,-6.821,0.9919,1,0,25
28,7,0,0,3,1,-6.071,0.9916,1,0,25
29,13,0,0,4,2,-6.999,0.9913,1,0,25
30,5,0,0,4,1,-6.315,0.991,1,0,25
31,9,0,0,4,1,-5.967,0.9907,1,0,25
32,10,0,0,6,1,-6.19,0.9904,1,0,25
33,25,0,0,3,1,-10.685,0.9901,1,0,30
34,9,0,0,2,1,-6.267,0.9898,1,0,30
35,7,0,0,3,1,-6.591,0.9895,1,0,30
36,7,0,0,2,1,-5.761,0.9892,1,0,30
37,6,0,0,2,1,-5.738,0.9889,1,0,30
38,19,0,0,4,2,-9.517,0.9886,1,0,30
39,11,0,0,4,1,-6.973,0.9883,1,0,30
40,6,0,0,2,1,-6.718,0.988,1,0,30
41,5,0,0,4,1,-5.915,0.9877,1,0,30
42,10,0,0,2,1,-6.29,0.9874,1,0,30
43,10,0,0,2,1,-6.75,0.9871,1,0,30
44,9,0,0,2,1,-6.287,0.9868,1,0,32
45,14,0,0,3,1,-7.512,0.9865,1,0,32
46,5,0,0,2,1,-6.215,0.9862,1,0,33
47,12,0,0,3,1,-8.426,0.9859,1,0,33
48,9,0,0,3,1,-8.077,0.9856,1,0,33
49,7,0,0,3,1,-6.591,0.9853,1,0,33
50,10,0,0,2,1,-8.25,0.985,1,0,33
51,10,0,0,4,1,-6.47,0.9847,1,0,33
52,6,0,0,3,1,-5.988,0.9844,1,0,33
53,5,0,0,2,1,-6.215,0.9841,1,0,33
54,11,0,0,2,1,-7.253,0.9838,1,0,33
55,9,0,0,3,1,-7.097,0.9835,1,0,33
56,6,0,0,3,1,-5.588,0.9832,1,0,33
57,7,0,0,1,1,-5.931,0.9829,1,0,33
58,24,0,0,2,1,-9.432,0.9826,1,0,33
59,13,0,0,1,1,-8.409,0.9823,1,0,35
60,7,0,0,3,1,-6.011,0.982,1,0,35
61,14,0,0,1,1,-9.912,0.9817,1,0,35
62,5,0,0,4,1,-5.915,0.9814,1,0,35
63,16,0,0,2,1,-9.788,0.9811,1,0,35
64,9,0,0,2,1,-6.747,0.9808,1,0,36
65,9,0,0,2,1,-7.727,0.9805,1,0,36
66,12,0,0,1,1,-8.826,0.9802,1,0,38
67,6,0,0,3,1,-6.068,0.9799,1,0,38
68,5,0,0,4,1,-5.915,0.9796,1,0,38
69,5,0,0,3,1,-5.105,0.9793,1,0,38
70,5,0,0,4,1,-5.435,0.979,1,0,38
71,5,0,0,2,1,-5.635,0.9787,1,0,38
72,23,0,0,4,1,-11.069,0.9784,1,0,38
73,7,0,0,3,1,-5.631,0.9781,1,0,38
74,5,0,0,4,1,-5.435,0.9778,1,0,38
75,7,0,0,3,1,-6.491,0.9775,1,0,38
76,5,0,0,3,1,-5.005,0.9772,1,0,38
77,18,0,0,3,1,-8.204,0.9769,1,0,38
78,9,0,0,1,1,-5.937,0.9766,1,0,38
79,14,0,0,3,1,-8.152,0.9763,1,0,38
80,35,0,0,7,3,-14.035,0.976,1,0,39
