episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,400,18,18,0,0,-52.4,0.9995,0,1,13.2189
2,400,18,18,0,0,-48.75,0.999,0,1,52.1235
3,400,6,6,0,0,-67.55,0.9986,0,1,209.3555
4,400,11,11,0,0,-60.95,0.9981,0,1,323.1438
5,400,10,10,0,0,-59.5,0.9976,0,1,1422.8736
6,400,13,13,0,0,-47.1,0.9971,0,1,6031.3141
7,400,14,14,0,0,-52.15,0.9967,0,1,40824.118
8,400,13,14,0,0,-48.25,0.9962,0,1,89447.4072
9,400,23,23,0,0,-37.75,0.9957,0,1,244608.3139
10,400,18,18,0,0,-58.15,0.9952,0,1,1268731.3797
11,400,13,13,0,0,-58.45,0.9948,0,1,5339545.194
12,400,14,14,0,0,-54.4,0.9943,0,1,30218497.8698
13,400,18,18,0,0,-49.25,0.9938,0,1,177298370.0581
14,400,23,23,0,0,-37.3,0.9933,0,1,335293985.2344
15,400,14,14,0,0,-49.85,0.9929,0,1,1794148227.9446
16,400,21,21,0,0,-51.15,0.9924,0,1,5193256693.8818
17,400,12,12,0,0,-58.65,0.9919,0,1,12755616914.9328
18,400,27,27,0,0,-35.55,0.9915,0,1,35918680094.8896
19,400,10,10,0,0,-56.1,0.991,0,1,67765115462.845
20,400,10,10,0,0,-59.9,0.9905,0,1,160899248805.363
21,400,11,11,0,0,-59.9,0.99,0,1,458564734425.4576
22,400,22,22,0,0,-34.3,0.9896,0,1,754864541278.3657
23,400,15,15,0,0,-56.2,0.9891,0,1,4009829304502.0815
24,400,15,15,0,0,-45.95,0.9886,0,1,13418880612990.15
25,400,16,16,0,0,-45.1,0.9881,0,1,75571200982540.53
26,400,18,18,0,0,-48.7,0.9877,0,1,78306561799788.56
27,400,13,13,0,0,-55.4,0.9872,0,1,140966492199708.72
28,400,16,16,0,0,-50.4,0.9867,0,1,462979360691684.94
29,400,10,10,0,0,-53.4,0.9862,0,1,2117836599207895.0
30,400,17,17,0,0,-55.6,0.9858,0,1,5448563979691392.0
31,400,19,19,0,0,-59.95,0.9853,0,1,2.7247141040132092e+16
32,400,13,13,0,0,-55.8,0.9848,0,1,1.1970797136089374e+17
33,400,16,16,0,0,-52.3,0.9843,0,1,5.444790173004276e+17
