episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,400,24,24,0,0,-42.55,0.9995,0,1,2.5378
2,400,20,20,0,0,-45.95,0.999,0,1,5.2969
3,400,24,24,0,0,-35.6,0.9986,0,1,8.3623
4,400,17,17,0,0,-46.35,0.9981,0,1,10.8039
5,400,16,16,0,0,-51.4,0.9976,0,1,12.7727
6,400,20,20,0,0,-50.1,0.9971,0,1,14.1675
7,400,10,10,0,0,-57.3,0.9967,0,1,16.4156
8,400,19,19,0,0,-46.25,0.9962,0,1,19.2305
9,400,17,17,0,0,-55.75,0.9957,0,1,23.1773
10,400,20,20,0,0,-47.85,0.9952,0,1,26.3208
11,400,9,9,0,0,-57.7,0.9948,0,1,29.7488
12,400,14,14,0,0,-56.55,0.9943,0,1,31.9016
13,400,16,16,0,0,-48.0,0.9938,0,1,34.1685
14,400,19,19,0,0,-38.0,0.9933,0,1,38.5857
15,400,16,16,0,0,-53.8,0.9929,0,1,44.006
16,400,20,20,0,0,-50.2,0.9924,0,1,47.1503
17,400,6,6,0,0,-61.35,0.9919,0,1,49.5482
18,400,15,15,0,0,-48.05,0.9915,0,1,51.5651
19,400,19,19,0,0,-44.55,0.991,0,1,56.451
20,400,14,14,0,0,-50.2,0.9905,0,1,58.7434
21,400,15,15,0,0,-66.1,0.99,0,1,62.9072
22,400,13,13,0,0,-55.15,0.9896,0,1,64.951
23,400,11,11,0,0,-53.75,0.9891,0,1,68.6643
24,400,13,13,0,0,-60.4,0.9886,0,1,71.0709
25,400,7,7,0,0,-62.35,0.9881,0,1,77.8144
26,400,10,10,0,0,-51.6,0.9877,0,1,87.029
27,400,17,17,0,0,-56.2,0.9872,0,1,88.0076
28,400,17,17,0,0,-44.5,0.9867,0,1,89.5314
29,400,23,23,0,0,-52.7,0.9862,0,1,96.6123
30,400,18,18,0,0,-50.55,0.9858,0,1,106.7141
31,400,14,14,0,0,-55.9,0.9853,0,1,107.3765
32,400,11,11,0,0,-55.9,0.9848,0,1,113.3339
33,400,14,14,0,0,-56.75,0.9843,0,1,113.0767
34,400,8,8,0,0,-58.95,0.9839,0,1,122.0995
35,400,12,12,0,0,-56.05,0.9834,0,1,126.977
36,400,18,18,0,0,-56.45,0.9829,0,1,134.7155
37,400,15,15,0,0,-41.35,0.9824,0,1,136.2689
38,400,14,14,0,0,-52.9,0.9819,0,1,141.1367
39,400,22,22,0,0,-40.7,0.9815,0,1,140.0132
40,400,16,16,0,0,-45.7,0.981,0,1,140.5995
41,400,19,19,0,0,-47.7,0.9805,0,1,137.3093
42,400,22,22,0,0,-39.1,0.98,0,1,141.5553
43,400,17,17,0,0,-48.6,0.9796,0,1,142.2979
44,400,20,20,0,0,-39.45,0.9791,0,1,144.9208
45,400,21,21,0,0,-42.65,0.9786,0,1,145.6018
46,400,10,10,0,0,-63.8,0.9781,0,1,153.3755
47,400,8,8,0,0,-60.25,0.9777,0,1,165.2041
48,400,11,11,0,0,-57.7,0.9772,0,1,164.5614
49,400,9,9,0,0,-53.4,0.9767,0,1,181.4241
50,400,15,15,0,0,-54.2,0.9762,0,1,191.8672
51,400,9,9,0,0,-56.55,0.9758,0,1,197.5544
52,400,20,20,0,0,-45.55,0.9753,0,1,197.668
53,400,17,17,0,0,-57.6,0.9748,0,1,215.8389
54,400,13,13,0,0,-58.85,0.9744,0,1,228.4609
55,400,15,15,0,0,-55.95,0.9739,0,1,231.9447
56,400,7,7,0,0,-61.8,0.9734,0,1,250.9968
57,400,14,14,0,0,-52.0,0.9729,0,1,263.6036
58,400,14,14,0,0,-46.95,0.9725,0,1,270.747
59,400,17,17,0,0,-50.75,0.972,0,1,273.9971
60,400,24,24,0,0,-40.75,0.9715,0,1,276.6543
61,400,15,15,0,0,-45.8,0.971,0,1,285.7904
62,400,17,17,0,0,-53.3,0.9706,0,1,305.3647
63,400,16,17,0,0,-54.4,0.9701,0,1,315.7493
64,400,21,21,0,0,-42.5,0.9696,0,1,321.7694
65,400,20,20,0,0,-49.5,0.9691,0,1,331.8037
66,400,13,13,0,0,-63.15,0.9687,0,1,348.1361
67,400,14,14,0,0,-53.3,0.9682,0,1,371.7397
68,400,14,14,0,0,-52.75,0.9677,0,1,377.513
69,400,18,18,0,0,-58.15,0.9672,0,1,371.3359
70,400,12,12,0,0,-65.2,0.9667,0,1,383.561
71,400,17,17,0,0,-56.0,0.9663,0,1,383.3931
72,400,17,17,0,0,-53.85,0.9658,0,1,379.1706
73,400,12,12,0,0,-58.5,0.9653,0,1,393.4462
74,400,22,22,0,0,-48.75,0.9648,0,1,405.0153
75,400,9,9,0,0,-61.35,0.9644,0,1,417.0613
76,400,20,20,0,0,-43.8,0.9639,0,1,436.8086
77,400,18,18,0,0,-50.75,0.9634,0,1,493.542
78,400,20,20,0,0,-46.4,0.9629,0,1,526.3705
79,400,22,22,0,0,-43.7,0.9625,0,1,537.4372
80,400,24,24,0,0,-42.25,0.962,0,1,557.7412
81,400,19,19,0,0,-46.25,0.9615,0,1,574.2635
82,400,16,16,0,0,-41.6,0.961,0,1,575.3443
83,400,22,22,0,0,-51.9,0.9606,0,1,583.2752
84,400,15,15,0,0,-46.75,0.9601,0,1,577.0312
85,400,17,17,0,0,-45.75,0.9596,0,1,595.9632
86,400,16,16,0,0,-48.9,0.9591,0,1,590.4782
87,400,18,18,0,0,-41.95,0.9587,0,1,599.9046
88,400,18,18,0,0,-45.15,0.9582,0,1,627.4641
89,400,9,9,0,0,-53.0,0.9577,0,1,623.7107
90,400,19,19,0,0,-52.25,0.9573,0,1,708.2957
91,400,12,12,0,0,-61.85,0.9568,0,1,735.1824
92,400,17,17,0,0,-56.4,0.9563,0,1,761.3913
93,400,12,12,0,0,-54.4,0.9558,0,1,756.2559
94,400,11,11,0,0,-48.65,0.9554,0,1,837.6621
95,400,14,14,0,0,-49.55,0.9549,0,1,908.9965
96,400,17,17,0,0,-55.25,0.9544,0,1,976.7947
97,400,19,20,0,0,-53.75,0.9539,0,1,1001.1043
98,400,12,12,0,0,-54.65,0.9535,0,1,1014.0842
99,400,11,11,0,0,-53.9,0.953,0,1,1025.603
100,400,17,17,0,0,-58.05,0.9525,0,1,1071.5327
101,400,12,12,0,0,-57.05,0.952,0,1,1065.7122
102,400,17,17,0,0,-56.25,0.9516,0,1,1083.863
103,400,12,12,0,0,-54.65,0.9511,0,1,1101.5286
104,400,25,25,0,0,-48.4,0.9506,0,1,1178.0505
105,400,12,12,0,0,-43.05,0.9501,0,1,1220.7774
106,400,14,14,0,0,-56.3,0.9496,0,1,1282.7264
107,400,23,23,0,0,-38.5,0.9492,0,1,1253.124
108,400,10,10,0,0,-61.75,0.9487,0,1,1312.643
109,400,11,11,0,0,-55.5,0.9482,0,1,1340.9833
110,400,17,17,0,0,-39.45,0.9477,0,1,1408.5455
111,400,11,11,0,0,-50.55,0.9473,0,1,1434.0914
112,400,7,7,0,0,-56.35,0.9468,0,1,1475.6087
113,400,13,13,0,0,-47.35,0.9463,0,1,1542.5953
114,400,12,12,0,0,-53.05,0.9458,0,1,1619.4526
115,400,14,14,0,0,-49.1,0.9454,0,1,1786.3966
116,400,9,9,0,0,-58.6,0.9449,0,1,1889.0071
117,400,18,18,0,0,-42.85,0.9444,0,1,1948.9324
