episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,400,25,25,0,0,16.3,0.9995,0,1,0.0482
2,400,19,19,0,0,9.4,0.999,0,1,0.0833
3,400,17,17,0,0,7.05,0.9986,0,1,0.1216
4,400,18,18,0,0,8.3,0.9981,0,1,0.166
5,400,20,20,0,0,11.25,0.9976,0,1,0.2122
6,400,22,22,0,0,12.25,0.9971,0,1,0.2647
7,400,15,15,0,0,5.85,0.9967,0,1,0.307
8,400,21,21,0,0,11.3,0.9962,0,1,0.3615
9,400,16,16,0,0,6.05,0.9957,0,1,0.408
10,400,19,19,0,0,8.95,0.9952,0,1,0.4617
11,400,23,23,0,0,13.9,0.9948,0,1,0.5245
12,400,24,24,0,0,14.2,0.9943,0,1,0.5883
13,400,9,9,0,0,-0.6,0.9938,0,1,0.6268
14,400,27,28,0,0,18.75,0.9933,0,1,0.6852
15,400,13,13,0,0,3.6,0.9929,0,1,0.7289
16,400,24,24,0,0,14.65,0.9924,0,1,0.782
17,400,17,17,0,0,7.3,0.9919,0,1,0.8228
18,400,16,16,0,0,6.65,0.9915,0,1,0.8668
19,400,31,31,0,0,21.2,0.991,0,1,0.9349
20,400,23,23,0,0,13.75,0.9905,0,1,0.996
21,400,19,19,0,0,9.8,0.99,0,1,1.0519
22,400,24,24,0,0,13.75,0.9896,0,1,1.1147
23,400,30,31,0,0,21.05,0.9891,0,1,1.186
24,400,19,19,0,0,9.55,0.9886,0,1,1.2414
25,400,24,25,0,0,15.55,0.9881,0,1,1.3095
26,400,19,19,0,0,8.5,0.9877,0,1,1.357
27,400,18,18,0,0,8.8,0.9872,0,1,1.405
28,400,16,16,0,0,6.3,0.9867,0,1,1.4537
29,400,10,10,0,0,0.4,0.9862,0,1,1.4933
30,400,18,18,0,0,8.2,0.9858,0,1,1.5365
31,400,16,16,0,0,5.7,0.9853,0,1,1.578
32,400,13,13,0,0,3.2,0.9848,0,1,1.6128
33,400,17,17,0,0,7.55,0.9843,0,1,1.6484
34,400,20,20,0,0,11.25,0.9839,0,1,1.6903
35,400,23,23,0,0,13.85,0.9834,0,1,1.7383
36,400,18,18,0,0,8.55,0.9829,0,1,1.7801
37,400,22,22,0,0,12.55,0.9824,0,1,1.8378
38,400,22,22,0,0,12.05,0.9819,0,1,1.8932
39,400,23,23,0,0,12.85,0.9815,0,1,1.9551
40,400,14,14,0,0,3.6,0.981,0,1,1.996
41,400,13,13,0,0,2.3,0.9805,0,1,2.0294
42,400,22,22,0,0,13.05,0.98,0,1,2.0758
43,400,7,7,0,0,-2.35,0.9796,0,1,2.0975
44,400,19,19,0,0,9.6,0.9791,0,1,2.1361
45,400,22,22,0,0,11.95,0.9786,0,1,2.1851
46,400,31,31,0,0,22.1,0.9781,0,1,2.2536
47,400,25,25,0,0,15.05,0.9777,0,1,2.3152
48,400,26,26,0,0,16.35,0.9772,0,1,2.3821
49,400,18,18,0,0,7.65,0.9767,0,1,2.4426
50,400,32,32,0,0,22.75,0.9762,0,1,2.5243
51,400,24,24,0,0,14.6,0.9758,0,1,2.5921
52,400,29,29,0,0,19.1,0.9753,0,1,2.6653
53,400,27,27,0,0,17.0,0.9748,0,1,2.7482
54,400,26,26,0,0,16.1,0.9744,0,1,2.8224
55,400,26,26,0,0,16.5,0.9739,0,1,2.8902
56,400,23,23,0,0,14.7,0.9734,0,1,2.9485
57,400,25,25,0,0,15.15,0.9729,0,1,3.004
58,400,24,24,0,0,14.55,0.9725,0,1,3.0651
59,400,24,24,0,0,14.0,0.972,0,1,3.1308
60,400,19,19,0,0,9.1,0.9715,0,1,3.1868
61,400,20,20,0,0,10.05,0.971,0,1,3.2427
62,400,16,16,0,0,6.3,0.9706,0,1,3.291
63,400,31,31,0,0,21.5,0.9701,0,1,3.3558
64,400,26,26,0,0,16.35,0.9696,0,1,3.4245
65,400,25,25,0,0,15.0,0.9691,0,1,3.4841
66,400,20,20,0,0,10.1,0.9687,0,1,3.5423
67,400,14,14,0,0,4.0,0.9682,0,1,3.5843
68,400,20,20,0,0,10.8,0.9677,0,1,3.6333
69,400,16,16,0,0,6.3,0.9672,0,1,3.6802
70,400,17,17,0,0,7.55,0.9667,0,1,3.7164
71,400,22,22,0,0,13.5,0.9663,0,1,3.7673
72,400,19,20,0,0,11.35,0.9658,0,1,3.8107
73,400,18,18,0,0,8.5,0.9653,0,1,3.8468
74,400,31,31,0,0,21.65,0.9648,0,1,3.904
75,400,10,10,0,0,0.8,0.9644,0,1,3.9369
76,400,13,13,0,0,3.9,0.9639,0,1,3.961
77,400,33,33,0,0,23.25,0.9634,0,1,4.0243
78,400,20,20,0,0,10.3,0.9629,0,1,4.0747
79,400,17,17,0,0,6.95,0.9625,0,1,4.1248
80,400,28,28,0,0,18.5,0.962,0,1,4.1839
81,400,21,21,0,0,11.85,0.9615,0,1,4.2351
82,400,30,30,0,0,19.75,0.961,0,1,4.3013
83,400,18,18,0,0,8.9,0.9606,0,1,4.3557
84,400,31,31,0,0,22.25,0.9601,0,1,4.4225
85,400,23,23,0,0,13.95,0.9596,0,1,4.4873
86,400,20,20,0,0,10.95,0.9591,0,1,4.5496
87,400,29,29,0,0,19.85,0.9587,0,1,4.6177
88,400,28,28,0,0,19.15,0.9582,0,1,4.6942
89,400,15,15,0,0,5.35,0.9577,0,1,4.7454
90,400,29,29,0,0,19.55,0.9573,0,1,4.8025
91,400,22,22,0,0,13.05,0.9568,0,1,4.8637
92,400,18,18,0,0,8.6,0.9563,0,1,4.9197
93,400,27,27,0,0,16.8,0.9558,0,1,4.9823
94,400,26,26,0,0,17.0,0.9554,0,1,5.0488
95,400,26,26,0,0,16.3,0.9549,0,1,5.108
96,400,25,25,0,0,15.4,0.9544,0,1,5.1648
97,400,19,19,0,0,9.4,0.9539,0,1,5.2199
98,400,26,26,0,0,15.85,0.9535,0,1,5.2664
99,400,11,11,0,0,1.6,0.953,0,1,5.2985
100,400,11,11,0,0,2.15,0.9525,0,1,5.3154
101,400,27,27,0,0,17.65,0.952,0,1,5.3776
102,400,30,30,0,0,21.75,0.9516,0,1,5.4561
103,400,24,24,0,0,14.25,0.9511,0,1,5.5118
104,400,16,16,0,0,6.55,0.9506,0,1,5.5594
105,400,26,26,0,0,16.05,0.9501,0,1,5.6064
106,400,19,19,0,0,10.2,0.9496,0,1,5.6387
107,400,32,32,0,0,22.45,0.9492,0,1,5.7035
108,400,42,42,0,0,32.3,0.9487,0,1,5.7828
109,400,18,18,0,0,8.1,0.9482,0,1,5.8383
110,400,18,18,0,0,8.2,0.9477,0,1,5.8944
111,400,28,28,0,0,18.85,0.9473,0,1,5.9601
112,400,31,31,0,0,21.55,0.9468,0,1,6.0319
113,400,22,22,0,0,12.0,0.9463,0,1,6.0819
114,400,18,18,0,0,8.85,0.9458,0,1,6.1167
115,400,28,28,0,0,18.75,0.9454,0,1,6.1642
116,400,38,38,0,0,28.65,0.9449,0,1,6.2271
117,400,29,29,0,0,19.4,0.9444,0,1,6.2958
118,400,21,22,0,0,12.75,0.9439,0,1,6.3405
119,400,34,34,0,0,24.55,0.9435,0,1,6.4055
120,400,33,33,0,0,23.55,0.943,0,1,6.4895
121,400,26,26,0,0,16.25,0.9425,0,1,6.5537
122,400,26,26,0,0,16.0,0.9421,0,1,6.62
123,400,20,20,0,0,10.95,0.9416,0,1,6.6701
124,400,25,25,0,0,16.1,0.9411,0,1,6.7271
125,400,20,20,0,0,10.35,0.9406,0,1,6.7843
126,400,29,29,0,0,18.9,0.9402,0,1,6.8523
127,400,23,23,0,0,14.05,0.9397,0,1,6.9237
128,400,25,25,0,0,15.7,0.9392,0,1,6.982
129,400,30,31,0,0,22.5,0.9387,0,1,7.05
