episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,400,25,25,0,0,16.3,0.9995,0,1,0.7031
2,400,19,19,0,0,9.4,0.999,0,1,1.1938
3,400,17,17,0,0,7.05,0.9986,0,1,1.7424
4,400,18,18,0,0,8.3,0.9981,0,1,2.2282
5,400,20,20,0,0,11.25,0.9976,0,1,2.7392
6,400,22,22,0,0,12.25,0.9971,0,1,3.3153
7,400,15,15,0,0,5.85,0.9967,0,1,3.7288
8,400,21,21,0,0,11.3,0.9962,0,1,4.3655
9,400,16,16,0,0,6.05,0.9957,0,1,4.7009
10,400,19,19,0,0,8.95,0.9952,0,1,5.2898
11,400,23,23,0,0,13.9,0.9948,0,1,5.8905
12,400,26,26,0,0,16.2,0.9943,0,1,6.5247
13,400,18,18,0,0,8.6,0.9938,0,1,6.9218
14,400,27,28,0,0,18.75,0.9933,0,1,7.4225
15,400,13,13,0,0,3.6,0.9929,0,1,7.6941
16,400,24,24,0,0,14.65,0.9924,0,1,8.1433
17,400,17,17,0,0,7.3,0.9919,0,1,8.6021
18,400,16,16,0,0,6.65,0.9915,0,1,9.0039
19,400,31,31,0,0,21.2,0.991,0,1,9.7279
20,400,25,25,0,0,15.55,0.9905,0,1,10.2212
21,400,19,19,0,0,9.8,0.99,0,1,10.7186
22,400,24,24,0,0,13.75,0.9896,0,1,11.4008
23,400,30,31,0,0,21.05,0.9891,0,1,12.0191
24,400,18,18,0,0,8.65,0.9886,0,1,12.4781
25,400,24,24,0,0,14.45,0.9881,0,1,12.8566
26,400,19,19,0,0,8.5,0.9877,0,1,12.9718
27,400,17,17,0,0,7.6,0.9872,0,1,13.1966
28,400,16,16,0,0,6.2,0.9867,0,1,13.5515
29,400,10,10,0,0,0.4,0.9862,0,1,13.6584
30,400,13,13,0,0,3.1,0.9858,0,1,13.9814
31,400,19,19,0,0,8.6,0.9853,0,1,14.312
32,400,10,10,0,0,0.2,0.9848,0,1,14.6778
33,400,17,17,0,0,7.55,0.9843,0,1,14.9646
34,400,20,20,0,0,11.25,0.9839,0,1,15.3711
35,400,18,18,0,0,8.55,0.9834,0,1,15.5552
36,400,24,24,0,0,14.65,0.9829,0,1,16.0677
37,400,18,18,0,0,8.65,0.9824,0,1,16.6255
38,400,27,27,0,0,17.05,0.9819,0,1,17.1743
39,400,21,21,0,0,10.85,0.9815,0,1,17.7678
40,400,14,14,0,0,3.6,0.981,0,1,18.0495
41,400,9,9,0,0,-1.65,0.9805,0,1,18.2271
42,400,22,22,0,0,13.05,0.98,0,1,18.6471
43,400,8,8,0,0,-1.35,0.9796,0,1,18.7054
44,400,16,16,0,0,6.7,0.9791,0,1,19.081
45,400,20,21,0,0,10.95,0.9786,0,1,19.6647
46,400,28,28,0,0,19.0,0.9781,0,1,19.7924
47,400,12,12,0,0,1.85,0.9777,0,1,19.8126
48,400,27,27,0,0,17.35,0.9772,0,1,20.1948
49,400,18,18,0,0,7.65,0.9767,0,1,20.5909
50,400,32,32,0,0,22.75,0.9762,0,1,21.2753
51,400,17,17,0,0,7.65,0.9758,0,1,21.7397
52,400,29,29,0,0,19.1,0.9753,0,1,22.3097
53,400,27,27,0,0,17.0,0.9748,0,1,22.7002
54,400,20,20,0,0,10.15,0.9744,0,1,22.8422
55,400,25,25,0,0,15.6,0.9739,0,1,23.1721
56,400,24,24,0,0,15.65,0.9734,0,1,23.3379
57,400,25,25,0,0,15.15,0.9729,0,1,23.686
58,400,23,23,0,0,13.55,0.9725,0,1,24.1232
59,400,24,24,0,0,14.0,0.972,0,1,24.46
60,400,19,19,0,0,9.1,0.9715,0,1,24.6557
61,400,26,26,0,0,16.05,0.971,0,1,25.1379
62,400,26,26,0,0,16.2,0.9706,0,1,25.4942
63,400,31,31,0,0,21.5,0.9701,0,1,25.858
64,400,23,23,0,0,12.95,0.9696,0,1,26.2363
65,400,25,25,0,0,15.05,0.9691,0,1,26.6089
66,400,16,16,0,0,6.0,0.9687,0,1,26.7127
67,400,10,10,0,0,-0.25,0.9682,0,1,26.7746
68,400,20,20,0,0,10.55,0.9677,0,1,27.0481
69,400,18,18,0,0,8.4,0.9672,0,1,27.4288
70,400,18,18,0,0,8.35,0.9667,0,1,27.5212
71,400,23,23,0,0,14.5,0.9663,0,1,27.8861
72,400,23,23,0,0,13.95,0.9658,0,1,28.1665
73,400,19,19,0,0,9.35,0.9653,0,1,28.3372
74,400,29,29,0,0,19.75,0.9648,0,1,28.5977
75,400,8,8,0,0,-1.3,0.9644,0,1,28.7266
76,400,20,20,0,0,10.8,0.9639,0,1,28.8643
77,400,32,32,0,0,22.25,0.9634,0,1,29.2351
78,400,9,9,0,0,-1.2,0.9629,0,1,29.2895
79,400,17,17,0,0,6.85,0.9625,0,1,29.4559
80,400,28,28,0,0,18.6,0.962,0,1,29.3161
81,400,22,23,0,0,13.8,0.9615,0,1,29.1218
