episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,400,12,12,0,0,2.15,0.9995,0,1,0.0246
2,400,13,13,0,0,3.05,0.999,0,1,0.0495
3,400,22,22,0,0,11.6,0.9986,0,1,0.0931
4,400,14,14,0,0,4.7,0.9981,0,1,0.1293
5,400,17,17,0,0,7.0,0.9976,0,1,0.1773
6,400,11,11,0,0,1.3,0.9971,0,1,0.208
7,400,29,29,0,0,18.85,0.9967,0,1,0.2698
8,400,27,27,0,0,17.2,0.9962,0,1,0.334
9,400,25,25,0,0,15.35,0.9957,0,1,0.3947
10,400,19,19,0,0,9.75,0.9952,0,1,0.447
11,400,20,21,0,0,10.9,0.9948,0,1,0.5033
12,400,17,17,0,0,7.4,0.9943,0,1,0.5529
13,400,26,26,0,0,16.25,0.9938,0,1,0.6206
14,400,23,23,0,0,13.5,0.9933,0,1,0.6824
15,400,24,24,0,0,13.9,0.9929,0,1,0.748
16,400,16,16,0,0,6.8,0.9924,0,1,0.7961
17,400,23,23,0,0,12.5,0.9919,0,1,0.8561
18,400,19,19,0,0,9.8,0.9915,0,1,0.906
19,400,24,25,0,0,15.05,0.991,0,1,0.972
20,400,25,25,0,0,15.45,0.9905,0,1,1.0331
21,400,25,25,0,0,15.7,0.99,0,1,1.0975
22,400,20,20,0,0,9.85,0.9896,0,1,1.1614
23,400,20,20,0,0,10.5,0.9891,0,1,1.2231
24,400,22,22,0,0,11.1,0.9886,0,1,1.2792
25,400,21,22,0,0,12.25,0.9881,0,1,1.3326
26,400,10,10,0,0,0.7,0.9877,0,1,1.3704
27,400,20,20,0,0,10.7,0.9872,0,1,1.4209
28,400,21,21,0,0,11.9,0.9867,0,1,1.4731
29,400,20,20,0,0,10.15,0.9862,0,1,1.5317
30,400,23,23,0,0,12.65,0.9858,0,1,1.5955
31,400,26,26,0,0,16.85,0.9853,0,1,1.6606
32,400,16,16,0,0,5.15,0.9848,0,1,1.7144
33,400,21,21,0,0,11.6,0.9843,0,1,1.7703
34,400,22,22,0,0,13.1,0.9839,0,1,1.821
35,400,16,16,0,0,5.7,0.9834,0,1,1.8695
36,400,30,31,0,0,21.55,0.9829,0,1,1.942
37,400,19,19,0,0,9.35,0.9824,0,1,1.998
38,400,27,28,0,0,17.9,0.9819,0,1,2.0604
39,400,23,23,0,0,13.25,0.9815,0,1,2.1161
40,400,25,25,0,0,15.05,0.981,0,1,2.1828
41,400,28,28,0,0,18.15,0.9805,0,1,2.2439
42,400,25,25,0,0,16.0,0.98,0,1,2.3123
43,400,22,22,0,0,12.25,0.9796,0,1,2.3668
44,400,29,29,0,0,19.65,0.9791,0,1,2.4369
45,400,22,22,0,0,12.95,0.9786,0,1,2.4953
46,400,25,25,0,0,16.2,0.9781,0,1,2.5545
47,400,17,17,0,0,6.45,0.9777,0,1,2.6044
