episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,400,33,33,0,0,24.4,0.9995,0,1,0.0592
2,400,23,23,0,0,13.5,0.999,0,1,0.1131
3,400,15,15,0,0,5.3,0.9986,0,1,0.1564
4,400,19,19,0,0,8.95,0.9981,0,1,0.1954
5,400,14,14,0,0,4.4,0.9976,0,1,0.231
6,400,30,30,0,0,20.65,0.9971,0,1,0.2959
7,400,19,19,0,0,9.2,0.9967,0,1,0.3506
8,400,16,16,0,0,6.1,0.9962,0,1,0.3971
9,400,23,23,0,0,14.35,0.9957,0,1,0.4533
10,400,29,29,0,0,19.65,0.9952,0,1,0.5222
11,400,21,21,0,0,10.75,0.9948,0,1,0.5828
12,400,17,17,0,0,6.95,0.9943,0,1,0.6223
13,400,21,21,0,0,11.7,0.9938,0,1,0.668
14,400,15,15,0,0,4.7,0.9933,0,1,0.7022
15,400,21,21,0,0,11.8,0.9929,0,1,0.7456
16,400,16,16,0,0,6.95,0.9924,0,1,0.7896
17,400,12,12,0,0,2.05,0.9919,0,1,0.8177
18,400,22,22,0,0,11.75,0.9915,0,1,0.865
19,400,14,14,0,0,4.6,0.991,0,1,0.9065
20,400,19,19,0,0,9.65,0.9905,0,1,0.9544
21,400,26,26,0,0,16.4,0.99,0,1,1.0022
22,400,27,27,0,0,17.95,0.9896,0,1,1.062
23,400,17,17,0,0,7.45,0.9891,0,1,1.1074
24,400,10,10,0,0,1.05,0.9886,0,1,1.1391
25,400,19,20,0,0,9.35,0.9881,0,1,1.1766
26,400,19,19,0,0,9.25,0.9877,0,1,1.2195
27,400,16,16,0,0,6.6,0.9872,0,1,1.2577
28,400,19,19,0,0,8.95,0.9867,0,1,1.2968
29,400,30,30,0,0,21.4,0.9862,0,1,1.3558
30,400,24,24,0,0,14.4,0.9858,0,1,1.4172
31,400,27,27,0,0,17.65,0.9853,0,1,1.476
32,400,13,13,0,0,3.25,0.9848,0,1,1.5154
33,400,26,26,0,0,17.1,0.9843,0,1,1.5737
34,400,16,16,0,0,6.85,0.9839,0,1,1.6149
35,400,27,27,0,0,17.45,0.9834,0,1,1.6672
