episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,7,0,0,3,1,-4.17,0.9995,1,0,0.0122
2,8,0,0,2,1,-4.53,0.999,1,0,0.0185
3,8,0,0,2,1,-4.53,0.9986,1,0,0.0254
4,8,0,0,1,1,-4.83,0.9981,1,0,0.0333
5,6,0,0,3,1,-4.01,0.9976,1,0,0.0408
6,15,0,0,5,2,-3.8,0.9971,1,0,0.0487
7,5,0,0,2,1,-4.5,0.9967,1,0,0.056
8,7,0,0,6,1,-3.17,0.9962,1,0,0.0609
9,8,0,0,3,1,-4.38,0.9957,1,0,0.0679
10,5,0,0,4,1,-3.9,0.9952,1,0,0.0753
11,27,0,0,8,3,-2.87,0.9948,1,0,0.0807
12,5,0,0,4,1,-3.7,0.9943,1,0,0.0882
13,10,0,0,1,1,-5.05,0.9938,1,0,0.0935
14,7,0,0,3,1,-4.22,0.9933,1,0,0.0985
15,8,0,0,2,1,-4.43,0.9929,1,0,0.1066
16,27,1,2,6,3,-1.57,0.9924,1,0,0.1043
17,5,0,0,3,1,-4.2,0.9919,1,0,0.1125
18,6,0,0,2,1,-4.46,0.9915,1,0,0.1195
19,6,0,0,3,1,-4.21,0.991,1,0,0.1245
20,12,0,0,2,1,-4.77,0.9905,1,0,0.1332
21,6,0,0,4,1,-3.86,0.99,1,0,0.1401
22,9,0,0,1,1,-4.89,0.9896,1,0,0.1441
23,7,0,0,2,1,-4.42,0.9891,1,0,0.1521
24,10,0,0,1,1,-5.05,0.9886,1,0,0.1567
25,5,0,0,4,1,-4.0,0.9881,1,0,0.1637
26,5,0,0,3,1,-4.1,0.9877,1,0,0.1683
27,11,0,0,3,1,-4.61,0.9872,1,0,0.1741
28,8,0,0,3,1,-4.13,0.9867,1,0,0.1762
29,13,0,0,3,1,-4.38,0.9862,1,0,0.1817
30,28,0,0,7,2,-3.78,0.9858,1,0,0.1822
31,6,0,0,1,1,-4.81,0.9853,1,0,0.1875
32,5,0,0,2,1,-4.6,0.9848,1,0,0.1954
33,5,0,0,4,1,-4.0,0.9843,1,0,0.2017
34,5,0,0,3,1,-4.3,0.9839,1,0,0.209
35,5,0,0,3,1,-4.1,0.9834,1,0,0.2126
36,13,0,0,2,1,-4.83,0.9829,1,0,0.2172
37,7,0,0,6,1,-3.02,0.9824,1,0,0.2204
38,5,0,0,4,1,-4.0,0.9819,1,0,0.2265
39,7,0,0,3,1,-4.12,0.9815,1,0,0.2324
40,17,0,0,5,2,-3.82,0.981,1,0,0.2353
41,5,0,0,3,1,-4.0,0.9805,1,0,0.2412
42,6,0,0,2,1,-4.51,0.98,1,0,0.2446
43,14,0,0,5,1,-4.09,0.9796,1,0,0.2448
44,7,0,0,3,1,-4.02,0.9791,1,0,0.2501
45,11,0,0,3,1,-4.31,0.9786,1,0,0.2558
46,24,1,1,5,2,-2.84,0.9781,1,0,0.2549
47,14,0,0,6,2,-3.39,0.9777,1,0,0.258
48,13,0,0,2,1,-4.73,0.9772,1,0,0.2635
49,9,0,0,3,1,-4.19,0.9767,1,0,0.2653
50,5,0,0,4,1,-3.9,0.9762,1,0,0.2712
51,13,0,0,2,1,-4.73,0.9758,1,0,0.2725
52,6,0,0,4,1,-4.06,0.9753,1,0,0.2777
53,6,0,0,3,1,-4.01,0.9748,1,0,0.281
54,5,0,0,2,1,-4.5,0.9744,1,0,0.2873
55,11,0,0,1,1,-5.01,0.9739,1,0,0.2895
56,20,0,0,4,2,-4.15,0.9734,1,0,0.2906
