episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,9,0,0,2,1,-4.64,0.9995,1,0,0.0133
2,5,0,0,3,1,-4.1,0.999,1,0,0.0182
3,8,0,0,3,1,-4.28,0.9986,1,0,0.0279
4,9,0,0,0,1,-5.19,0.9981,1,0,0.0362
5,11,0,0,2,1,-4.61,0.9976,1,0,0.0458
6,8,0,0,4,1,-3.98,0.9971,1,0,0.0548
7,7,0,0,2,1,-4.57,0.9967,1,0,0.0612
8,11,0,0,3,1,-4.46,0.9962,1,0,0.0692
9,24,2,2,6,3,-1.44,0.9957,1,0,0.0736
10,11,0,0,1,1,-4.91,0.9952,1,0,0.0831
11,6,0,0,4,1,-3.86,0.9948,1,0,0.0914
12,5,0,0,3,1,-4.2,0.9943,1,0,0.1008
13,17,0,0,1,1,-5.57,0.9938,1,0,0.1087
14,7,0,0,4,1,-3.62,0.9933,1,0,0.1167
15,23,1,1,7,2,-2.18,0.9929,1,0,0.1164
16,14,0,0,3,1,-4.29,0.9924,1,0,0.1192
17,8,0,0,4,1,-3.88,0.9919,1,0,0.1265
18,9,0,0,3,1,-4.24,0.9915,1,0,0.1344
19,18,0,0,5,2,-3.93,0.991,1,0,0.1405
20,9,0,0,3,1,-4.19,0.9905,1,0,0.1418
21,6,0,0,2,1,-4.66,0.99,1,0,0.1504
22,8,0,0,3,1,-4.18,0.9896,1,0,0.1579
23,6,0,0,4,1,-3.76,0.9891,1,0,0.1648
24,7,0,0,2,1,-4.42,0.9886,1,0,0.1726
25,5,0,0,4,1,-3.9,0.9881,1,0,0.1804
26,20,0,0,3,2,-4.65,0.9877,1,0,0.1772
27,7,0,0,2,1,-4.37,0.9872,1,0,0.1791
28,20,0,0,5,2,-4.0,0.9867,1,0,0.1793
29,8,0,0,3,1,-4.13,0.9862,1,0,0.1824
30,5,0,0,2,1,-4.45,0.9858,1,0,0.1849
31,6,0,0,2,1,-4.61,0.9853,1,0,0.1921
32,7,0,0,2,1,-4.57,0.9848,1,0,0.1994
33,7,0,0,4,1,-3.92,0.9843,1,0,0.2056
34,26,0,0,9,3,-2.91,0.9839,1,0,0.2031
35,7,0,0,1,1,-4.87,0.9834,1,0,0.2061
36,5,0,0,4,1,-3.8,0.9829,1,0,0.2119
37,10,0,0,4,1,-4.1,0.9824,1,0,0.2182
38,9,0,0,2,1,-4.49,0.9819,1,0,0.2216
39,6,0,0,3,1,-3.91,0.9815,1,0,0.2248
40,10,0,0,2,1,-4.65,0.981,1,0,0.2303
41,11,0,0,3,1,-4.51,0.9805,1,0,0.2329
42,9,0,0,4,1,-4.14,0.98,1,0,0.2385
43,6,0,0,3,1,-4.36,0.9796,1,0,0.2448
44,6,0,0,3,1,-3.91,0.9791,1,0,0.2484
45,5,0,0,4,1,-3.7,0.9786,1,0,0.2538
46,6,0,0,3,1,-4.26,0.9781,1,0,0.2596
47,10,0,0,3,1,-4.25,0.9777,1,0,0.262
48,6,0,0,1,1,-4.91,0.9772,1,0,0.2685
49,10,0,0,1,1,-5.05,0.9767,1,0,0.2748
50,7,0,0,2,1,-4.37,0.9762,1,0,0.2782
51,9,0,0,2,1,-4.69,0.9758,1,0,0.2838
52,7,0,0,4,1,-3.77,0.9753,1,0,0.286
53,7,0,0,2,1,-4.52,0.9748,1,0,0.2899
54,5,0,0,4,1,-3.8,0.9744,1,0,0.2943
55,16,0,0,6,2,-3.56,0.9739,1,0,0.2926
56,22,1,1,7,3,-2.27,0.9734,1,0,0.2945
