episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,7,0,0,3,1,-4.32,0.9995,1,0,0.0126
2,8,0,0,3,1,-4.18,0.999,1,0,0.0226
3,5,0,0,2,1,-4.6,0.9986,1,0,0.035
4,8,0,0,3,1,-4.33,0.9981,1,0,0.045
5,6,0,0,4,1,-3.86,0.9976,1,0,0.0542
6,6,0,0,4,1,-3.86,0.9971,1,0,0.0636
7,10,0,0,3,1,-4.25,0.9967,1,0,0.0735
8,9,0,0,1,1,-4.94,0.9962,1,0,0.0833
9,6,0,0,3,1,-4.16,0.9957,1,0,0.0927
10,15,0,0,3,1,-4.7,0.9952,1,0,0.1016
11,8,0,0,3,1,-4.23,0.9948,1,0,0.1017
12,5,0,0,3,1,-4.2,0.9943,1,0,0.1116
13,7,0,0,3,1,-4.22,0.9938,1,0,0.1212
14,7,0,0,4,1,-4.02,0.9933,1,0,0.1292
15,5,0,0,4,1,-3.9,0.9929,1,0,0.1374
16,5,0,0,4,1,-3.7,0.9924,1,0,0.1448
17,17,0,0,4,1,-4.32,0.9919,1,0,0.1508
18,11,0,0,3,1,-4.31,0.9915,1,0,0.1506
19,14,0,0,3,1,-4.29,0.991,1,0,0.1505
20,10,0,0,2,1,-4.65,0.9905,1,0,0.1597
21,18,0,0,7,2,-2.88,0.99,1,0,0.1638
22,6,0,0,4,1,-3.86,0.9896,1,0,0.1707
23,18,0,0,4,2,-3.88,0.9891,1,0,0.1717
24,5,0,0,4,1,-3.8,0.9886,1,0,0.1785
25,5,0,0,3,1,-3.95,0.9881,1,0,0.181
26,7,0,0,3,1,-4.37,0.9877,1,0,0.1883
27,28,0,0,9,3,-2.93,0.9872,1,0,0.1854
28,35,3,3,5,4,-1.3,0.9867,1,0,0.1891
29,7,0,0,1,1,-4.87,0.9862,1,0,0.1907
30,13,0,0,2,1,-4.53,0.9858,1,0,0.1934
31,5,0,0,3,1,-4.0,0.9853,1,0,0.2006
32,5,0,0,2,1,-4.4,0.9848,1,0,0.2032
33,16,0,0,8,2,-2.56,0.9843,1,0,0.2032
34,8,0,0,3,1,-4.18,0.9839,1,0,0.2096
35,8,0,0,2,1,-4.43,0.9834,1,0,0.2132
36,10,0,0,3,1,-4.4,0.9829,1,0,0.2193
37,12,0,0,1,1,-4.97,0.9824,1,0,0.2218
38,7,0,0,2,1,-4.57,0.9819,1,0,0.229
39,10,0,0,3,1,-4.55,0.9815,1,0,0.2343
40,17,0,0,4,2,-3.97,0.981,1,0,0.2342
41,20,0,0,2,1,-4.75,0.9805,1,0,0.2357
42,7,0,0,2,1,-4.47,0.98,1,0,0.2398
43,6,0,0,3,1,-4.16,0.9796,1,0,0.2455
44,9,0,0,2,1,-4.49,0.9791,1,0,0.2495
45,28,0,0,8,3,-3.23,0.9786,1,0,0.249
46,5,0,0,4,1,-3.7,0.9781,1,0,0.2544
47,7,0,0,3,1,-4.12,0.9777,1,0,0.2598
48,6,0,0,2,1,-4.56,0.9772,1,0,0.2663
49,5,0,0,4,1,-4.0,0.9767,1,0,0.2717
50,8,0,0,2,1,-4.63,0.9762,1,0,0.2739
51,6,0,0,4,1,-3.86,0.9758,1,0,0.2786
52,13,0,0,8,2,-2.58,0.9753,1,0,0.2805
53,23,1,1,3,2,-3.73,0.9748,1,0,0.2827
54,27,2,2,5,2,-1.97,0.9744,1,0,0.2812
55,7,0,0,2,1,-4.47,0.9739,1,0,0.2835
56,8,0,0,5,1,-3.43,0.9734,1,0,0.2873
57,14,0,0,4,2,-3.99,0.9729,1,0,0.2914
58,5,0,0,3,1,-4.3,0.9725,1,0,0.297
59,5,0,0,3,1,-4.1,0.972,1,0,0.3021
60,17,0,0,9,2,-2.52,0.9715,1,0,0.3017
61,6,0,0,4,1,-3.86,0.971,1,0,0.306
62,5,0,0,3,1,-4.3,0.9706,1,0,0.3114
63,7,0,0,3,1,-4.22,0.9701,1,0,0.3167
64,13,0,0,5,1,-3.58,0.9696,1,0,0.3166
65,25,1,1,4,3,-3.5,0.9691,1,0,0.3177
66,13,0,0,3,1,-4.33,0.9687,1,0,0.32
67,24,0,0,9,3,-2.34,0.9682,1,0,0.3166
68,6,0,0,4,1,-3.86,0.9677,1,0,0.3207
69,9,0,0,3,1,-4.19,0.9672,1,0,0.3252
70,9,0,0,2,1,-4.49,0.9667,1,0,0.3272
71,7,0,0,2,1,-4.57,0.9663,1,0,0.3301
72,6,0,0,3,1,-4.26,0.9658,1,0,0.3349
73,5,0,0,2,1,-4.4,0.9653,1,0,0.3401
74,5,0,0,4,1,-4.0,0.9648,1,0,0.345
75,16,0,0,6,2,-3.26,0.9644,1,0,0.3471
76,7,0,0,3,1,-4.07,0.9639,1,0,0.3496
77,6,0,0,2,1,-4.46,0.9634,1,0,0.3545
78,11,0,0,3,1,-4.36,0.9629,1,0,0.3579
79,6,0,0,3,1,-4.11,0.9625,1,0,0.3623
80,7,0,0,3,1,-4.17,0.962,1,0,0.3648
81,6,0,0,3,1,-4.01,0.9615,1,0,0.3694
82,9,0,0,3,1,-4.34,0.961,1,0,0.3741
83,6,0,0,2,1,-4.46,0.9606,1,0,0.3798
84,13,0,0,2,1,-4.73,0.9601,1,0,0.3836
85,6,0,0,3,1,-4.01,0.9596,1,0,0.3872
86,18,0,0,3,2,-4.53,0.9591,1,0,0.3895
87,25,2,2,11,3,0.35,0.9587,1,0,0.3864
88,6,0,0,3,1,-4.11,0.9582,1,0,0.3909
89,5,0,0,3,1,-4.3,0.9577,1,0,0.3952
90,12,0,0,2,1,-4.67,0.9573,1,0,0.3976
91,8,0,0,2,1,-4.68,0.9568,1,0,0.4019
92,9,0,0,2,1,-4.59,0.9563,1,0,0.4062
93,6,0,0,2,1,-4.51,0.9558,1,0,0.4116
94,7,0,0,5,1,-3.42,0.9554,1,0,0.413
95,24,0,0,3,3,-4.49,0.9549,1,0,0.4133
96,8,0,0,1,1,-4.93,0.9544,1,0,0.416
97,8,0,0,2,1,-4.58,0.9539,1,0,0.42
98,6,0,0,3,1,-4.11,0.9535,1,0,0.4229
99,7,0,0,3,1,-4.22,0.953,1,0,0.4263
100,5,0,0,3,1,-4.3,0.9525,1,0,0.4317
101,16,0,0,2,1,-4.76,0.952,1,0,0.4349
102,12,0,0,2,1,-4.67,0.9516,1,0,0.4379
103,5,0,0,4,1,-3.7,0.9511,1,0,0.4405
104,18,0,0,1,2,-5.08,0.9506,1,0,0.4406
105,7,0,0,5,1,-3.67,0.9501,1,0,0.4439
106,7,0,0,3,1,-4.22,0.9496,1,0,0.4472
107,5,0,0,4,1,-4.0,0.9492,1,0,0.451
108,6,0,0,2,1,-4.66,0.9487,1,0,0.456
109,7,0,0,2,1,-4.47,0.9482,1,0,0.4578
110,10,0,0,6,1,-3.25,0.9477,1,0,0.4579
111,6,0,0,3,1,-4.26,0.9473,1,0,0.4619
112,6,0,0,4,1,-4.06,0.9468,1,0,0.4657
113,6,0,0,1,1,-4.81,0.9463,1,0,0.4707
114,31,1,1,5,3,-3.41,0.9458,1,0,0.4705
115,5,0,0,2,1,-4.55,0.9454,1,0,0.4726
116,14,0,0,3,1,-4.24,0.9449,1,0,0.4737
117,7,0,0,1,1,-4.82,0.9444,1,0,0.4778
118,6,0,0,2,1,-4.51,0.9439,1,0,0.4805
