episode,steps,score,coins,crates,bombs,reward,epsilon,killed_self,survived,weight_norm
1,5,0,0,2,1,-4.39,0.9995,1,0,0.0118
2,5,0,0,2,1,-4.49,0.999,1,0,0.0235
3,13,0,0,2,1,-4.524,0.9986,1,0,0.027
4,14,0,0,4,2,-4.22,0.9981,1,0,0.0368
5,12,0,0,3,1,-4.41,0.9976,1,0,0.0463
6,8,0,0,2,1,-4.52,0.9971,1,0,0.0503
7,11,0,0,2,1,-4.7,0.9967,1,0,0.0596
8,6,0,0,2,1,-4.6,0.9962,1,0,0.0694
9,7,0,0,2,1,-4.46,0.9957,1,0,0.0722
10,7,0,0,3,1,-4.16,0.9952,1,0,0.0801
11,17,0,0,3,1,-4.463,0.9948,1,0,0.084
12,9,0,0,3,1,-4.28,0.9943,1,0,0.0911
13,26,0,0,4,2,-4.444,0.9938,1,0,0.0977
14,9,0,0,2,1,-4.483,0.9933,1,0,0.1061
15,5,0,0,3,1,-4.19,0.9929,1,0,0.107
16,5,0,0,4,1,-3.89,0.9924,1,0,0.114
17,13,0,0,0,1,-5.32,0.9919,1,0,0.1225
18,5,0,0,2,1,-4.49,0.9915,1,0,0.1233
19,14,0,0,4,2,-4.027,0.991,1,0,0.1296
20,5,0,0,4,1,-3.69,0.9905,1,0,0.1357
21,11,0,0,4,1,-3.75,0.99,1,0,0.1414
22,11,0,0,2,1,-4.65,0.9896,1,0,0.1488
23,6,0,0,3,1,-4.25,0.9891,1,0,0.1558
24,5,0,0,2,1,-4.444,0.9886,1,0,0.1589
25,18,0,0,5,2,-3.471,0.9881,1,0,0.1594
26,11,0,0,3,1,-4.35,0.9877,1,0,0.1644
27,7,0,0,3,1,-4.36,0.9872,1,0,0.1695
28,5,0,0,4,1,-3.79,0.9867,1,0,0.1754
29,10,0,0,1,1,-4.79,0.9862,1,0,0.1774
30,7,0,0,4,1,-3.91,0.9858,1,0,0.1828
31,8,0,0,3,1,-4.224,0.9853,1,0,0.1861
32,5,0,0,4,1,-3.69,0.9848,1,0,0.1911
33,10,0,0,6,1,-3.29,0.9843,1,0,0.1936
34,5,0,0,4,1,-3.69,0.9839,1,0,0.1984
35,9,0,0,3,1,-4.284,0.9834,1,0,0.2007
36,19,0,0,3,2,-4.37,0.9829,1,0,0.2059
37,12,0,0,3,1,-4.21,0.9824,1,0,0.2077
38,7,0,0,2,1,-4.71,0.9819,1,0,0.2143
39,5,0,0,3,1,-4.19,0.9815,1,0,0.2195
40,9,0,0,4,1,-3.73,0.981,1,0,0.2235
41,12,0,0,4,1,-4.01,0.9805,1,0,0.227
42,6,0,0,1,1,-4.8,0.98,1,0,0.2339
43,12,0,0,4,1,-3.91,0.9796,1,0,0.2361
44,8,0,0,2,1,-4.67,0.9791,1,0,0.2424
45,5,0,0,4,1,-3.79,0.9786,1,0,0.2465
46,12,0,0,2,1,-4.56,0.9781,1,0,0.2513
47,10,0,0,2,1,-4.69,0.9777,1,0,0.2566
48,8,0,0,1,1,-4.82,0.9772,1,0,0.2589
49,5,0,0,3,1,-4.29,0.9767,1,0,0.2639
50,6,0,0,2,1,-4.503,0.9762,1,0,0.2708
51,7,0,0,3,1,-4.163,0.9758,1,0,0.2765
52,10,0,0,3,1,-4.34,0.9753,1,0,0.2804
53,8,0,0,3,1,-4.123,0.9748,1,0,0.2862
54,20,0,0,3,2,-4.58,0.9744,1,0,0.2834
55,5,0,0,4,1,-3.69,0.9739,1,0,0.2871
56,7,0,0,1,1,-4.91,0.9734,1,0,0.2924
57,8,0,0,4,1,-3.97,0.9729,1,0,0.2952
58,7,0,0,3,1,-4.31,0.9725,1,0,0.3006
59,8,0,0,3,1,-4.223,0.972,1,0,0.3051
60,5,0,0,4,1,-3.79,0.9715,1,0,0.3083
